subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
kgaw1zm6qa,11334,203540,66833a1c64bbc7100c659ad9,0,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,10%,50%,80%,50%,group,1,0,1,1,,,stim,d5
kgaw1zm6qa,13955.600000000559,236118,66833a1c64bbc7100c659ad9,,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,,,,,,,,,,The lecturer did not talk about the paper,,ans,d5
kgaw1zm6qa,11552.299999999814,317827,66833a1c64bbc7100c659ad9,1,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,50%,80%,50%,10%,cook,1,1,1,1,,,stim,d7
kgaw1zm6qa,7407.9000000003725,337185,66833a1c64bbc7100c659ad9,,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,,,,,,,,,,The main dish impressed the panel,,ans,d7
kgaw1zm6qa,6850.100000000559,350827,66833a1c64bbc7100c659ad9,0,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,10%,70%,80%,50%,group,0,0,0,0,,,stim,c1
kgaw1zm6qa,11781.5,369139,66833a1c64bbc7100c659ad9,,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,,,,,,,,,,The postdoc did not attend,,ans,c1
kgaw1zm6qa,10101.099999999627,444937,66833a1c64bbc7100c659ad9,1,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,80%,50%,10%,70%,cook,0,0,0,1,,,stim,d1
kgaw1zm6qa,4303.200000000186,455017,66833a1c64bbc7100c659ad9,,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,,,,,,,,,,The chef did not complete the main dish,,ans,d1
kgaw1zm6qa,17275.699999999255,524449,66833a1c64bbc7100c659ad9,1,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,80%,50%,10%,70%,cook,1,0,0,1,,,stim,d4
kgaw1zm6qa,6416.4000000003725,535855,66833a1c64bbc7100c659ad9,,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,,,,,,,,,,The main dish did not impress the panel,,ans,d4
kgaw1zm6qa,2969.300000000745,543226,66833a1c64bbc7100c659ad9,1,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,50%,80%,50%,10%,cook,0,1,0,0,,,stim,c2
kgaw1zm6qa,2817,556357,66833a1c64bbc7100c659ad9,,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,,,,,,,,,,The main dish did not impress the panel,,ans,c2
kgaw1zm6qa,2711.5,607668,66833a1c64bbc7100c659ad9,0,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,50%,10%,50%,80%,group,1,1,0,1,,,stim,d6
kgaw1zm6qa,3765.2000000001863,622168,66833a1c64bbc7100c659ad9,,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,,,,,,,,,,The postdoc did not talk about the paper,,ans,d6
kgaw1zm6qa,29033.099999999627,657784,66833a1c64bbc7100c659ad9,0,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,10%,50%,80%,50%,group,0,1,0,1,,,stim,d2
kgaw1zm6qa,3875.5999999996275,666218,66833a1c64bbc7100c659ad9,,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,,,,,,,,,,The postdoc did not talk about the paper,,ans,d2
kgaw1zm6qa,5439.299999999814,679578,66833a1c64bbc7100c659ad9,1,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,80%,50%,10%,70%,cook,1,1,1,0,,,stim,c5
kgaw1zm6qa,16955.39999999944,703088,66833a1c64bbc7100c659ad9,,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,,,,,,,,,,The chef completed the main dish,,ans,c5
kgaw1zm6qa,1181.5,706906,66833a1c64bbc7100c659ad9,1,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,80%,50%,10%,70%,cook,1,0,0,0,,,stim,c3
kgaw1zm6qa,3837.5,715918,66833a1c64bbc7100c659ad9,,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,,,,,,,,,,The main dish did not impress the panel,,ans,c3
kgaw1zm6qa,1195.9000000003725,749317,66833a1c64bbc7100c659ad9,1,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,80%,50%,10%,70%,cook,0,1,1,1,,,stim,d3
kgaw1zm6qa,5785.299999999814,761018,66833a1c64bbc7100c659ad9,,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,,,,,,,,,,The chef completed the dessert,,ans,d3
kgaw1zm6qa,1101.9000000003725,765397,66833a1c64bbc7100c659ad9,0,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,10%,50%,80%,50%,cook,1,1,0,0,,,stim,c4
kgaw1zm6qa,43039.09999999963,812227,66833a1c64bbc7100c659ad9,,668582e30cf76773d7ac09c4,668591a6e5bdf0f37245e481,,,,,,,,,,The dessert did not impress the panel,,ans,c4
