subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
klcnyq0raa,8114,134457,668536d7113186ab3a917292,1,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,80%,50%,10%,50%,group,0,1,0,1,,,stim,d2
klcnyq0raa,14371,268705,668536d7113186ab3a917292,,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,,,,,,,,,,The postdoc did not talk about the paper,,ans,d2
klcnyq0raa,8650,287058,668536d7113186ab3a917292,0,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,10%,70%,80%,50%,cook,1,1,0,0,,,stim,c4
klcnyq0raa,18678,315291,668536d7113186ab3a917292,,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,,,,,,,,,,The dessert did not impress the panel,,ans,c4
klcnyq0raa,5762,325914,668536d7113186ab3a917292,0,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,10%,70%,80%,50%,group,1,1,1,0,,,stim,c5
klcnyq0raa,28690,360766,668536d7113186ab3a917292,,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,,,,,,,,,,The postdoc talked about the paper,,ans,c5
klcnyq0raa,9118,374589,668536d7113186ab3a917292,1,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,50%,80%,50%,10%,cook,1,0,1,1,,,stim,d5
klcnyq0raa,21219,403111,668536d7113186ab3a917292,,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,,,,,,,,,,The main dish impressed the panel,,ans,d5
klcnyq0raa,4726,411993,668536d7113186ab3a917292,1,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,80%,50%,10%,50%,job,1,0,0,1,,,stim,d4
klcnyq0raa,25191,443934,668536d7113186ab3a917292,,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d4
klcnyq0raa,4187,454049,668536d7113186ab3a917292,1,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,50%,80%,50%,10%,cook,0,0,0,1,,,stim,d1
klcnyq0raa,14612,472461,668536d7113186ab3a917292,,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,,,,,,,,,,The chef did not complete the main dish,,ans,d1
klcnyq0raa,89080,566687,668536d7113186ab3a917292,0,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,10%,70%,80%,50%,job,1,0,0,0,,,stim,c3
klcnyq0raa,10207,583364,668536d7113186ab3a917292,,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,,,,,,,,,,The candidate did not have skill B,,ans,c3
klcnyq0raa,5847,592431,668536d7113186ab3a917292,0,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,10%,70%,80%,50%,job,0,0,0,0,,,stim,c1
klcnyq0raa,7147,603288,668536d7113186ab3a917292,,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,,,,,,,,,,The candidate did not have skill B,,ans,c1
klcnyq0raa,4550,688010,668536d7113186ab3a917292,1,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,50%,80%,50%,10%,cook,1,1,0,1,,,stim,d6
klcnyq0raa,13718,708378,668536d7113186ab3a917292,,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,,,,,,,,,,The dessert did not impress the panel,,ans,d6
klcnyq0raa,6798,718414,668536d7113186ab3a917292,0,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,50%,10%,50%,80%,group,1,1,1,1,,,stim,d7
klcnyq0raa,6727,728735,668536d7113186ab3a917292,,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,,,,,,,,,,The postdoc talked about the paper,,ans,d7
klcnyq0raa,3974,735473,668536d7113186ab3a917292,0,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,50%,10%,50%,80%,cook,0,1,1,1,,,stim,d3
klcnyq0raa,7539,747201,668536d7113186ab3a917292,,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,,,,,,,,,,The dessert impressed the panel,,ans,d3
klcnyq0raa,3002,753673,668536d7113186ab3a917292,1,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,50%,80%,50%,10%,job,0,1,0,0,,,stim,c2
klcnyq0raa,18199,780673,668536d7113186ab3a917292,,668582e30cf76773d7ac09c4,66858f242c39594027f5c3f1,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c2
