subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
kvw58dx5gl,19375.80000001192,156965,60fd9b084a91f75f655da04f,1,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,50%,80%,50%,10%,group,1,0,0,0,,,stim,c3
kvw58dx5gl,18597.5,193096,60fd9b084a91f75f655da04f,,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,,,,,,,,,,The postdoc did not attend,,ans,c3
kvw58dx5gl,11152.900000035763,209225,60fd9b084a91f75f655da04f,1,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,50%,80%,50%,10%,job,1,0,0,1,,,stim,d4
kvw58dx5gl,10965.300000011921,228712,60fd9b084a91f75f655da04f,,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,,,,,,,,,,The candidate did not have skill B,,ans,d4
kvw58dx5gl,10869.199999988079,250247,60fd9b084a91f75f655da04f,0,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,10%,50%,80%,50%,cook,1,1,1,0,,,stim,c5
kvw58dx5gl,16442,272602,60fd9b084a91f75f655da04f,,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,,,,,,,,,,The main dish impressed the panel,,ans,c5
kvw58dx5gl,2784.5,291026,60fd9b084a91f75f655da04f,1,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,80%,50%,10%,50%,cook,0,1,0,0,,,stim,c2
kvw58dx5gl,4514.599999964237,301664,60fd9b084a91f75f655da04f,,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,,,,,,,,,,The chef did not complete the main dish,,ans,c2
kvw58dx5gl,8354,313650,60fd9b084a91f75f655da04f,1,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,80%,50%,10%,70%,job,1,1,0,1,,,stim,d6
kvw58dx5gl,11556.199999988079,329805,60fd9b084a91f75f655da04f,,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,,,,,,,,,,The candidate had skill B,,ans,d6
kvw58dx5gl,3462.699999988079,338912,60fd9b084a91f75f655da04f,0,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,50%,10%,50%,80%,group,0,0,0,0,,,stim,c1
kvw58dx5gl,3974.199999988079,345724,60fd9b084a91f75f655da04f,,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,,,,,,,,,,The lecturer did not attend,,ans,c1
kvw58dx5gl,4708.899999976158,353940,60fd9b084a91f75f655da04f,1,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,80%,50%,10%,50%,cook,0,1,1,1,,,stim,d3
kvw58dx5gl,3366.199999988079,369184,60fd9b084a91f75f655da04f,,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,,,,,,,,,,The dessert impressed the panel,,ans,d3
kvw58dx5gl,5181.600000023842,377461,60fd9b084a91f75f655da04f,0,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,50%,10%,50%,80%,cook,0,1,0,1,,,stim,d2
kvw58dx5gl,13371.400000035763,394438,60fd9b084a91f75f655da04f,,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,,,,,,,,,,The dessert did not impress the panel,,ans,d2
kvw58dx5gl,4274.299999952316,401190,60fd9b084a91f75f655da04f,0,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,10%,50%,80%,50%,job,1,1,1,1,,,stim,d7
kvw58dx5gl,7442.699999988079,410731,60fd9b084a91f75f655da04f,,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,,,,,,,,,,The candidate had skill A,,ans,d7
kvw58dx5gl,2655.599999964237,415945,60fd9b084a91f75f655da04f,0,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,50%,10%,50%,80%,cook,1,1,0,0,,,stim,c4
kvw58dx5gl,3944.800000011921,426148,60fd9b084a91f75f655da04f,,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,,,,,,,,,,The main dish did not impress the panel,,ans,c4
kvw58dx5gl,7337.600000023842,437244,60fd9b084a91f75f655da04f,1,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,50%,80%,50%,10%,cook,0,0,0,1,,,stim,d1
kvw58dx5gl,3662.699999988079,446010,60fd9b084a91f75f655da04f,,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,,,,,,,,,,The chef did not complete the main dish,,ans,d1
kvw58dx5gl,5218.699999988079,453984,60fd9b084a91f75f655da04f,1,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,80%,50%,10%,50%,group,1,0,1,1,,,stim,d5
kvw58dx5gl,3278.199999988079,465219,60fd9b084a91f75f655da04f,,668582e30cf76773d7ac09c4,668593aa45f0387720777d3d,,,,,,,,,,The lecturer attended,,ans,d5
