subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
ky1q8mlyj1,32616.800000190735,294538,5f01c399cbdce603a8af49b4,0,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,50%,10%,50%,80%,job,0,1,1,1,,,stim,d3
ky1q8mlyj1,20717.800000190735,354280,5f01c399cbdce603a8af49b4,,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
ky1q8mlyj1,23383.900000095367,402278,5f01c399cbdce603a8af49b4,0,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,50%,10%,50%,80%,cook,1,1,0,0,,,stim,c4
ky1q8mlyj1,28530.099999904633,456037,5f01c399cbdce603a8af49b4,,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,,,,,,,,,,The main dish did not impress the panel,,ans,c4
ky1q8mlyj1,12175.599999904633,487247,5f01c399cbdce603a8af49b4,1,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,80%,50%,10%,50%,group,0,1,0,1,,,stim,d2
ky1q8mlyj1,21759.599999904633,524606,5f01c399cbdce603a8af49b4,,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,,,,,,,,,,The postdoc did not talk about the paper,,ans,d2
ky1q8mlyj1,13026.400000095367,554706,5f01c399cbdce603a8af49b4,1,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,50%,80%,50%,10%,cook,1,0,0,0,,,stim,c3
ky1q8mlyj1,43610.40000009537,616582,5f01c399cbdce603a8af49b4,,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,,,,,,,,,,The chef did not complete the dessert,,ans,c3
ky1q8mlyj1,2796,624963,5f01c399cbdce603a8af49b4,1,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,80%,50%,10%,50%,group,1,1,1,1,,,stim,d7
ky1q8mlyj1,22135.800000190735,665134,5f01c399cbdce603a8af49b4,,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,,,,,,,,,,The lecturer talked about the paper,,ans,d7
ky1q8mlyj1,2427.2000002861023,674134,5f01c399cbdce603a8af49b4,0,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,10%,70%,80%,50%,job,1,0,1,1,,,stim,d5
ky1q8mlyj1,27382.699999809265,706171,5f01c399cbdce603a8af49b4,,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
ky1q8mlyj1,2012,713344,5f01c399cbdce603a8af49b4,1,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,80%,50%,10%,50%,job,1,1,0,1,,,stim,d6
ky1q8mlyj1,22720.800000190735,748002,5f01c399cbdce603a8af49b4,,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
ky1q8mlyj1,2439.300000190735,755649,5f01c399cbdce603a8af49b4,1,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,50%,80%,50%,10%,group,1,1,1,0,,,stim,c5
ky1q8mlyj1,12732.199999809265,779607,5f01c399cbdce603a8af49b4,,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,,,,,,,,,,The lecturer talked about the paper,,ans,c5
ky1q8mlyj1,2322.199999809265,786660,5f01c399cbdce603a8af49b4,0,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,10%,70%,80%,50%,group,1,0,0,1,,,stim,d4
ky1q8mlyj1,10663.5,806874,5f01c399cbdce603a8af49b4,,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,,,,,,,,,,The lecturer did not talk about the paper,,ans,d4
ky1q8mlyj1,2064.0999999046326,813271,5f01c399cbdce603a8af49b4,1,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,80%,50%,10%,70%,job,0,0,0,1,,,stim,d1
ky1q8mlyj1,22436,839465,5f01c399cbdce603a8af49b4,,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d1
ky1q8mlyj1,1936.0999999046326,845352,5f01c399cbdce603a8af49b4,1,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,80%,50%,10%,70%,group,0,0,0,0,,,stim,c1
ky1q8mlyj1,12102.700000286102,863108,5f01c399cbdce603a8af49b4,,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,,,,,,,,,,The lecturer did not attend,,ans,c1
ky1q8mlyj1,1723.3999996185303,868758,5f01c399cbdce603a8af49b4,1,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,50%,80%,50%,10%,job,0,1,0,0,,,stim,c2
ky1q8mlyj1,13458,890583,5f01c399cbdce603a8af49b4,,668582e30cf76773d7ac09c4,66858ff62c9ce0490dee76a2,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c2
