subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
l4n1kytgt3,19436.19999998808,294502,651d6236966232e4539c326f,0,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,10%,50%,80%,50%,job,1,0,1,1,,,stim,d5
l4n1kytgt3,39035.90000003576,353607,651d6236966232e4539c326f,,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
l4n1kytgt3,12939.100000023842,373061,651d6236966232e4539c326f,0,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,50%,10%,50%,80%,job,1,1,0,1,,,stim,d6
l4n1kytgt3,15681.400000035763,409197,651d6236966232e4539c326f,,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
l4n1kytgt3,10919.5,431246,651d6236966232e4539c326f,1,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,80%,50%,10%,50%,group,0,0,0,1,,,stim,d1
l4n1kytgt3,14354.799999952316,454449,651d6236966232e4539c326f,,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,,,,,,,,,,The lecturer did not attend,,ans,d1
l4n1kytgt3,6306.399999976158,468251,651d6236966232e4539c326f,1,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,80%,50%,10%,70%,group,0,1,0,1,,,stim,d2
l4n1kytgt3,13185.800000011921,490552,651d6236966232e4539c326f,,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,,,,,,,,,,The postdoc did not talk about the paper,,ans,d2
l4n1kytgt3,7005,501607,651d6236966232e4539c326f,1,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,80%,50%,10%,70%,group,0,0,0,0,,,stim,c1
l4n1kytgt3,8916.800000011921,515634,651d6236966232e4539c326f,,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,,,,,,,,,,The lecturer did not attend,,ans,c1
l4n1kytgt3,20596.30000001192,545401,651d6236966232e4539c326f,0,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,50%,10%,50%,80%,job,1,0,0,0,,,stim,c3
l4n1kytgt3,2869.300000011921,553944,651d6236966232e4539c326f,,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,,,,,,,,,,The candidate did not have skill B,,ans,c3
l4n1kytgt3,5263.699999988079,564640,651d6236966232e4539c326f,1,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,50%,80%,50%,10%,job,1,1,1,0,,,stim,c5
l4n1kytgt3,4125.099999964237,572246,651d6236966232e4539c326f,,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,,,,,,,,,,The candidate demonstrated skill B,,ans,c5
l4n1kytgt3,7595,583370,651d6236966232e4539c326f,0,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,10%,50%,80%,50%,job,1,1,0,0,,,stim,c4
l4n1kytgt3,2887.199999988079,596595,651d6236966232e4539c326f,,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
l4n1kytgt3,6741.400000035763,605904,651d6236966232e4539c326f,1,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,80%,50%,10%,50%,job,0,1,0,0,,,stim,c2
l4n1kytgt3,2304.900000035763,618175,651d6236966232e4539c326f,,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c2
l4n1kytgt3,4427,625370,651d6236966232e4539c326f,1,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,80%,50%,10%,70%,job,1,1,1,1,,,stim,d7
l4n1kytgt3,10944.899999976158,650443,651d6236966232e4539c326f,,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,,,,,,,,,,The candidate demonstrated skill A,,ans,d7
l4n1kytgt3,3743.300000011921,656920,651d6236966232e4539c326f,0,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,50%,10%,50%,80%,job,0,1,1,1,,,stim,d3
l4n1kytgt3,2065,664440,651d6236966232e4539c326f,,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
l4n1kytgt3,27877,710444,651d6236966232e4539c326f,1,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,50%,80%,50%,10%,cook,1,0,0,1,,,stim,d4
l4n1kytgt3,6867.800000011921,726862,651d6236966232e4539c326f,,668582e30cf76773d7ac09c4,66858ce1d5f1d88ac7ef5881,,,,,,,,,,The main dish did not impress the panel,,ans,d4
