subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
lgtj8fvsno,11445.299999952316,153846,6658b14ef863db3c5d605cc5,1,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,50%,80%,50%,10%,job,1,1,0,1,,,stim,d6
lgtj8fvsno,40688.199999928474,207267,6658b14ef863db3c5d605cc5,,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
lgtj8fvsno,62669.60000002384,274920,6658b14ef863db3c5d605cc5,1,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,50%,80%,50%,10%,cook,0,0,0,0,,,stim,c1
lgtj8fvsno,19211.799999952316,306026,6658b14ef863db3c5d605cc5,,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,,,,,,,,,,The chef did not complete the main dish,,ans,c1
lgtj8fvsno,4931.399999976158,315015,6658b14ef863db3c5d605cc5,1,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,50%,80%,50%,10%,job,0,1,0,0,,,stim,c2
lgtj8fvsno,7228.399999976158,325378,6658b14ef863db3c5d605cc5,,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,,,,,,,,,,The candidate had skill B,,ans,c2
lgtj8fvsno,1288.8999999761581,331014,6658b14ef863db3c5d605cc5,0,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,50%,10%,50%,80%,job,0,1,1,1,,,stim,d3
lgtj8fvsno,6642.399999976158,340216,6658b14ef863db3c5d605cc5,,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
lgtj8fvsno,1592.3000000715256,345486,6658b14ef863db3c5d605cc5,0,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,50%,10%,50%,80%,group,1,0,1,1,,,stim,d5
lgtj8fvsno,29257.199999928474,377179,6658b14ef863db3c5d605cc5,,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,,,,,,,,,,The lecturer talked about the paper,,ans,d5
lgtj8fvsno,1264.2999999523163,381721,6658b14ef863db3c5d605cc5,0,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,10%,50%,80%,50%,cook,1,0,0,0,,,stim,c3
lgtj8fvsno,15500.399999976158,413600,6658b14ef863db3c5d605cc5,,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,,,,,,,,,,The main dish did not impress the panel,,ans,c3
lgtj8fvsno,1364.4000000953674,418397,6658b14ef863db3c5d605cc5,0,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,50%,10%,50%,80%,job,1,1,1,0,,,stim,c5
lgtj8fvsno,15982.399999976158,438184,6658b14ef863db3c5d605cc5,,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,,,,,,,,,,The candidate demonstrated skill B,,ans,c5
lgtj8fvsno,1156.8999999761581,443117,6658b14ef863db3c5d605cc5,0,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,10%,70%,80%,50%,job,1,0,0,1,,,stim,d4
lgtj8fvsno,12660.100000023842,459125,6658b14ef863db3c5d605cc5,,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d4
lgtj8fvsno,1092.2000000476837,463721,6658b14ef863db3c5d605cc5,0,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,10%,50%,80%,50%,job,1,1,1,1,,,stim,d7
lgtj8fvsno,10930.700000047684,477084,6658b14ef863db3c5d605cc5,,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,,,,,,,,,,The candidate demonstrated skill A,,ans,d7
lgtj8fvsno,1088.7000000476837,481219,6658b14ef863db3c5d605cc5,0,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,10%,70%,80%,50%,group,0,1,0,1,,,stim,d2
lgtj8fvsno,6489,490405,6658b14ef863db3c5d605cc5,,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,,,,,,,,,,The postdoc attended,,ans,d2
lgtj8fvsno,1517,495055,6658b14ef863db3c5d605cc5,0,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,10%,70%,80%,50%,job,1,1,0,0,,,stim,c4
lgtj8fvsno,12146.800000071526,509897,6658b14ef863db3c5d605cc5,,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c4
lgtj8fvsno,1095.2999999523163,514299,6658b14ef863db3c5d605cc5,1,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,50%,80%,50%,10%,cook,0,0,0,1,,,stim,d1
lgtj8fvsno,10455.100000023842,527214,6658b14ef863db3c5d605cc5,,668582e30cf76773d7ac09c4,66858dbe42712c49f3d4cf57,,,,,,,,,,The main dish did not impress the panel,,ans,d1
