subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
lpdp9047rp,10041.5,155682,63b72f35b337507ff1b69f00,0,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,50%,10%,50%,80%,cook,1,1,1,0,,,stim,c5
lpdp9047rp,20609.799999952316,187376,63b72f35b337507ff1b69f00,,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,,,,,,,,,,The main dish impressed the panel,,ans,c5
lpdp9047rp,6556.900000095367,201117,63b72f35b337507ff1b69f00,1,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,80%,50%,10%,50%,cook,0,1,1,1,,,stim,d3
lpdp9047rp,8078.899999856949,222941,63b72f35b337507ff1b69f00,,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,,,,,,,,,,The dessert impressed the panel,,ans,d3
lpdp9047rp,4943.600000143051,231831,63b72f35b337507ff1b69f00,0,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,50%,10%,50%,80%,cook,0,1,0,0,,,stim,c2
lpdp9047rp,6052.5,247087,63b72f35b337507ff1b69f00,,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,,,,,,,,,,The chef completed the main dish,,ans,c2
lpdp9047rp,4035.600000143051,258786,63b72f35b337507ff1b69f00,1,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,80%,50%,10%,50%,group,1,1,0,0,,,stim,c4
lpdp9047rp,18169.10000014305,283455,63b72f35b337507ff1b69f00,,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,,,,,,,,,,The postdoc did not talk about the paper,,ans,c4
lpdp9047rp,9250.899999856949,298511,63b72f35b337507ff1b69f00,0,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,10%,70%,80%,50%,job,1,1,0,1,,,stim,d6
lpdp9047rp,11978.399999856949,316203,63b72f35b337507ff1b69f00,,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
lpdp9047rp,3428.699999809265,324456,63b72f35b337507ff1b69f00,1,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,80%,50%,10%,50%,cook,1,1,1,1,,,stim,d7
lpdp9047rp,4892.299999952316,335208,63b72f35b337507ff1b69f00,,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,,,,,,,,,,The chef completed the dessert,,ans,d7
lpdp9047rp,3354.199999809265,342328,63b72f35b337507ff1b69f00,0,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,10%,50%,80%,50%,cook,1,0,0,1,,,stim,d4
lpdp9047rp,8476.700000047684,357562,63b72f35b337507ff1b69f00,,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,,,,,,,,,,The chef did not complete the dessert,,ans,d4
lpdp9047rp,2615.5999999046326,367461,63b72f35b337507ff1b69f00,1,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,80%,50%,10%,50%,group,0,1,0,1,,,stim,d2
lpdp9047rp,13107.700000047684,386715,63b72f35b337507ff1b69f00,,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,,,,,,,,,,The lecturer did not attend,,ans,d2
lpdp9047rp,6972.299999952316,397119,63b72f35b337507ff1b69f00,0,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,10%,70%,80%,50%,job,0,0,0,1,,,stim,d1
lpdp9047rp,10534.300000190735,411487,63b72f35b337507ff1b69f00,,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,,,,,,,,,,The candidate did not have skill B,,ans,d1
lpdp9047rp,2730.899999856949,417309,63b72f35b337507ff1b69f00,0,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,10%,50%,80%,50%,group,1,0,1,1,,,stim,d5
lpdp9047rp,3628.7999999523163,427480,63b72f35b337507ff1b69f00,,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,,,,,,,,,,The lecturer attended,,ans,d5
lpdp9047rp,2238.7000000476837,432278,63b72f35b337507ff1b69f00,1,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,80%,50%,10%,70%,group,0,0,0,0,,,stim,c1
lpdp9047rp,6918.199999809265,443563,63b72f35b337507ff1b69f00,,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,,,,,,,,,,The lecturer did not attend,,ans,c1
lpdp9047rp,4833.400000095367,451778,63b72f35b337507ff1b69f00,1,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,50%,80%,50%,10%,job,1,0,0,0,,,stim,c3
lpdp9047rp,9182.399999856949,467517,63b72f35b337507ff1b69f00,,668582e30cf76773d7ac09c4,6685926056c22b59fe03a990,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c3
