subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
lvwhpnhhz2,10231.899999976158,235689,5c858149bc64870012babfe3,0,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,50%,10%,50%,80%,job,1,0,0,1,,,stim,d4
lvwhpnhhz2,18927.30000001192,268189,5c858149bc64870012babfe3,,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,,,,,,,,,,The candidate had skill A,,ans,d4
lvwhpnhhz2,6813,292001,5c858149bc64870012babfe3,1,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,80%,50%,10%,50%,group,0,1,1,1,,,stim,d3
lvwhpnhhz2,10740.199999988079,313554,5c858149bc64870012babfe3,,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,,,,,,,,,,The postdoc talked about the paper,,ans,d3
lvwhpnhhz2,5309.800000011921,357111,5c858149bc64870012babfe3,0,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,50%,10%,50%,80%,group,1,0,1,1,,,stim,d5
lvwhpnhhz2,11408.5,379907,5c858149bc64870012babfe3,,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,,,,,,,,,,The lecturer talked about the paper,,ans,d5
lvwhpnhhz2,24088.599999964237,415921,5c858149bc64870012babfe3,0,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,10%,50%,80%,50%,job,0,1,0,1,,,stim,d2
lvwhpnhhz2,14284.099999964237,438501,5c858149bc64870012babfe3,,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
lvwhpnhhz2,7263.800000011921,535502,5c858149bc64870012babfe3,0,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,10%,50%,80%,50%,cook,1,1,1,0,,,stim,c5
lvwhpnhhz2,15671.299999952316,562856,5c858149bc64870012babfe3,,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,,,,,,,,,,The dessert impressed the panel,,ans,c5
lvwhpnhhz2,2389.100000023842,571732,5c858149bc64870012babfe3,0,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,10%,50%,80%,50%,job,0,1,0,0,,,stim,c2
lvwhpnhhz2,6825.799999952316,588692,5c858149bc64870012babfe3,,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,,,,,,,,,,The candidate did not have skill B,,ans,c2
lvwhpnhhz2,7164.199999988079,606012,5c858149bc64870012babfe3,0,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,10%,70%,80%,50%,cook,0,0,0,0,,,stim,c1
lvwhpnhhz2,9317.399999976158,621940,5c858149bc64870012babfe3,,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,,,,,,,,,,The chef did not complete the main dish,,ans,c1
lvwhpnhhz2,245347.19999998808,874433,5c858149bc64870012babfe3,1,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,80%,50%,10%,70%,job,0,0,0,1,,,stim,d1
lvwhpnhhz2,8203.899999976158,890200,5c858149bc64870012babfe3,,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d1
lvwhpnhhz2,4376,900384,5c858149bc64870012babfe3,0,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,50%,10%,50%,80%,group,1,1,0,0,,,stim,c4
lvwhpnhhz2,8312.599999964237,915326,5c858149bc64870012babfe3,,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,,,,,,,,,,The postdoc did not talk about the paper,,ans,c4
lvwhpnhhz2,3306,927406,5c858149bc64870012babfe3,1,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,50%,80%,50%,10%,job,1,1,0,1,,,stim,d6
lvwhpnhhz2,8665.699999988079,940485,5c858149bc64870012babfe3,,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d6
lvwhpnhhz2,3055.2999999523163,970281,5c858149bc64870012babfe3,1,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,50%,80%,50%,10%,cook,1,1,1,1,,,stim,d7
lvwhpnhhz2,8789.899999976158,984236,5c858149bc64870012babfe3,,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,,,,,,,,,,The main dish impressed the panel,,ans,d7
lvwhpnhhz2,2799.400000035763,995798,5c858149bc64870012babfe3,0,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,50%,10%,50%,80%,job,1,0,0,0,,,stim,c3
lvwhpnhhz2,12544.399999976158,1011893,5c858149bc64870012babfe3,,668582e30cf76773d7ac09c4,6685937fe0095b5af2c22deb,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c3
