subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
mmgq1v5fa6,20681,208540,62853f0fcc7f1334c7f965f0,0,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,50%,10%,50%,80%,cook,0,0,0,0,,,stim,c1
mmgq1v5fa6,26623,253266,62853f0fcc7f1334c7f965f0,,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,,,,,,,,,,The chef did not complete the main dish,,ans,c1
mmgq1v5fa6,13776,279420,62853f0fcc7f1334c7f965f0,0,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,10%,70%,80%,50%,cook,1,1,1,1,,,stim,d7
mmgq1v5fa6,32669,327018,62853f0fcc7f1334c7f965f0,,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,,,,,,,,,,The chef completed the dessert,,ans,d7
mmgq1v5fa6,10220,344533,62853f0fcc7f1334c7f965f0,0,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,10%,50%,80%,50%,cook,0,0,0,1,,,stim,d1
mmgq1v5fa6,10794,363808,62853f0fcc7f1334c7f965f0,,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,,,,,,,,,,The chef did not complete the main dish,,ans,d1
mmgq1v5fa6,12272,384914,62853f0fcc7f1334c7f965f0,0,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,10%,70%,80%,50%,group,1,1,1,0,,,stim,c5
mmgq1v5fa6,10116,407156,62853f0fcc7f1334c7f965f0,,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,,,,,,,,,,The lecturer attended,,ans,c5
mmgq1v5fa6,10853,422515,62853f0fcc7f1334c7f965f0,1,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,80%,50%,10%,50%,cook,0,1,0,0,,,stim,c2
mmgq1v5fa6,25773,462092,62853f0fcc7f1334c7f965f0,,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,,,,,,,,,,The chef did not complete the main dish,,ans,c2
mmgq1v5fa6,8235,477205,62853f0fcc7f1334c7f965f0,0,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,10%,50%,80%,50%,cook,0,1,0,1,,,stim,d2
mmgq1v5fa6,6594,518589,62853f0fcc7f1334c7f965f0,,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,,,,,,,,,,The dessert did not impress the panel,,ans,d2
mmgq1v5fa6,4104,526449,62853f0fcc7f1334c7f965f0,0,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,10%,70%,80%,50%,cook,1,1,0,0,,,stim,c4
mmgq1v5fa6,5101,567034,62853f0fcc7f1334c7f965f0,,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,,,,,,,,,,The dessert did not impress the panel,,ans,c4
mmgq1v5fa6,2013,575197,62853f0fcc7f1334c7f965f0,1,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,80%,50%,10%,50%,group,0,1,1,1,,,stim,d3
mmgq1v5fa6,15181,608522,62853f0fcc7f1334c7f965f0,,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,,,,,,,,,,The postdoc attended,,ans,d3
mmgq1v5fa6,8671,620310,62853f0fcc7f1334c7f965f0,1,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,80%,50%,10%,70%,cook,1,0,0,1,,,stim,d4
mmgq1v5fa6,3946,657437,62853f0fcc7f1334c7f965f0,,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,,,,,,,,,,The main dish did not impress the panel,,ans,d4
mmgq1v5fa6,8673,672022,62853f0fcc7f1334c7f965f0,0,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,10%,50%,80%,50%,job,1,0,1,1,,,stim,d5
mmgq1v5fa6,6399,695418,62853f0fcc7f1334c7f965f0,,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,,,,,,,,,,The candidate had skill A,,ans,d5
mmgq1v5fa6,6720,705379,62853f0fcc7f1334c7f965f0,0,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,10%,50%,80%,50%,cook,1,0,0,0,,,stim,c3
mmgq1v5fa6,5268,747527,62853f0fcc7f1334c7f965f0,,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,,,,,,,,,,The main dish did not impress the panel,,ans,c3
mmgq1v5fa6,9524,766991,62853f0fcc7f1334c7f965f0,1,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,80%,50%,10%,70%,job,1,1,0,1,,,stim,d6
mmgq1v5fa6,5874,818227,62853f0fcc7f1334c7f965f0,,668582e30cf76773d7ac09c4,668592550b2e03a894cc1022,,,,,,,,,,The candidate demonstrated skill A,,ans,d6
