subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
mvfvsohrwx,44113.80000001192,353110,63d4f8a279d8d49ddbd48936,0,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,10%,70%,80%,50%,job,1,0,0,0,,,stim,c3
mvfvsohrwx,37693.30000001192,417144,63d4f8a279d8d49ddbd48936,,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c3
mvfvsohrwx,14908.40000000596,452588,63d4f8a279d8d49ddbd48936,1,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,80%,50%,10%,70%,group,0,1,0,0,,,stim,c2
mvfvsohrwx,787661.400000006,1272701,63d4f8a279d8d49ddbd48936,,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,,,,,,,,,,The lecturer did not attend,,ans,c2
mvfvsohrwx,14294.300000011921,1296041,63d4f8a279d8d49ddbd48936,1,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,50%,80%,50%,10%,job,0,0,0,1,,,stim,d1
mvfvsohrwx,34001.79999998212,1350488,63d4f8a279d8d49ddbd48936,,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,,,,,,,,,,The candidate did not have skill A,,ans,d1
mvfvsohrwx,9504.699999988079,1368966,63d4f8a279d8d49ddbd48936,1,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,80%,50%,10%,50%,group,0,0,0,0,,,stim,c1
mvfvsohrwx,26590.69999998808,1412181,63d4f8a279d8d49ddbd48936,,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,,,,,,,,,,The lecturer did not attend,,ans,c1
mvfvsohrwx,14563.09999999404,1434322,63d4f8a279d8d49ddbd48936,1,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,80%,50%,10%,50%,job,1,1,0,0,,,stim,c4
mvfvsohrwx,16692.69999998808,1470246,63d4f8a279d8d49ddbd48936,,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c4
mvfvsohrwx,14247.09999999404,1502705,63d4f8a279d8d49ddbd48936,0,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,50%,10%,50%,80%,cook,0,1,0,1,,,stim,d2
mvfvsohrwx,25782.90000000596,1546311,63d4f8a279d8d49ddbd48936,,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,,,,,,,,,,The dessert did not impress the panel,,ans,d2
mvfvsohrwx,35758.90000000596,1586900,63d4f8a279d8d49ddbd48936,1,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,80%,50%,10%,50%,job,1,0,1,1,,,stim,d5
mvfvsohrwx,15342.200000017881,1615218,63d4f8a279d8d49ddbd48936,,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d5
mvfvsohrwx,19946.59999999404,1640299,63d4f8a279d8d49ddbd48936,0,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,10%,70%,80%,50%,job,1,1,1,0,,,stim,c5
mvfvsohrwx,17471.69999998808,1668408,63d4f8a279d8d49ddbd48936,,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,,,,,,,,,,The candidate demonstrated skill A,,ans,c5
mvfvsohrwx,10352.5,1684804,63d4f8a279d8d49ddbd48936,0,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,10%,50%,80%,50%,cook,1,1,0,1,,,stim,d6
mvfvsohrwx,33116.09999999404,1730057,63d4f8a279d8d49ddbd48936,,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,,,,,,,,,,The main dish did not impress the panel,,ans,d6
mvfvsohrwx,10483.5,1745807,63d4f8a279d8d49ddbd48936,0,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,10%,70%,80%,50%,group,1,0,0,1,,,stim,d4
mvfvsohrwx,32413.09999999404,1789923,63d4f8a279d8d49ddbd48936,,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,,,,,,,,,,The lecturer did not talk about the paper,,ans,d4
mvfvsohrwx,58994.19999998808,1852891,63d4f8a279d8d49ddbd48936,0,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,10%,50%,80%,50%,cook,1,1,1,1,,,stim,d7
mvfvsohrwx,22736.90000000596,1888275,63d4f8a279d8d49ddbd48936,,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,,,,,,,,,,The main dish impressed the panel,,ans,d7
mvfvsohrwx,21718.40000000596,1913670,63d4f8a279d8d49ddbd48936,1,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,80%,50%,10%,70%,job,0,1,1,1,,,stim,d3
mvfvsohrwx,14202.09999999404,1943280,63d4f8a279d8d49ddbd48936,,668582e30cf76773d7ac09c4,6685911cb035aff881b2e448,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
