subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
my5bsvkq60,24924,320986,5e5843f3677ae4053b1a0169,0,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,10%,70%,80%,50%,cook,0,1,0,0,,,stim,c2
my5bsvkq60,55021,412672,5e5843f3677ae4053b1a0169,,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,,,,,,,,,,The chef did not complete the main dish,,ans,c2
my5bsvkq60,12479,437030,5e5843f3677ae4053b1a0169,1,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,80%,50%,10%,50%,job,0,0,0,0,,,stim,c1
my5bsvkq60,17199,466167,5e5843f3677ae4053b1a0169,,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,,,,,,,,,,The candidate did not have skill A,,ans,c1
my5bsvkq60,14208,499869,5e5843f3677ae4053b1a0169,1,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,50%,80%,50%,10%,group,0,1,0,1,,,stim,d2
my5bsvkq60,33544,543142,5e5843f3677ae4053b1a0169,,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,,,,,,,,,,The postdoc did not talk about the paper,,ans,d2
my5bsvkq60,7182,558613,5e5843f3677ae4053b1a0169,1,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,80%,50%,10%,50%,group,1,0,1,1,,,stim,d5
my5bsvkq60,12512,578168,5e5843f3677ae4053b1a0169,,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,,,,,,,,,,The lecturer attended,,ans,d5
my5bsvkq60,11316,596758,5e5843f3677ae4053b1a0169,1,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,80%,50%,10%,50%,cook,1,1,0,0,,,stim,c4
my5bsvkq60,20631,634029,5e5843f3677ae4053b1a0169,,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,,,,,,,,,,The chef completed the dessert,,ans,c4
my5bsvkq60,11654,654332,5e5843f3677ae4053b1a0169,1,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,80%,50%,10%,50%,job,1,1,0,1,,,stim,d6
my5bsvkq60,7799,675301,5e5843f3677ae4053b1a0169,,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d6
my5bsvkq60,6999,691212,5e5843f3677ae4053b1a0169,0,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,10%,50%,80%,50%,group,1,0,0,1,,,stim,d4
my5bsvkq60,10606,711101,5e5843f3677ae4053b1a0169,,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,,,,,,,,,,The lecturer did not talk about the paper,,ans,d4
my5bsvkq60,7855,728420,5e5843f3677ae4053b1a0169,0,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,10%,70%,80%,50%,job,0,0,0,1,,,stim,d1
my5bsvkq60,14952,749285,5e5843f3677ae4053b1a0169,,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,,,,,,,,,,The candidate did not have skill B,,ans,d1
my5bsvkq60,10813,767396,5e5843f3677ae4053b1a0169,1,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,80%,50%,10%,70%,cook,1,1,1,1,,,stim,d7
my5bsvkq60,15591,796950,5e5843f3677ae4053b1a0169,,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,,,,,,,,,,The dessert impressed the panel,,ans,d7
my5bsvkq60,10350,812236,5e5843f3677ae4053b1a0169,0,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,50%,10%,50%,80%,cook,0,1,1,1,,,stim,d3
my5bsvkq60,6167,830654,5e5843f3677ae4053b1a0169,,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,,,,,,,,,,The dessert impressed the panel,,ans,d3
my5bsvkq60,6349,840908,5e5843f3677ae4053b1a0169,1,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,80%,50%,10%,50%,cook,1,1,1,0,,,stim,c5
my5bsvkq60,3055,857836,5e5843f3677ae4053b1a0169,,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,,,,,,,,,,The dessert impressed the panel,,ans,c5
my5bsvkq60,7237,873682,5e5843f3677ae4053b1a0169,0,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,50%,10%,50%,80%,group,1,0,0,0,,,stim,c3
my5bsvkq60,7959,890604,5e5843f3677ae4053b1a0169,,668582e30cf76773d7ac09c4,668591a47e59b03f650bd3c9,,,,,,,,,,The postdoc did not attend,,ans,c3
