subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
na316rcy4y,16003,260519,601915ad77c575017868bdd6,0,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,10%,50%,80%,50%,group,1,0,0,1,,,stim,d4
na316rcy4y,28094.60000014305,309721,601915ad77c575017868bdd6,,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,,,,,,,,,,The lecturer attended,,ans,d4
na316rcy4y,19478.89999985695,341937,601915ad77c575017868bdd6,0,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,10%,70%,80%,50%,job,1,1,1,1,,,stim,d7
na316rcy4y,51515.09999990463,424173,601915ad77c575017868bdd6,,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,,,,,,,,,,The candidate demonstrated skill A,,ans,d7
na316rcy4y,11714.799999952316,460003,601915ad77c575017868bdd6,0,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,50%,10%,50%,80%,cook,0,1,0,1,,,stim,d2
na316rcy4y,12001.299999952316,493819,601915ad77c575017868bdd6,,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,,,,,,,,,,The dessert did not impress the panel,,ans,d2
na316rcy4y,8219,510327,601915ad77c575017868bdd6,0,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,10%,50%,80%,50%,group,1,0,1,1,,,stim,d5
na316rcy4y,7825.199999809265,532763,601915ad77c575017868bdd6,,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,,,,,,,,,,The lecturer talked about the paper,,ans,d5
na316rcy4y,5595,545977,601915ad77c575017868bdd6,0,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,10%,50%,80%,50%,job,0,1,1,1,,,stim,d3
na316rcy4y,23623.199999809265,581445,601915ad77c575017868bdd6,,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
na316rcy4y,8759.099999904633,596085,601915ad77c575017868bdd6,1,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,50%,80%,50%,10%,job,0,0,0,1,,,stim,d1
na316rcy4y,42445,649931,601915ad77c575017868bdd6,,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,,,,,,,,,,The candidate did not have skill A,,ans,d1
na316rcy4y,10934.899999856949,667895,601915ad77c575017868bdd6,0,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,50%,10%,50%,80%,cook,1,0,0,0,,,stim,c3
na316rcy4y,13239.200000047684,691385,601915ad77c575017868bdd6,,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,,,,,,,,,,The chef completed the main dish,,ans,c3
na316rcy4y,7023,704417,601915ad77c575017868bdd6,0,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,10%,50%,80%,50%,cook,1,1,0,1,,,stim,d6
na316rcy4y,15897.200000047684,730407,601915ad77c575017868bdd6,,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,,,,,,,,,,The dessert did not impress the panel,,ans,d6
na316rcy4y,6017,740057,601915ad77c575017868bdd6,1,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,80%,50%,10%,50%,job,1,1,1,0,,,stim,c5
na316rcy4y,5887.299999952316,758023,601915ad77c575017868bdd6,,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,,,,,,,,,,The candidate demonstrated skill A,,ans,c5
na316rcy4y,5777.300000190735,768497,601915ad77c575017868bdd6,1,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,80%,50%,10%,70%,job,1,1,0,0,,,stim,c4
na316rcy4y,12275.299999952316,788589,601915ad77c575017868bdd6,,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c4
na316rcy4y,6977,799453,601915ad77c575017868bdd6,0,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,50%,10%,50%,80%,cook,0,1,0,0,,,stim,c2
na316rcy4y,5513,816411,601915ad77c575017868bdd6,,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,,,,,,,,,,The chef did not complete the main dish,,ans,c2
na316rcy4y,1655.1000001430511,824295,601915ad77c575017868bdd6,1,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,80%,50%,10%,70%,job,0,0,0,0,,,stim,c1
na316rcy4y,6021,837065,601915ad77c575017868bdd6,,668582e30cf76773d7ac09c4,668591a5c13069ee2dc753bc,,,,,,,,,,The candidate did not have skill A,,ans,c1
