subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
nop27bhzta,40598.60000002384,471035,5e9027110aacc7320bd9a84b,0,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,10%,70%,80%,50%,group,0,1,1,1,,,stim,d3
nop27bhzta,22054.100000023842,546477,5e9027110aacc7320bd9a84b,,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,,,,,,,,,,The postdoc talked about the paper,,ans,d3
nop27bhzta,52206.10000002384,625587,5e9027110aacc7320bd9a84b,0,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,10%,50%,80%,50%,cook,0,0,0,0,,,stim,c1
nop27bhzta,32550.30000001192,680275,5e9027110aacc7320bd9a84b,,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,,,,,,,,,,The chef did not complete the main dish,,ans,c1
nop27bhzta,22741.5,709971,5e9027110aacc7320bd9a84b,0,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,10%,50%,80%,50%,group,1,1,0,0,,,stim,c4
nop27bhzta,63734,788492,5e9027110aacc7320bd9a84b,,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,,,,,,,,,,The lecturer did not talk about the paper,,ans,c4
nop27bhzta,11926.899999976158,812004,5e9027110aacc7320bd9a84b,1,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,50%,80%,50%,10%,job,1,1,0,1,,,stim,d6
nop27bhzta,6135.099999964237,854683,5e9027110aacc7320bd9a84b,,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
nop27bhzta,10309.699999988079,878314,5e9027110aacc7320bd9a84b,0,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,10%,50%,80%,50%,cook,0,1,0,0,,,stim,c2
nop27bhzta,12566.600000023842,912623,5e9027110aacc7320bd9a84b,,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,,,,,,,,,,The chef did not complete the main dish,,ans,c2
nop27bhzta,11126.799999952316,931927,5e9027110aacc7320bd9a84b,0,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,50%,10%,50%,80%,cook,0,1,0,1,,,stim,d2
nop27bhzta,12191.600000023842,958544,5e9027110aacc7320bd9a84b,,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,,,,,,,,,,The dessert did not impress the panel,,ans,d2
nop27bhzta,8797.600000023842,979614,5e9027110aacc7320bd9a84b,0,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,10%,50%,80%,50%,cook,1,1,1,0,,,stim,c5
nop27bhzta,7343.099999964237,1004254,5e9027110aacc7320bd9a84b,,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,,,,,,,,,,The main dish impressed the panel,,ans,c5
nop27bhzta,3094.899999976158,1022246,5e9027110aacc7320bd9a84b,0,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,10%,50%,80%,50%,group,1,1,1,1,,,stim,d7
nop27bhzta,4961,1050824,5e9027110aacc7320bd9a84b,,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,,,,,,,,,,The lecturer attended,,ans,d7
nop27bhzta,4110.100000023842,1059549,5e9027110aacc7320bd9a84b,0,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,10%,70%,80%,50%,group,1,0,0,1,,,stim,d4
nop27bhzta,6071.599999964237,1080879,5e9027110aacc7320bd9a84b,,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,,,,,,,,,,The lecturer did not talk about the paper,,ans,d4
nop27bhzta,3862.599999964237,1088451,5e9027110aacc7320bd9a84b,1,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,80%,50%,10%,70%,cook,0,0,0,1,,,stim,d1
nop27bhzta,9174.699999988079,1129323,5e9027110aacc7320bd9a84b,,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,,,,,,,,,,The chef did not complete the main dish,,ans,d1
nop27bhzta,10357.699999988079,1143123,5e9027110aacc7320bd9a84b,0,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,10%,50%,80%,50%,cook,1,0,1,1,,,stim,d5
nop27bhzta,14638,1172344,5e9027110aacc7320bd9a84b,,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,,,,,,,,,,The main dish impressed the panel,,ans,d5
nop27bhzta,8774.900000035763,1185687,5e9027110aacc7320bd9a84b,0,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,10%,70%,80%,50%,cook,1,0,0,0,,,stim,c3
nop27bhzta,7551.099999964237,1204545,5e9027110aacc7320bd9a84b,,668582e30cf76773d7ac09c4,6685a02db841df6b2764a8b3,,,,,,,,,,The chef did not complete the dessert,,ans,c3
