subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
nxsvdjbdee,3023.2000000000116,80967,5f58b678d49cef03d3696884,1,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,50%,80%,50%,10%,job,0,0,0,0,,,stim,c1
nxsvdjbdee,7815.299999999988,100023,5f58b678d49cef03d3696884,,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,,,,,,,,,,The candidate had skill A,,ans,c1
nxsvdjbdee,3319.2999999999884,136943,5f58b678d49cef03d3696884,1,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,80%,50%,10%,50%,group,0,0,0,1,,,stim,d1
nxsvdjbdee,24175.5,163487,5f58b678d49cef03d3696884,,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,,,,,,,,,,The postdoc did not talk about the paper,,ans,d1
nxsvdjbdee,1575.399999999965,168503,5f58b678d49cef03d3696884,1,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,80%,50%,10%,50%,job,0,1,1,1,,,stim,d3
nxsvdjbdee,8295.400000000023,181599,5f58b678d49cef03d3696884,,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
nxsvdjbdee,1335.2999999999302,186023,5f58b678d49cef03d3696884,1,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,80%,50%,10%,70%,group,1,0,1,1,,,stim,d5
nxsvdjbdee,6223.5,197175,5f58b678d49cef03d3696884,,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,,,,,,,,,,The lecturer attended,,ans,d5
nxsvdjbdee,38391.40000000002,238999,5f58b678d49cef03d3696884,0,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,10%,70%,80%,50%,job,0,1,0,0,,,stim,c2
nxsvdjbdee,10599.600000000093,256143,5f58b678d49cef03d3696884,,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c2
nxsvdjbdee,1135.3000000000466,260270,5f58b678d49cef03d3696884,0,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,50%,10%,50%,80%,job,1,1,0,0,,,stim,c4
nxsvdjbdee,8111.600000000093,276255,5f58b678d49cef03d3696884,,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,,,,,,,,,,The candidate demonstrated skill B,,ans,c4
nxsvdjbdee,1319.5,280478,5f58b678d49cef03d3696884,0,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,50%,10%,50%,80%,group,1,1,1,0,,,stim,c5
nxsvdjbdee,10343.600000000093,294975,5f58b678d49cef03d3696884,,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,,,,,,,,,,The postdoc talked about the paper,,ans,c5
nxsvdjbdee,1439.4000000000233,299630,5f58b678d49cef03d3696884,1,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,80%,50%,10%,50%,cook,0,1,0,1,,,stim,d2
nxsvdjbdee,15167.5,327183,5f58b678d49cef03d3696884,,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,,,,,,,,,,The chef did not complete the main dish,,ans,d2
nxsvdjbdee,1639.3000000000466,331575,5f58b678d49cef03d3696884,1,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,80%,50%,10%,70%,job,1,0,0,1,,,stim,d4
nxsvdjbdee,7831.600000000093,359639,5f58b678d49cef03d3696884,,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,,,,,,,,,,The candidate had skill A,,ans,d4
nxsvdjbdee,1271.2000000000698,366583,5f58b678d49cef03d3696884,0,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,50%,10%,50%,80%,group,1,1,0,1,,,stim,d6
nxsvdjbdee,6071.5,379039,5f58b678d49cef03d3696884,,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,,,,,,,,,,The postdoc talked about the paper,,ans,d6
nxsvdjbdee,1191.5,383159,5f58b678d49cef03d3696884,1,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,80%,50%,10%,50%,job,1,1,1,1,,,stim,d7
nxsvdjbdee,9271.599999999977,396631,5f58b678d49cef03d3696884,,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,,,,,,,,,,The candidate had skill A,,ans,d7
nxsvdjbdee,1495.5,402455,5f58b678d49cef03d3696884,1,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,50%,80%,50%,10%,cook,1,0,0,0,,,stim,c3
nxsvdjbdee,6735.800000000047,414327,5f58b678d49cef03d3696884,,668582e30cf76773d7ac09c4,66859238f65ad95b6b4436a6,,,,,,,,,,The chef completed the main dish,,ans,c3
