subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
ny1uf1zzq2,19375,205078,6655e364ffff4d877ac0d432,1,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,50%,80%,50%,10%,job,1,1,1,0,,,stim,c5
ny1uf1zzq2,31927.29999999702,261950,6655e364ffff4d877ac0d432,,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,,,,,,,,,,The candidate demonstrated skill A,,ans,c5
ny1uf1zzq2,11007.60000000894,289334,6655e364ffff4d877ac0d432,0,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,10%,50%,80%,50%,cook,0,1,0,1,,,stim,d2
ny1uf1zzq2,18871.20000000298,320718,6655e364ffff4d877ac0d432,,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,,,,,,,,,,The dessert did not impress the panel,,ans,d2
ny1uf1zzq2,7087.300000011921,333669,6655e364ffff4d877ac0d432,1,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,50%,80%,50%,10%,job,0,0,0,0,,,stim,c1
ny1uf1zzq2,11967.89999999106,359214,6655e364ffff4d877ac0d432,,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,,,,,,,,,,The candidate did not have skill A,,ans,c1
ny1uf1zzq2,17623.30000001192,385701,6655e364ffff4d877ac0d432,0,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,10%,70%,80%,50%,cook,1,1,0,1,,,stim,d6
ny1uf1zzq2,31575.09999999404,423317,6655e364ffff4d877ac0d432,,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,,,,,,,,,,The main dish did not impress the panel,,ans,d6
ny1uf1zzq2,12471.5,448358,6655e364ffff4d877ac0d432,0,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,10%,70%,80%,50%,group,0,1,0,0,,,stim,c2
ny1uf1zzq2,23039.79999999702,478438,6655e364ffff4d877ac0d432,,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,,,,,,,,,,The lecturer did not attend,,ans,c2
ny1uf1zzq2,2727.4000000059605,485981,6655e364ffff4d877ac0d432,1,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,80%,50%,10%,50%,job,0,0,0,1,,,stim,d1
ny1uf1zzq2,17407.40000000596,505486,6655e364ffff4d877ac0d432,,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,,,,,,,,,,The candidate did not have skill A,,ans,d1
ny1uf1zzq2,1286.5,510397,6655e364ffff4d877ac0d432,1,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,80%,50%,10%,70%,job,1,0,0,0,,,stim,c3
ny1uf1zzq2,27263.40000000596,540846,6655e364ffff4d877ac0d432,,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,,,,,,,,,,The candidate did not have skill B,,ans,c3
ny1uf1zzq2,1855.2000000029802,547701,6655e364ffff4d877ac0d432,0,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,10%,50%,80%,50%,group,1,1,0,0,,,stim,c4
ny1uf1zzq2,21094.90000000596,575158,6655e364ffff4d877ac0d432,,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,,,,,,,,,,The postdoc did not talk about the paper,,ans,c4
ny1uf1zzq2,1023.7999999970198,579182,6655e364ffff4d877ac0d432,1,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,80%,50%,10%,70%,job,0,1,1,1,,,stim,d3
ny1uf1zzq2,20199.69999998808,602142,6655e364ffff4d877ac0d432,,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
ny1uf1zzq2,1007.1999999880791,607053,6655e364ffff4d877ac0d432,0,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,50%,10%,50%,80%,cook,1,1,1,1,,,stim,d7
ny1uf1zzq2,4591.5,621149,6655e364ffff4d877ac0d432,,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,,,,,,,,,,The dessert impressed the panel,,ans,d7
ny1uf1zzq2,1159.2000000029802,624645,6655e364ffff4d877ac0d432,1,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,50%,80%,50%,10%,cook,1,0,0,1,,,stim,d4
ny1uf1zzq2,18551.70000000298,649302,6655e364ffff4d877ac0d432,,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,,,,,,,,,,The main dish did not impress the panel,,ans,d4
ny1uf1zzq2,1079.199999988079,655189,6655e364ffff4d877ac0d432,1,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,80%,50%,10%,50%,job,1,0,1,1,,,stim,d5
ny1uf1zzq2,8808.40000000596,665222,6655e364ffff4d877ac0d432,,668582e30cf76773d7ac09c4,66858ebb55fa6c07b7d4cff6,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
