subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
onqgyw6l5w,61754,431695,60205d8a88ba9165dda2b151,1,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,80%,50%,10%,50%,job,1,0,0,0,,,stim,c3
onqgyw6l5w,46640.89999997616,508857,60205d8a88ba9165dda2b151,,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,,,,,,,,,,The candidate did not have skill B,,ans,c3
onqgyw6l5w,22942.899999976158,550176,60205d8a88ba9165dda2b151,1,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,80%,50%,10%,50%,group,0,0,0,1,,,stim,d1
onqgyw6l5w,20013.099999964237,584541,60205d8a88ba9165dda2b151,,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,,,,,,,,,,The lecturer did not attend,,ans,d1
onqgyw6l5w,12354.100000023842,613386,60205d8a88ba9165dda2b151,0,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,50%,10%,50%,80%,job,0,1,1,1,,,stim,d3
onqgyw6l5w,11674.200000047684,637395,60205d8a88ba9165dda2b151,,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
onqgyw6l5w,14946.5,661035,60205d8a88ba9165dda2b151,1,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,80%,50%,10%,70%,job,0,1,0,1,,,stim,d2
onqgyw6l5w,10350.100000023842,689631,60205d8a88ba9165dda2b151,,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
onqgyw6l5w,18266.600000023842,715238,60205d8a88ba9165dda2b151,0,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,10%,50%,80%,50%,job,1,1,1,0,,,stim,c5
onqgyw6l5w,15376,741317,60205d8a88ba9165dda2b151,,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,,,,,,,,,,The candidate demonstrated skill B,,ans,c5
onqgyw6l5w,6922.700000047684,757845,60205d8a88ba9165dda2b151,1,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,80%,50%,10%,70%,group,0,1,0,0,,,stim,c2
onqgyw6l5w,9294.5,777242,60205d8a88ba9165dda2b151,,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,,,,,,,,,,The postdoc did not talk about the paper,,ans,c2
onqgyw6l5w,5711.700000047684,789805,60205d8a88ba9165dda2b151,1,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,80%,50%,10%,70%,group,1,1,1,1,,,stim,d7
onqgyw6l5w,19222.5,814954,60205d8a88ba9165dda2b151,,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,,,,,,,,,,The postdoc talked about the paper,,ans,d7
onqgyw6l5w,7028,828631,60205d8a88ba9165dda2b151,1,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,80%,50%,10%,70%,group,0,0,0,0,,,stim,c1
onqgyw6l5w,13646.699999988079,847605,60205d8a88ba9165dda2b151,,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,,,,,,,,,,The lecturer did not attend,,ans,c1
onqgyw6l5w,11336.199999988079,881066,60205d8a88ba9165dda2b151,1,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,80%,50%,10%,50%,cook,1,0,0,1,,,stim,d4
onqgyw6l5w,9717.699999988079,905459,60205d8a88ba9165dda2b151,,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,,,,,,,,,,The main dish did not impress the panel,,ans,d4
onqgyw6l5w,4676.099999964237,916147,60205d8a88ba9165dda2b151,1,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,80%,50%,10%,50%,group,1,0,1,1,,,stim,d5
onqgyw6l5w,9181.599999964237,933040,60205d8a88ba9165dda2b151,,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,,,,,,,,,,The lecturer talked about the paper,,ans,d5
onqgyw6l5w,9649.699999988079,948796,60205d8a88ba9165dda2b151,1,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,50%,80%,50%,10%,group,1,1,0,1,,,stim,d6
onqgyw6l5w,8698.099999964237,965575,60205d8a88ba9165dda2b151,,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,,,,,,,,,,The lecturer did not talk about the paper,,ans,d6
onqgyw6l5w,9826.699999988079,979432,60205d8a88ba9165dda2b151,1,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,80%,50%,10%,70%,job,1,1,0,0,,,stim,c4
onqgyw6l5w,6393.900000035763,999841,60205d8a88ba9165dda2b151,,668582e30cf76773d7ac09c4,66858ed007b81385ad914b00,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
