subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
otjfe3xsbs,16910.30000001192,401350,668565ac73f6ca0437ad4676,1,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,80%,50%,10%,50%,group,0,1,1,1,,,stim,d3
otjfe3xsbs,24182.400000035763,447039,668565ac73f6ca0437ad4676,,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,,,,,,,,,,The postdoc talked about the paper,,ans,d3
otjfe3xsbs,13005.099999964237,479772,668565ac73f6ca0437ad4676,0,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,10%,50%,80%,50%,cook,0,1,0,1,,,stim,d2
otjfe3xsbs,15671.100000023842,508398,668565ac73f6ca0437ad4676,,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,,,,,,,,,,The dessert did not impress the panel,,ans,d2
otjfe3xsbs,3373.599999964237,555669,668565ac73f6ca0437ad4676,1,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,80%,50%,10%,50%,group,1,1,1,1,,,stim,d7
otjfe3xsbs,27007.200000047684,591590,668565ac73f6ca0437ad4676,,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,,,,,,,,,,The lecturer talked about the paper,,ans,d7
otjfe3xsbs,2223.5,602830,668565ac73f6ca0437ad4676,1,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,50%,80%,50%,10%,cook,0,0,0,0,,,stim,c1
otjfe3xsbs,26958.099999964237,641269,668565ac73f6ca0437ad4676,,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,,,,,,,,,,The chef did not complete the main dish,,ans,c1
otjfe3xsbs,9677.600000023842,656197,668565ac73f6ca0437ad4676,1,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,80%,50%,10%,70%,cook,1,0,1,1,,,stim,d5
otjfe3xsbs,9400,674567,668565ac73f6ca0437ad4676,,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,,,,,,,,,,The main dish impressed the panel,,ans,d5
otjfe3xsbs,8062.399999976158,692677,668565ac73f6ca0437ad4676,0,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,50%,10%,50%,80%,group,1,0,0,1,,,stim,d4
otjfe3xsbs,10582.5,713862,668565ac73f6ca0437ad4676,,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,,,,,,,,,,The lecturer did not talk about the paper,,ans,d4
otjfe3xsbs,9446.5,730477,668565ac73f6ca0437ad4676,1,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,80%,50%,10%,70%,job,0,1,0,0,,,stim,c2
otjfe3xsbs,9174.300000011921,759061,668565ac73f6ca0437ad4676,,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c2
otjfe3xsbs,4253.899999976158,768941,668565ac73f6ca0437ad4676,1,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,80%,50%,10%,50%,cook,1,1,0,1,,,stim,d6
otjfe3xsbs,9821.699999988079,790157,668565ac73f6ca0437ad4676,,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,,,,,,,,,,The dessert did not impress the panel,,ans,d6
otjfe3xsbs,2989.199999988079,798708,668565ac73f6ca0437ad4676,1,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,80%,50%,10%,50%,cook,1,1,1,0,,,stim,c5
otjfe3xsbs,6118.600000023842,811061,668565ac73f6ca0437ad4676,,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,,,,,,,,,,The main dish impressed the panel,,ans,c5
otjfe3xsbs,1685,819900,668565ac73f6ca0437ad4676,0,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,10%,70%,80%,50%,job,0,0,0,1,,,stim,d1
otjfe3xsbs,6774.699999988079,834478,668565ac73f6ca0437ad4676,,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,,,,,,,,,,The candidate did not have skill B,,ans,d1
otjfe3xsbs,7142.399999976158,849229,668565ac73f6ca0437ad4676,1,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,50%,80%,50%,10%,group,1,1,0,0,,,stim,c4
otjfe3xsbs,4214.5,859333,668565ac73f6ca0437ad4676,,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,,,,,,,,,,The postdoc talked about the paper,,ans,c4
otjfe3xsbs,1869,865420,668565ac73f6ca0437ad4676,0,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,10%,70%,80%,50%,job,1,0,0,0,,,stim,c3
otjfe3xsbs,7902.600000023842,876725,668565ac73f6ca0437ad4676,,668582e30cf76773d7ac09c4,66858946fe184ba09e701487,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c3
