subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
p9aky8vd7r,37664.60000014305,379806,5b3fc56e84dd7c000180af27,1,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,80%,50%,10%,50%,cook,0,1,1,1,,,stim,d3
p9aky8vd7r,55911.700000047684,471872,5b3fc56e84dd7c000180af27,,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,,,,,,,,,,The dessert impressed the panel,,ans,d3
p9aky8vd7r,19379.799999952316,504271,5b3fc56e84dd7c000180af27,1,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,50%,80%,50%,10%,job,1,1,0,0,,,stim,c4
p9aky8vd7r,44196.799999952316,564938,5b3fc56e84dd7c000180af27,,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c4
p9aky8vd7r,20582.299999952316,595922,5b3fc56e84dd7c000180af27,0,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,50%,10%,50%,80%,job,0,1,0,1,,,stim,d2
p9aky8vd7r,66417.90000009537,682755,5b3fc56e84dd7c000180af27,,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
p9aky8vd7r,30983.39999985695,728820,5b3fc56e84dd7c000180af27,1,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,80%,50%,10%,70%,job,1,0,0,1,,,stim,d4
p9aky8vd7r,28715,781986,5b3fc56e84dd7c000180af27,,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d4
p9aky8vd7r,18612.800000190735,811635,5b3fc56e84dd7c000180af27,1,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,80%,50%,10%,70%,job,1,0,1,1,,,stim,d5
p9aky8vd7r,12082.100000143051,836118,5b3fc56e84dd7c000180af27,,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
p9aky8vd7r,14763.399999856949,870750,5b3fc56e84dd7c000180af27,0,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,50%,10%,50%,80%,group,0,0,0,0,,,stim,c1
p9aky8vd7r,39278.799999952316,934035,5b3fc56e84dd7c000180af27,,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,,,,,,,,,,The postdoc did not attend,,ans,c1
p9aky8vd7r,15763.799999952316,959049,5b3fc56e84dd7c000180af27,0,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,10%,70%,80%,50%,group,0,0,0,1,,,stim,d1
p9aky8vd7r,34547.89999985695,1011501,5b3fc56e84dd7c000180af27,,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,,,,,,,,,,The postdoc did not attend,,ans,d1
p9aky8vd7r,9164.299999952316,1027732,5b3fc56e84dd7c000180af27,0,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,10%,50%,80%,50%,group,0,1,0,0,,,stim,c2
p9aky8vd7r,10795.899999856949,1046897,5b3fc56e84dd7c000180af27,,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,,,,,,,,,,The postdoc did not talk about the paper,,ans,c2
p9aky8vd7r,15564.599999904633,1070698,5b3fc56e84dd7c000180af27,1,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,80%,50%,10%,70%,job,1,0,0,0,,,stim,c3
p9aky8vd7r,13815.799999952316,1105066,5b3fc56e84dd7c000180af27,,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,,,,,,,,,,The candidate did not have skill B,,ans,c3
p9aky8vd7r,20815.700000047684,1137749,5b3fc56e84dd7c000180af27,1,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,80%,50%,10%,70%,cook,1,1,1,0,,,stim,c5
p9aky8vd7r,38814.700000047684,1196431,5b3fc56e84dd7c000180af27,,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,,,,,,,,,,The dessert impressed the panel,,ans,c5
p9aky8vd7r,11717.100000143051,1217082,5b3fc56e84dd7c000180af27,0,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,10%,70%,80%,50%,group,1,1,0,1,,,stim,d6
p9aky8vd7r,21649.299999952316,1253715,5b3fc56e84dd7c000180af27,,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,,,,,,,,,,The lecturer did not talk about the paper,,ans,d6
p9aky8vd7r,13566.800000190735,1274916,5b3fc56e84dd7c000180af27,0,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,10%,50%,80%,50%,cook,1,1,1,1,,,stim,d7
p9aky8vd7r,12499.299999952316,1307348,5b3fc56e84dd7c000180af27,,668582e30cf76773d7ac09c4,668592a560c5239314409ed9,,,,,,,,,,The dessert impressed the panel,,ans,d7
