subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
p9d2vc9otv,15567.399999976158,277289,651ab77f6ee1c6bf2ecf4802,1,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,80%,50%,10%,50%,cook,0,0,0,1,,,stim,d1
p9d2vc9otv,32983.09999999404,336734,651ab77f6ee1c6bf2ecf4802,,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,,,,,,,,,,The main dish did not impress the panel,,ans,d1
p9d2vc9otv,20574.70000001788,365703,651ab77f6ee1c6bf2ecf4802,1,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,50%,80%,50%,10%,job,1,1,0,0,,,stim,c4
p9d2vc9otv,28405.399999976158,432832,651ab77f6ee1c6bf2ecf4802,,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c4
p9d2vc9otv,12171,456389,651ab77f6ee1c6bf2ecf4802,0,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,10%,50%,80%,50%,group,0,1,0,0,,,stim,c2
p9d2vc9otv,7131.299999982119,481432,651ab77f6ee1c6bf2ecf4802,,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,,,,,,,,,,The lecturer did not attend,,ans,c2
p9d2vc9otv,8335.299999982119,499252,651ab77f6ee1c6bf2ecf4802,1,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,80%,50%,10%,70%,group,0,0,0,0,,,stim,c1
p9d2vc9otv,6647.800000011921,521977,651ab77f6ee1c6bf2ecf4802,,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,,,,,,,,,,The lecturer did not attend,,ans,c1
p9d2vc9otv,8402.59999999404,535510,651ab77f6ee1c6bf2ecf4802,0,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,10%,70%,80%,50%,job,1,1,1,0,,,stim,c5
p9d2vc9otv,13105.09999999404,571353,651ab77f6ee1c6bf2ecf4802,,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,,,,,,,,,,The candidate demonstrated skill A,,ans,c5
p9d2vc9otv,7334.0999999940395,583750,651ab77f6ee1c6bf2ecf4802,1,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,80%,50%,10%,70%,job,1,1,0,1,,,stim,d6
p9d2vc9otv,5331.199999988079,610211,651ab77f6ee1c6bf2ecf4802,,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
p9d2vc9otv,6445.0999999940395,623294,651ab77f6ee1c6bf2ecf4802,0,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,50%,10%,50%,80%,job,0,1,1,1,,,stim,d3
p9d2vc9otv,10606.5,652657,651ab77f6ee1c6bf2ecf4802,,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
p9d2vc9otv,3306.600000023842,662860,651ab77f6ee1c6bf2ecf4802,0,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,10%,70%,80%,50%,job,1,0,0,0,,,stim,c3
p9d2vc9otv,7075.0999999940395,692290,651ab77f6ee1c6bf2ecf4802,,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c3
p9d2vc9otv,6973.800000011921,704643,651ab77f6ee1c6bf2ecf4802,1,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,50%,80%,50%,10%,cook,1,0,1,1,,,stim,d5
p9d2vc9otv,6702.700000017881,727008,651ab77f6ee1c6bf2ecf4802,,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,,,,,,,,,,The dessert impressed the panel,,ans,d5
p9d2vc9otv,1720,733375,651ab77f6ee1c6bf2ecf4802,0,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,10%,50%,80%,50%,group,0,1,0,1,,,stim,d2
p9d2vc9otv,3722.9000000059605,747269,651ab77f6ee1c6bf2ecf4802,,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,,,,,,,,,,The lecturer did not attend,,ans,d2
p9d2vc9otv,1979.199999988079,756157,651ab77f6ee1c6bf2ecf4802,1,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,80%,50%,10%,70%,cook,1,1,1,1,,,stim,d7
p9d2vc9otv,4577.800000011921,770242,651ab77f6ee1c6bf2ecf4802,,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,,,,,,,,,,The dessert impressed the panel,,ans,d7
p9d2vc9otv,2890.4000000059605,776519,651ab77f6ee1c6bf2ecf4802,0,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,10%,50%,80%,50%,job,1,0,0,1,,,stim,d4
p9d2vc9otv,13217.600000023842,801921,651ab77f6ee1c6bf2ecf4802,,668582e30cf76773d7ac09c4,66859fc119279648eb6d92f7,,,,,,,,,,The candidate did not have skill B,,ans,d4
