subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
pqek3zm8sj,22706.900000095367,348124,6659f91690c067aa84c59264,0,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,10%,50%,80%,50%,group,0,0,0,1,,,stim,d1
pqek3zm8sj,158363,538463,6659f91690c067aa84c59264,,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,,,,,,,,,,The postdoc talked about the paper,,ans,d1
pqek3zm8sj,24802.299999952316,614712,6659f91690c067aa84c59264,1,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,50%,80%,50%,10%,group,0,1,0,1,,,stim,d2
pqek3zm8sj,57735.90000009537,693989,6659f91690c067aa84c59264,,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,,,,,,,,,,The postdoc did not talk about the paper,,ans,d2
pqek3zm8sj,27931.200000047684,752289,6659f91690c067aa84c59264,1,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,80%,50%,10%,50%,cook,0,1,0,0,,,stim,c2
pqek3zm8sj,18824.10000014305,814078,6659f91690c067aa84c59264,,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,,,,,,,,,,The dessert did not impress the panel,,ans,c2
pqek3zm8sj,7268.200000047684,830591,6659f91690c067aa84c59264,0,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,50%,10%,50%,80%,cook,1,1,1,1,,,stim,d7
pqek3zm8sj,26626.200000047684,868914,6659f91690c067aa84c59264,,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,,,,,,,,,,The dessert impressed the panel,,ans,d7
pqek3zm8sj,7613.800000190735,893482,6659f91690c067aa84c59264,1,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,80%,50%,10%,50%,group,1,0,0,1,,,stim,d4
pqek3zm8sj,31310.200000047684,935939,6659f91690c067aa84c59264,,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,,,,,,,,,,The lecturer did not talk about the paper,,ans,d4
pqek3zm8sj,3238.100000143051,969906,6659f91690c067aa84c59264,0,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,10%,50%,80%,50%,cook,1,1,0,1,,,stim,d6
pqek3zm8sj,31125.800000190735,1011483,6659f91690c067aa84c59264,,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,,,,,,,,,,The main dish did not impress the panel,,ans,d6
pqek3zm8sj,9386.700000047684,1036038,6659f91690c067aa84c59264,1,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,80%,50%,10%,70%,cook,1,0,1,1,,,stim,d5
pqek3zm8sj,31023.200000047684,1080157,6659f91690c067aa84c59264,,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,,,,,,,,,,The main dish impressed the panel,,ans,d5
pqek3zm8sj,8022.099999904633,1097161,6659f91690c067aa84c59264,1,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,80%,50%,10%,50%,cook,0,1,1,1,,,stim,d3
pqek3zm8sj,12183.799999952316,1121266,6659f91690c067aa84c59264,,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,,,,,,,,,,The dessert impressed the panel,,ans,d3
pqek3zm8sj,2364.9000000953674,1129092,6659f91690c067aa84c59264,0,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,50%,10%,50%,80%,cook,1,1,1,0,,,stim,c5
pqek3zm8sj,11248.099999904633,1148943,6659f91690c067aa84c59264,,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,,,,,,,,,,The dessert impressed the panel,,ans,c5
pqek3zm8sj,2890.5,1157157,6659f91690c067aa84c59264,0,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,50%,10%,50%,80%,cook,0,0,0,0,,,stim,c1
pqek3zm8sj,22928.200000047684,1186647,6659f91690c067aa84c59264,,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,,,,,,,,,,The main dish did not impress the panel,,ans,c1
pqek3zm8sj,1999.7999999523163,1193550,6659f91690c067aa84c59264,1,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,80%,50%,10%,50%,cook,1,0,0,0,,,stim,c3
pqek3zm8sj,14194,1215275,6659f91690c067aa84c59264,,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,,,,,,,,,,The main dish did not impress the panel,,ans,c3
pqek3zm8sj,2421.4000000953674,1223356,6659f91690c067aa84c59264,1,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,80%,50%,10%,50%,group,1,1,0,0,,,stim,c4
pqek3zm8sj,17572.800000190735,1248104,6659f91690c067aa84c59264,,668582e30cf76773d7ac09c4,668591dfabbdf1d4cd38e49b,,,,,,,,,,The lecturer did not talk about the paper,,ans,c4
