subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
pxtuxd90qq,54803.59999999963,415670,5f2afec0781f2848ac688140,1,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,80%,50%,10%,70%,cook,1,1,0,1,,,stim,d6
pxtuxd90qq,39601.199999999255,511503,5f2afec0781f2848ac688140,,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,,,,,,,,,,The chef completed the main dish,,ans,d6
pxtuxd90qq,5108,532645,5f2afec0781f2848ac688140,1,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,80%,50%,10%,50%,cook,1,0,1,1,,,stim,d5
pxtuxd90qq,22685.39999999944,559382,5f2afec0781f2848ac688140,,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,,,,,,,,,,The chef did not complete the dessert,,ans,d5
pxtuxd90qq,7047.5,582256,5f2afec0781f2848ac688140,1,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,50%,80%,50%,10%,group,1,1,1,0,,,stim,c5
pxtuxd90qq,20694.900000000373,619563,5f2afec0781f2848ac688140,,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,,,,,,,,,,The postdoc attended,,ans,c5
pxtuxd90qq,2682.5,633308,5f2afec0781f2848ac688140,1,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,80%,50%,10%,70%,cook,0,0,0,1,,,stim,d1
pxtuxd90qq,26113.599999999627,668242,5f2afec0781f2848ac688140,,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,,,,,,,,,,The chef did not complete the main dish,,ans,d1
pxtuxd90qq,2237.199999999255,677788,5f2afec0781f2848ac688140,1,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,80%,50%,10%,50%,cook,0,1,0,1,,,stim,d2
pxtuxd90qq,11345.700000000186,693801,5f2afec0781f2848ac688140,,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,,,,,,,,,,The chef completed the dessert,,ans,d2
pxtuxd90qq,12579.900000000373,712724,5f2afec0781f2848ac688140,1,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,50%,80%,50%,10%,group,0,1,0,0,,,stim,c2
pxtuxd90qq,13891.700000000186,771801,5f2afec0781f2848ac688140,,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,,,,,,,,,,The postdoc talked about the paper,,ans,c2
pxtuxd90qq,26213.099999999627,806838,5f2afec0781f2848ac688140,0,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,10%,50%,80%,50%,job,1,1,1,1,,,stim,d7
pxtuxd90qq,11584.700000000186,825121,5f2afec0781f2848ac688140,,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,,,,,,,,,,The candidate had skill B,,ans,d7
pxtuxd90qq,3525.4000000003725,836740,5f2afec0781f2848ac688140,0,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,50%,10%,50%,80%,job,1,0,0,0,,,stim,c3
pxtuxd90qq,7865.300000000745,849221,5f2afec0781f2848ac688140,,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,,,,,,,,,,The candidate did not have skill B,,ans,c3
pxtuxd90qq,13277,873613,5f2afec0781f2848ac688140,0,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,50%,10%,50%,80%,cook,1,0,0,1,,,stim,d4
pxtuxd90qq,6022.299999999814,888574,5f2afec0781f2848ac688140,,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,,,,,,,,,,The chef did not complete the dessert,,ans,d4
pxtuxd90qq,10030.399999999441,908472,5f2afec0781f2848ac688140,0,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,10%,50%,80%,50%,group,0,1,1,1,,,stim,d3
pxtuxd90qq,18112,932845,5f2afec0781f2848ac688140,,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,,,,,,,,,,The postdoc attended,,ans,d3
pxtuxd90qq,3107.5,943550,5f2afec0781f2848ac688140,0,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,50%,10%,50%,80%,job,1,1,0,0,,,stim,c4
pxtuxd90qq,21674.099999999627,973537,5f2afec0781f2848ac688140,,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,,,,,,,,,,The candidate had skill A,,ans,c4
pxtuxd90qq,6467.800000000745,989690,5f2afec0781f2848ac688140,0,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,50%,10%,50%,80%,cook,0,0,0,0,,,stim,c1
pxtuxd90qq,10794.300000000745,1009381,5f2afec0781f2848ac688140,,668582e30cf76773d7ac09c4,6685927ca8cf495bf9f70f8b,,,,,,,,,,The chef did not complete the main dish,,ans,c1
