subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
qyobsw3uey,21608.600000023842,240598,60c868dfe6a9eb15f4c2f663,1,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,80%,50%,10%,70%,job,1,0,1,1,,,stim,d5
qyobsw3uey,24589.600000023842,287263,60c868dfe6a9eb15f4c2f663,,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
qyobsw3uey,5716.399999976158,298984,60c868dfe6a9eb15f4c2f663,0,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,50%,10%,50%,80%,job,0,0,0,1,,,stim,d1
qyobsw3uey,24462.600000023842,331742,60c868dfe6a9eb15f4c2f663,,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,,,,,,,,,,The candidate did not have skill B,,ans,d1
qyobsw3uey,2826.2000000476837,341616,60c868dfe6a9eb15f4c2f663,0,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,10%,50%,80%,50%,job,0,1,0,1,,,stim,d2
qyobsw3uey,7846.600000023842,363202,60c868dfe6a9eb15f4c2f663,,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,,,,,,,,,,The candidate demonstrated skill B,,ans,d2
qyobsw3uey,9667.300000011921,382833,60c868dfe6a9eb15f4c2f663,1,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,50%,80%,50%,10%,group,1,0,0,1,,,stim,d4
qyobsw3uey,5673.5,402379,60c868dfe6a9eb15f4c2f663,,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,,,,,,,,,,The lecturer did not talk about the paper,,ans,d4
qyobsw3uey,10583.199999988079,423909,60c868dfe6a9eb15f4c2f663,0,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,50%,10%,50%,80%,cook,1,1,1,1,,,stim,d7
qyobsw3uey,10077,441647,60c868dfe6a9eb15f4c2f663,,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,,,,,,,,,,The main dish impressed the panel,,ans,d7
qyobsw3uey,1710.2999999523163,448570,60c868dfe6a9eb15f4c2f663,0,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,10%,50%,80%,50%,job,0,0,0,0,,,stim,c1
qyobsw3uey,9729.5,463752,60c868dfe6a9eb15f4c2f663,,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,,,,,,,,,,The candidate did not have skill A,,ans,c1
qyobsw3uey,2813.699999988079,471408,60c868dfe6a9eb15f4c2f663,1,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,80%,50%,10%,50%,job,1,0,0,0,,,stim,c3
qyobsw3uey,4246,483745,60c868dfe6a9eb15f4c2f663,,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,,,,,,,,,,The candidate demonstrated skill A,,ans,c3
qyobsw3uey,1429.2999999523163,490969,60c868dfe6a9eb15f4c2f663,0,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,10%,50%,80%,50%,cook,0,1,0,0,,,stim,c2
qyobsw3uey,5780.399999976158,507288,60c868dfe6a9eb15f4c2f663,,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,,,,,,,,,,The dessert did not impress the panel,,ans,c2
qyobsw3uey,1389.300000011921,512651,60c868dfe6a9eb15f4c2f663,1,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,50%,80%,50%,10%,job,1,1,0,1,,,stim,d6
qyobsw3uey,5538.699999988079,524527,60c868dfe6a9eb15f4c2f663,,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
qyobsw3uey,1409.199999988079,530225,60c868dfe6a9eb15f4c2f663,0,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,10%,70%,80%,50%,cook,1,1,0,0,,,stim,c4
qyobsw3uey,3614.800000011921,541117,60c868dfe6a9eb15f4c2f663,,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,,,,,,,,,,The dessert did not impress the panel,,ans,c4
qyobsw3uey,1751.5999999642372,555561,60c868dfe6a9eb15f4c2f663,1,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,80%,50%,10%,50%,cook,1,1,1,0,,,stim,c5
qyobsw3uey,7297.5,569252,60c868dfe6a9eb15f4c2f663,,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,,,,,,,,,,The dessert impressed the panel,,ans,c5
qyobsw3uey,1352.5,573558,60c868dfe6a9eb15f4c2f663,0,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,10%,50%,80%,50%,group,0,1,1,1,,,stim,d3
qyobsw3uey,4888.300000011921,582716,60c868dfe6a9eb15f4c2f663,,668582e30cf76773d7ac09c4,66858f0360c5239314409e1e,,,,,,,,,,The postdoc talked about the paper,,ans,d3
