subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
rdkyy1h4mj,23003.199999809265,233786,5cd6f56d4a405a001747f8bc,0,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,10%,70%,80%,50%,group,1,0,0,1,,,stim,d4
rdkyy1h4mj,24597.699999809265,275797,5cd6f56d4a405a001747f8bc,,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,,,,,,,,,,The lecturer did not talk about the paper,,ans,d4
rdkyy1h4mj,3085.199999809265,578154,5cd6f56d4a405a001747f8bc,1,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,80%,50%,10%,70%,job,1,0,0,0,,,stim,c3
rdkyy1h4mj,58158.10000038147,666811,5cd6f56d4a405a001747f8bc,,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c3
rdkyy1h4mj,2089.6000003814697,703751,5cd6f56d4a405a001747f8bc,0,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,10%,50%,80%,50%,cook,0,0,0,0,,,stim,c1
rdkyy1h4mj,73440.79999923706,781365,5cd6f56d4a405a001747f8bc,,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,,,,,,,,,,The chef did not complete the main dish,,ans,c1
rdkyy1h4mj,2683.7999992370605,790160,5cd6f56d4a405a001747f8bc,0,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,10%,50%,80%,50%,job,1,1,0,1,,,stim,d6
rdkyy1h4mj,35053.5,840679,5cd6f56d4a405a001747f8bc,,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d6
rdkyy1h4mj,9289.39999961853,862205,5cd6f56d4a405a001747f8bc,1,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,80%,50%,10%,70%,cook,0,1,0,0,,,stim,c2
rdkyy1h4mj,27176.199999809265,893508,5cd6f56d4a405a001747f8bc,,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,,,,,,,,,,The chef did not complete the main dish,,ans,c2
rdkyy1h4mj,1648.1000003814697,900937,5cd6f56d4a405a001747f8bc,0,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,10%,50%,80%,50%,group,1,1,1,0,,,stim,c5
rdkyy1h4mj,24530.599999427795,935189,5cd6f56d4a405a001747f8bc,,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,,,,,,,,,,The lecturer attended,,ans,c5
rdkyy1h4mj,8572.60000038147,972863,5cd6f56d4a405a001747f8bc,1,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,50%,80%,50%,10%,job,0,1,0,1,,,stim,d2
rdkyy1h4mj,17981,994370,5cd6f56d4a405a001747f8bc,,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
rdkyy1h4mj,13147.199999809265,1050052,5cd6f56d4a405a001747f8bc,0,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,10%,50%,80%,50%,cook,1,1,1,1,,,stim,d7
rdkyy1h4mj,71348,1124870,5cd6f56d4a405a001747f8bc,,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,,,,,,,,,,The chef completed the main dish,,ans,d7
rdkyy1h4mj,19262.89999961853,1165951,5cd6f56d4a405a001747f8bc,1,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,80%,50%,10%,50%,cook,1,1,0,0,,,stim,c4
rdkyy1h4mj,16696.699999809265,1192760,5cd6f56d4a405a001747f8bc,,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,,,,,,,,,,The main dish did not impress the panel,,ans,c4
rdkyy1h4mj,8214.39999961853,1204900,5cd6f56d4a405a001747f8bc,1,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,80%,50%,10%,50%,cook,1,0,1,1,,,stim,d5
rdkyy1h4mj,6989.89999961853,1220418,5cd6f56d4a405a001747f8bc,,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,,,,,,,,,,The main dish impressed the panel,,ans,d5
rdkyy1h4mj,6705,1233301,5cd6f56d4a405a001747f8bc,0,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,10%,70%,80%,50%,group,0,0,0,1,,,stim,d1
rdkyy1h4mj,34179.699999809265,1271992,5cd6f56d4a405a001747f8bc,,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,,,,,,,,,,The lecturer did not attend,,ans,d1
rdkyy1h4mj,5416.800000190735,1280873,5cd6f56d4a405a001747f8bc,0,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,10%,70%,80%,50%,group,0,1,1,1,,,stim,d3
rdkyy1h4mj,12933.39999961853,1297015,5cd6f56d4a405a001747f8bc,,668582e30cf76773d7ac09c4,66858f38a7d0cd9aa08ec96b,,,,,,,,,,The postdoc talked about the paper,,ans,d3
