subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
rlfn2wc8ba,17651,291347,6023f94d1951e70ae21770ec,1,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,50%,80%,50%,10%,group,0,1,1,1,,,stim,d3
rlfn2wc8ba,30132.69999998808,355201,6023f94d1951e70ae21770ec,,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,,,,,,,,,,The postdoc attended,,ans,d3
rlfn2wc8ba,6788.100000023842,377116,6023f94d1951e70ae21770ec,1,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,50%,80%,50%,10%,cook,0,1,0,0,,,stim,c2
rlfn2wc8ba,15875.5,407983,6023f94d1951e70ae21770ec,,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,,,,,,,,,,The chef did not complete the main dish,,ans,c2
rlfn2wc8ba,13720.699999988079,430857,6023f94d1951e70ae21770ec,1,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,80%,50%,10%,70%,job,1,1,1,1,,,stim,d7
rlfn2wc8ba,59779,505551,6023f94d1951e70ae21770ec,,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,,,,,,,,,,The candidate had skill A,,ans,d7
rlfn2wc8ba,4292.300000011921,514854,6023f94d1951e70ae21770ec,0,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,10%,50%,80%,50%,cook,1,0,0,0,,,stim,c3
rlfn2wc8ba,9147.100000023842,533978,6023f94d1951e70ae21770ec,,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,,,,,,,,,,The chef completed the main dish,,ans,c3
rlfn2wc8ba,1331,538364,6023f94d1951e70ae21770ec,0,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,10%,70%,80%,50%,group,1,1,0,1,,,stim,d6
rlfn2wc8ba,31663.19999998808,581877,6023f94d1951e70ae21770ec,,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,,,,,,,,,,The lecturer attended,,ans,d6
rlfn2wc8ba,4264.5,589888,6023f94d1951e70ae21770ec,1,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,50%,80%,50%,10%,cook,0,0,0,1,,,stim,d1
rlfn2wc8ba,8556.800000011921,605913,6023f94d1951e70ae21770ec,,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,,,,,,,,,,The chef did not complete the main dish,,ans,d1
rlfn2wc8ba,1836.7999999523163,610401,6023f94d1951e70ae21770ec,1,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,80%,50%,10%,50%,cook,1,0,1,1,,,stim,d5
rlfn2wc8ba,5038.800000011921,621227,6023f94d1951e70ae21770ec,,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,,,,,,,,,,The chef completed the main dish,,ans,d5
rlfn2wc8ba,3348.699999988079,627093,6023f94d1951e70ae21770ec,1,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,50%,80%,50%,10%,group,0,1,0,1,,,stim,d2
rlfn2wc8ba,13812.800000011921,644143,6023f94d1951e70ae21770ec,,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,,,,,,,,,,The postdoc attended,,ans,d2
rlfn2wc8ba,1536.300000011921,647892,6023f94d1951e70ae21770ec,0,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,10%,70%,80%,50%,job,0,0,0,0,,,stim,c1
rlfn2wc8ba,11542.800000011921,662932,6023f94d1951e70ae21770ec,,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,,,,,,,,,,The candidate did not have skill A,,ans,c1
rlfn2wc8ba,1076.8999999761581,666270,6023f94d1951e70ae21770ec,0,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,50%,10%,50%,80%,group,1,0,0,1,,,stim,d4
rlfn2wc8ba,5130.5,677294,6023f94d1951e70ae21770ec,,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,,,,,,,,,,The lecturer attended,,ans,d4
rlfn2wc8ba,970.6999999880791,681247,6023f94d1951e70ae21770ec,1,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,50%,80%,50%,10%,job,1,1,0,0,,,stim,c4
rlfn2wc8ba,4321,689653,6023f94d1951e70ae21770ec,,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,,,,,,,,,,The candidate had skill A,,ans,c4
rlfn2wc8ba,2188.399999976158,694191,6023f94d1951e70ae21770ec,0,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,10%,70%,80%,50%,job,1,1,1,0,,,stim,c5
rlfn2wc8ba,10401.199999988079,708513,6023f94d1951e70ae21770ec,,668582e30cf76773d7ac09c4,66859429ab1b19a80460839d,,,,,,,,,,The candidate had skill B,,ans,c5
