subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
ro16ul0xb6,12468.099999904633,162651,636641442c4e1755bafdb121,1,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,80%,50%,10%,50%,group,0,1,1,1,,,stim,d3
ro16ul0xb6,20475.5,196536,636641442c4e1755bafdb121,,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,,,,,,,,,,The postdoc talked about the paper,,ans,d3
ro16ul0xb6,4665.099999904633,209202,636641442c4e1755bafdb121,1,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,80%,50%,10%,50%,group,0,1,0,1,,,stim,d2
ro16ul0xb6,11466.399999856949,230301,636641442c4e1755bafdb121,,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,,,,,,,,,,The postdoc attended,,ans,d2
ro16ul0xb6,15178.400000095367,257154,636641442c4e1755bafdb121,1,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,80%,50%,10%,50%,cook,1,1,0,1,,,stim,d6
ro16ul0xb6,16310.399999856949,287382,636641442c4e1755bafdb121,,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,,,,,,,,,,The main dish did not impress the panel,,ans,d6
ro16ul0xb6,6093.099999904633,298709,636641442c4e1755bafdb121,0,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,10%,70%,80%,50%,cook,1,1,1,1,,,stim,d7
ro16ul0xb6,28409.39999985695,346760,636641442c4e1755bafdb121,,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,,,,,,,,,,The main dish impressed the panel,,ans,d7
ro16ul0xb6,6132.299999952316,357961,636641442c4e1755bafdb121,0,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,50%,10%,50%,80%,job,1,0,0,1,,,stim,d4
ro16ul0xb6,38406.300000190735,411763,636641442c4e1755bafdb121,,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d4
ro16ul0xb6,2661.0999999046326,420303,636641442c4e1755bafdb121,0,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,50%,10%,50%,80%,cook,1,1,1,0,,,stim,c5
ro16ul0xb6,8218.400000095367,441539,636641442c4e1755bafdb121,,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,,,,,,,,,,The dessert impressed the panel,,ans,c5
ro16ul0xb6,7001.900000095367,453954,636641442c4e1755bafdb121,0,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,50%,10%,50%,80%,group,0,1,0,0,,,stim,c2
ro16ul0xb6,22727.400000095367,485532,636641442c4e1755bafdb121,,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,,,,,,,,,,The lecturer did not attend,,ans,c2
ro16ul0xb6,5462.200000047684,494444,636641442c4e1755bafdb121,1,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,50%,80%,50%,10%,group,0,0,0,0,,,stim,c1
ro16ul0xb6,16234.200000047684,521662,636641442c4e1755bafdb121,,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,,,,,,,,,,The lecturer did not attend,,ans,c1
ro16ul0xb6,8887.200000047684,534322,636641442c4e1755bafdb121,0,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,50%,10%,50%,80%,job,1,0,0,0,,,stim,c3
ro16ul0xb6,5293.5,544553,636641442c4e1755bafdb121,,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,,,,,,,,,,The candidate did not have skill B,,ans,c3
ro16ul0xb6,5591.200000047684,553355,636641442c4e1755bafdb121,1,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,80%,50%,10%,50%,group,1,0,1,1,,,stim,d5
ro16ul0xb6,17595.700000047684,584504,636641442c4e1755bafdb121,,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,,,,,,,,,,The lecturer talked about the paper,,ans,d5
ro16ul0xb6,8295.700000047684,596460,636641442c4e1755bafdb121,0,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,10%,50%,80%,50%,cook,1,1,0,0,,,stim,c4
ro16ul0xb6,37625.59999990463,640533,636641442c4e1755bafdb121,,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,,,,,,,,,,The dessert did not impress the panel,,ans,c4
ro16ul0xb6,3782.0999999046326,647349,636641442c4e1755bafdb121,0,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,10%,50%,80%,50%,cook,0,0,0,1,,,stim,d1
ro16ul0xb6,5248.100000143051,668597,636641442c4e1755bafdb121,,668582e30cf76773d7ac09c4,66858f232cb5c26657312677,,,,,,,,,,The chef did not complete the dessert,,ans,d1
