subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
rukphlhlb0,14390.90000000596,209954,606c8e6bc369e4344ecd5ed1,1,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,50%,80%,50%,10%,job,1,1,0,1,,,stim,d6
rukphlhlb0,64467.29999999702,305151,606c8e6bc369e4344ecd5ed1,,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
rukphlhlb0,4813.0999999940395,317366,606c8e6bc369e4344ecd5ed1,0,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,50%,10%,50%,80%,job,1,1,1,0,,,stim,c5
rukphlhlb0,32330.79999999702,356613,606c8e6bc369e4344ecd5ed1,,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,,,,,,,,,,The candidate demonstrated skill B,,ans,c5
rukphlhlb0,14358.79999999702,375426,606c8e6bc369e4344ecd5ed1,1,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,80%,50%,10%,70%,job,0,1,1,1,,,stim,d3
rukphlhlb0,26795.70000000298,409514,606c8e6bc369e4344ecd5ed1,,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
rukphlhlb0,15689.60000000894,429831,606c8e6bc369e4344ecd5ed1,1,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,50%,80%,50%,10%,job,1,0,0,0,,,stim,c3
rukphlhlb0,31995.19999998808,467047,606c8e6bc369e4344ecd5ed1,,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,,,,,,,,,,The candidate did not have skill B,,ans,c3
rukphlhlb0,15556.09999999404,485763,606c8e6bc369e4344ecd5ed1,1,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,80%,50%,10%,50%,cook,1,1,0,0,,,stim,c4
rukphlhlb0,56130.09999999404,553946,606c8e6bc369e4344ecd5ed1,,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,,,,,,,,,,The main dish did not impress the panel,,ans,c4
rukphlhlb0,13955.60000000894,571289,606c8e6bc369e4344ecd5ed1,0,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,10%,50%,80%,50%,job,0,0,0,0,,,stim,c1
rukphlhlb0,14103.699999988079,589608,606c8e6bc369e4344ecd5ed1,,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,,,,,,,,,,The candidate did not have skill A,,ans,c1
rukphlhlb0,17471.60000000894,610032,606c8e6bc369e4344ecd5ed1,0,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,50%,10%,50%,80%,cook,0,0,0,1,,,stim,d1
rukphlhlb0,21812.20000000298,636525,606c8e6bc369e4344ecd5ed1,,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,,,,,,,,,,The chef did not complete the main dish,,ans,d1
rukphlhlb0,19923.29999999702,664314,606c8e6bc369e4344ecd5ed1,0,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,10%,50%,80%,50%,group,1,0,0,1,,,stim,d4
rukphlhlb0,46605.59999999404,714576,606c8e6bc369e4344ecd5ed1,,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,,,,,,,,,,The postdoc did not attend,,ans,d4
rukphlhlb0,1320.9000000059605,719163,606c8e6bc369e4344ecd5ed1,1,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,80%,50%,10%,50%,cook,0,1,0,0,,,stim,c2
rukphlhlb0,27529.90000000596,749082,606c8e6bc369e4344ecd5ed1,,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,,,,,,,,,,The chef did not complete the main dish,,ans,c2
rukphlhlb0,4584.5999999940395,759554,606c8e6bc369e4344ecd5ed1,0,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,10%,70%,80%,50%,cook,1,1,1,1,,,stim,d7
rukphlhlb0,14918.90000000596,778861,606c8e6bc369e4344ecd5ed1,,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,,,,,,,,,,The main dish impressed the panel,,ans,d7
rukphlhlb0,1169,782707,606c8e6bc369e4344ecd5ed1,0,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,10%,50%,80%,50%,group,0,1,0,1,,,stim,d2
rukphlhlb0,12759.79999999702,798187,606c8e6bc369e4344ecd5ed1,,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,,,,,,,,,,The lecturer did not attend,,ans,d2
rukphlhlb0,9099.79999999702,809908,606c8e6bc369e4344ecd5ed1,0,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,10%,50%,80%,50%,group,1,0,1,1,,,stim,d5
rukphlhlb0,9165.5,822832,606c8e6bc369e4344ecd5ed1,,668582e30cf76773d7ac09c4,66859c926c648fb225cc04c7,,,,,,,,,,The lecturer talked about the paper,,ans,d5
