subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
s0xj8epd2g,39434.299999952316,230092,5e3dea50f0cb00069dc8e486,0,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,10%,70%,80%,50%,job,0,0,0,1,,,stim,d1
s0xj8epd2g,52216.5,306353,5e3dea50f0cb00069dc8e486,,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,,,,,,,,,,The candidate did not have skill B,,ans,d1
s0xj8epd2g,12940.5,337910,5e3dea50f0cb00069dc8e486,0,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,50%,10%,50%,80%,cook,0,1,0,1,,,stim,d2
s0xj8epd2g,34690.5,399825,5e3dea50f0cb00069dc8e486,,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,,,,,,,,,,The dessert did not impress the panel,,ans,d2
s0xj8epd2g,11146.199999809265,421608,5e3dea50f0cb00069dc8e486,0,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,50%,10%,50%,80%,cook,1,1,0,1,,,stim,d6
s0xj8epd2g,11903,447319,5e3dea50f0cb00069dc8e486,,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,,,,,,,,,,The dessert did not impress the panel,,ans,d6
s0xj8epd2g,11108.799999952316,470347,5e3dea50f0cb00069dc8e486,0,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,10%,50%,80%,50%,group,1,1,1,0,,,stim,c5
s0xj8epd2g,28348.900000095367,507281,5e3dea50f0cb00069dc8e486,,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,,,,,,,,,,The postdoc talked about the paper,,ans,c5
s0xj8epd2g,6774.899999856949,520147,5e3dea50f0cb00069dc8e486,1,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,80%,50%,10%,50%,job,0,1,1,1,,,stim,d3
s0xj8epd2g,11030.799999952316,554555,5e3dea50f0cb00069dc8e486,,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
s0xj8epd2g,10976.899999856949,571117,5e3dea50f0cb00069dc8e486,1,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,80%,50%,10%,70%,group,0,0,0,0,,,stim,c1
s0xj8epd2g,8050.700000047684,584909,5e3dea50f0cb00069dc8e486,,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,,,,,,,,,,The lecturer did not attend,,ans,c1
s0xj8epd2g,2210.7999999523163,595991,5e3dea50f0cb00069dc8e486,0,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,10%,70%,80%,50%,group,1,0,0,0,,,stim,c3
s0xj8epd2g,4891,607859,5e3dea50f0cb00069dc8e486,,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,,,,,,,,,,The lecturer attended,,ans,c3
s0xj8epd2g,9280.899999856949,621789,5e3dea50f0cb00069dc8e486,1,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,80%,50%,10%,70%,job,1,1,1,1,,,stim,d7
s0xj8epd2g,14082.700000047684,641952,5e3dea50f0cb00069dc8e486,,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,,,,,,,,,,The candidate demonstrated skill B,,ans,d7
s0xj8epd2g,5644.200000047684,654939,5e3dea50f0cb00069dc8e486,0,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,10%,50%,80%,50%,group,1,0,1,1,,,stim,d5
s0xj8epd2g,4938.799999952316,692887,5e3dea50f0cb00069dc8e486,,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,,,,,,,,,,The lecturer talked about the paper,,ans,d5
s0xj8epd2g,8404.700000047684,708049,5e3dea50f0cb00069dc8e486,0,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,50%,10%,50%,80%,cook,1,0,0,1,,,stim,d4
s0xj8epd2g,6716.799999952316,724883,5e3dea50f0cb00069dc8e486,,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,,,,,,,,,,The chef did not complete the dessert,,ans,d4
s0xj8epd2g,5626.700000047684,738113,5e3dea50f0cb00069dc8e486,0,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,10%,70%,80%,50%,cook,1,1,0,0,,,stim,c4
s0xj8epd2g,5363.099999904633,756301,5e3dea50f0cb00069dc8e486,,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,,,,,,,,,,The dessert did not impress the panel,,ans,c4
s0xj8epd2g,5594.700000047684,771585,5e3dea50f0cb00069dc8e486,1,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,80%,50%,10%,50%,cook,0,1,0,0,,,stim,c2
s0xj8epd2g,13843,797551,5e3dea50f0cb00069dc8e486,,668582e30cf76773d7ac09c4,6685925323164c78b27f1420,,,,,,,,,,The dessert did not impress the panel,,ans,c2
