subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
sqanaeak35,17459,199689,6684695aa5012650ecd8adb6,1,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,80%,50%,10%,50%,cook,1,0,0,1,,,stim,d4
sqanaeak35,26910,244406,6684695aa5012650ecd8adb6,,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,,,,,,,,,,The main dish did not impress the panel,,ans,d4
sqanaeak35,6169,258413,6684695aa5012650ecd8adb6,1,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,50%,80%,50%,10%,cook,0,1,0,0,,,stim,c2
sqanaeak35,9471,290922,6684695aa5012650ecd8adb6,,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,,,,,,,,,,The dessert did not impress the panel,,ans,c2
sqanaeak35,15753,321320,6684695aa5012650ecd8adb6,1,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,80%,50%,10%,50%,job,0,0,0,1,,,stim,d1
sqanaeak35,25860,355144,6684695aa5012650ecd8adb6,,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,,,,,,,,,,The candidate did not have skill A,,ans,d1
sqanaeak35,6348,366763,6684695aa5012650ecd8adb6,1,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,80%,50%,10%,70%,job,0,0,0,0,,,stim,c1
sqanaeak35,11296,382975,6684695aa5012650ecd8adb6,,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,,,,,,,,,,The candidate did not have skill A,,ans,c1
sqanaeak35,7131,398967,6684695aa5012650ecd8adb6,1,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,80%,50%,10%,70%,group,0,1,0,1,,,stim,d2
sqanaeak35,17913,431735,6684695aa5012650ecd8adb6,,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,,,,,,,,,,The postdoc did not talk about the paper,,ans,d2
sqanaeak35,10201,446935,6684695aa5012650ecd8adb6,0,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,10%,70%,80%,50%,group,1,0,0,0,,,stim,c3
sqanaeak35,3782,458585,6684695aa5012650ecd8adb6,,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,,,,,,,,,,The lecturer did not talk about the paper,,ans,c3
sqanaeak35,2255,469167,6684695aa5012650ecd8adb6,1,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,80%,50%,10%,70%,group,0,1,1,1,,,stim,d3
sqanaeak35,2667,478343,6684695aa5012650ecd8adb6,,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,,,,,,,,,,The postdoc talked about the paper,,ans,d3
sqanaeak35,6199,488133,6684695aa5012650ecd8adb6,0,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,10%,70%,80%,50%,job,1,0,1,1,,,stim,d5
sqanaeak35,2667,495468,6684695aa5012650ecd8adb6,,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
sqanaeak35,1813,500839,6684695aa5012650ecd8adb6,0,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,10%,50%,80%,50%,cook,1,1,1,1,,,stim,d7
sqanaeak35,12572,521627,6684695aa5012650ecd8adb6,,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,,,,,,,,,,The dessert impressed the panel,,ans,d7
sqanaeak35,1271,527643,6684695aa5012650ecd8adb6,1,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,80%,50%,10%,70%,cook,1,1,0,0,,,stim,c4
sqanaeak35,4363,542687,6684695aa5012650ecd8adb6,,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,,,,,,,,,,The dessert did not impress the panel,,ans,c4
sqanaeak35,2006,550693,6684695aa5012650ecd8adb6,0,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,50%,10%,50%,80%,job,1,1,0,1,,,stim,d6
sqanaeak35,23191,579995,6684695aa5012650ecd8adb6,,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,,,,,,,,,,The candidate demonstrated skill B,,ans,d6
sqanaeak35,1505,586931,6684695aa5012650ecd8adb6,1,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,50%,80%,50%,10%,job,1,1,1,0,,,stim,c5
sqanaeak35,6779,597603,6684695aa5012650ecd8adb6,,668582e30cf76773d7ac09c4,668593d04fa66050be409c30,,,,,,,,,,The candidate demonstrated skill A,,ans,c5
