subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
sy0nupmc9r,27371.200000047684,248299,65cc7054d8076d79e5fd92dd,1,668582e30cf76773d7ac09c4,668590fef78a57871b796def,80%,50%,10%,70%,group,1,1,1,0,,,stim,c5
sy0nupmc9r,43227.200000047684,307391,65cc7054d8076d79e5fd92dd,,668582e30cf76773d7ac09c4,668590fef78a57871b796def,,,,,,,,,,The postdoc talked about the paper,,ans,c5
sy0nupmc9r,17643.5,345251,65cc7054d8076d79e5fd92dd,0,668582e30cf76773d7ac09c4,668590fef78a57871b796def,50%,10%,50%,80%,cook,1,1,1,1,,,stim,d7
sy0nupmc9r,16915,375112,65cc7054d8076d79e5fd92dd,,668582e30cf76773d7ac09c4,668590fef78a57871b796def,,,,,,,,,,The dessert impressed the panel,,ans,d7
sy0nupmc9r,3257.2999999523163,392408,65cc7054d8076d79e5fd92dd,1,668582e30cf76773d7ac09c4,668590fef78a57871b796def,80%,50%,10%,50%,group,0,1,1,1,,,stim,d3
sy0nupmc9r,15072.299999952316,411684,65cc7054d8076d79e5fd92dd,,668582e30cf76773d7ac09c4,668590fef78a57871b796def,,,,,,,,,,The postdoc talked about the paper,,ans,d3
sy0nupmc9r,10220.799999952316,429136,65cc7054d8076d79e5fd92dd,0,668582e30cf76773d7ac09c4,668590fef78a57871b796def,10%,50%,80%,50%,job,0,0,0,0,,,stim,c1
sy0nupmc9r,18101.200000047684,461155,65cc7054d8076d79e5fd92dd,,668582e30cf76773d7ac09c4,668590fef78a57871b796def,,,,,,,,,,The candidate did not have skill A,,ans,c1
sy0nupmc9r,2233.100000143051,468170,65cc7054d8076d79e5fd92dd,0,668582e30cf76773d7ac09c4,668590fef78a57871b796def,50%,10%,50%,80%,job,0,0,0,1,,,stim,d1
sy0nupmc9r,4175.400000095367,477927,65cc7054d8076d79e5fd92dd,,668582e30cf76773d7ac09c4,668590fef78a57871b796def,,,,,,,,,,The candidate did not have skill A,,ans,d1
sy0nupmc9r,3363.4000000953674,484365,65cc7054d8076d79e5fd92dd,0,668582e30cf76773d7ac09c4,668590fef78a57871b796def,10%,70%,80%,50%,job,1,0,1,1,,,stim,d5
sy0nupmc9r,10785.099999904633,513980,65cc7054d8076d79e5fd92dd,,668582e30cf76773d7ac09c4,668590fef78a57871b796def,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
sy0nupmc9r,1855.2999999523163,519664,65cc7054d8076d79e5fd92dd,0,668582e30cf76773d7ac09c4,668590fef78a57871b796def,50%,10%,50%,80%,job,1,1,0,0,,,stim,c4
sy0nupmc9r,13382.599999904633,541174,65cc7054d8076d79e5fd92dd,,668582e30cf76773d7ac09c4,668590fef78a57871b796def,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c4
sy0nupmc9r,1568.7000000476837,546888,65cc7054d8076d79e5fd92dd,0,668582e30cf76773d7ac09c4,668590fef78a57871b796def,50%,10%,50%,80%,job,1,0,0,1,,,stim,d4
sy0nupmc9r,9671.200000047684,561837,65cc7054d8076d79e5fd92dd,,668582e30cf76773d7ac09c4,668590fef78a57871b796def,,,,,,,,,,The candidate did not have skill B,,ans,d4
sy0nupmc9r,1633.3999998569489,568651,65cc7054d8076d79e5fd92dd,1,668582e30cf76773d7ac09c4,668590fef78a57871b796def,50%,80%,50%,10%,group,0,1,0,1,,,stim,d2
sy0nupmc9r,7473,581573,65cc7054d8076d79e5fd92dd,,668582e30cf76773d7ac09c4,668590fef78a57871b796def,,,,,,,,,,The lecturer did not attend,,ans,d2
sy0nupmc9r,1511.2000000476837,593775,65cc7054d8076d79e5fd92dd,1,668582e30cf76773d7ac09c4,668590fef78a57871b796def,80%,50%,10%,50%,cook,1,1,0,1,,,stim,d6
sy0nupmc9r,7079.800000190735,614428,65cc7054d8076d79e5fd92dd,,668582e30cf76773d7ac09c4,668590fef78a57871b796def,,,,,,,,,,The main dish did not impress the panel,,ans,d6
sy0nupmc9r,1181.1000001430511,619379,65cc7054d8076d79e5fd92dd,1,668582e30cf76773d7ac09c4,668590fef78a57871b796def,50%,80%,50%,10%,cook,1,0,0,0,,,stim,c3
sy0nupmc9r,3970.5999999046326,633646,65cc7054d8076d79e5fd92dd,,668582e30cf76773d7ac09c4,668590fef78a57871b796def,,,,,,,,,,The main dish did not impress the panel,,ans,c3
sy0nupmc9r,1195.2000000476837,642912,65cc7054d8076d79e5fd92dd,0,668582e30cf76773d7ac09c4,668590fef78a57871b796def,10%,70%,80%,50%,cook,0,1,0,0,,,stim,c2
sy0nupmc9r,3653.300000190735,657312,65cc7054d8076d79e5fd92dd,,668582e30cf76773d7ac09c4,668590fef78a57871b796def,,,,,,,,,,The dessert did not impress the panel,,ans,c2
