subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
t7rkbew6vb,18231,271557,6661f33cacc560b874987ac0,1,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,50%,80%,50%,10%,job,0,1,0,0,,,stim,c2
t7rkbew6vb,67803.29999995232,353282,6661f33cacc560b874987ac0,,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,,,,,,,,,,The candidate did not have skill A,,ans,c2
t7rkbew6vb,9373,383196,6661f33cacc560b874987ac0,1,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,80%,50%,10%,50%,cook,1,0,1,1,,,stim,d5
t7rkbew6vb,10621.200000047684,411393,6661f33cacc560b874987ac0,,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,,,,,,,,,,The dessert impressed the panel,,ans,d5
t7rkbew6vb,5137.399999976158,428216,6661f33cacc560b874987ac0,1,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,80%,50%,10%,50%,group,1,0,0,0,,,stim,c3
t7rkbew6vb,14883.600000023842,453773,6661f33cacc560b874987ac0,,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,,,,,,,,,,The postdoc did not talk about the paper,,ans,c3
t7rkbew6vb,6563.5,464936,6661f33cacc560b874987ac0,0,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,10%,70%,80%,50%,job,1,1,0,0,,,stim,c4
t7rkbew6vb,21159.100000023842,490692,6661f33cacc560b874987ac0,,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
t7rkbew6vb,4084.5999999046326,499148,6661f33cacc560b874987ac0,1,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,80%,50%,10%,50%,cook,0,1,0,1,,,stim,d2
t7rkbew6vb,3939.7999999523163,519015,6661f33cacc560b874987ac0,,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,,,,,,,,,,The dessert did not impress the panel,,ans,d2
t7rkbew6vb,3088,526743,6661f33cacc560b874987ac0,1,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,80%,50%,10%,70%,cook,1,0,0,1,,,stim,d4
t7rkbew6vb,14431.100000023842,557956,6661f33cacc560b874987ac0,,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,,,,,,,,,,The main dish did not impress the panel,,ans,d4
t7rkbew6vb,997.1000000238419,562684,6661f33cacc560b874987ac0,0,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,50%,10%,50%,80%,group,0,1,1,1,,,stim,d3
t7rkbew6vb,17107.699999928474,582472,6661f33cacc560b874987ac0,,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,,,,,,,,,,The postdoc talked about the paper,,ans,d3
t7rkbew6vb,1293.3999999761581,586604,6661f33cacc560b874987ac0,0,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,10%,50%,80%,50%,cook,1,1,0,1,,,stim,d6
t7rkbew6vb,32166.200000047684,621127,6661f33cacc560b874987ac0,,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,,,,,,,,,,The main dish did not impress the panel,,ans,d6
t7rkbew6vb,1274.9000000953674,625296,6661f33cacc560b874987ac0,0,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,50%,10%,50%,80%,group,0,0,0,1,,,stim,d1
t7rkbew6vb,19215.799999952316,646816,6661f33cacc560b874987ac0,,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,,,,,,,,,,The lecturer did not attend,,ans,d1
t7rkbew6vb,1335.2999999523163,650478,6661f33cacc560b874987ac0,1,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,80%,50%,10%,70%,group,0,0,0,0,,,stim,c1
t7rkbew6vb,36681.5,688807,6661f33cacc560b874987ac0,,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,,,,,,,,,,The postdoc did not attend,,ans,c1
t7rkbew6vb,1166.8999999761581,692436,6661f33cacc560b874987ac0,1,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,50%,80%,50%,10%,group,1,1,1,1,,,stim,d7
t7rkbew6vb,37201.39999997616,731882,6661f33cacc560b874987ac0,,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,,,,,,,,,,The postdoc talked about the paper,,ans,d7
t7rkbew6vb,1362.5,736742,6661f33cacc560b874987ac0,0,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,10%,70%,80%,50%,cook,1,1,1,0,,,stim,c5
t7rkbew6vb,13067.799999952316,751848,6661f33cacc560b874987ac0,,668582e30cf76773d7ac09c4,66858c47b03562711b4dcdff,,,,,,,,,,The main dish impressed the panel,,ans,c5
