subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
tnycdny6pq,23581,337903,613136eccda4c8d083922634,0,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,10%,50%,80%,50%,job,1,1,1,1,,,stim,d7
tnycdny6pq,28953,382526,613136eccda4c8d083922634,,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,,,,,,,,,,The candidate demonstrated skill A,,ans,d7
tnycdny6pq,9440,406352,613136eccda4c8d083922634,1,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,80%,50%,10%,70%,job,1,0,0,0,,,stim,c3
tnycdny6pq,20676.00000000006,446119,613136eccda4c8d083922634,,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,,,,,,,,,,The candidate did not have skill B,,ans,c3
tnycdny6pq,12265,469737,613136eccda4c8d083922634,1,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,80%,50%,10%,70%,group,1,1,0,1,,,stim,d6
tnycdny6pq,41517,529071,613136eccda4c8d083922634,,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,,,,,,,,,,The postdoc talked about the paper,,ans,d6
tnycdny6pq,2582,540086,613136eccda4c8d083922634,1,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,50%,80%,50%,10%,group,1,1,0,0,,,stim,c4
tnycdny6pq,18753,571940,613136eccda4c8d083922634,,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,,,,,,,,,,The postdoc talked about the paper,,ans,c4
tnycdny6pq,1165,581453,613136eccda4c8d083922634,0,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,10%,70%,80%,50%,job,0,1,0,0,,,stim,c2
tnycdny6pq,43266,630753,613136eccda4c8d083922634,,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,,,,,,,,,,The candidate did not have skill A,,ans,c2
tnycdny6pq,1550,656103,613136eccda4c8d083922634,1,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,80%,50%,10%,70%,cook,0,1,1,1,,,stim,d3
tnycdny6pq,41133.00000000012,700386,613136eccda4c8d083922634,,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,,,,,,,,,,The dessert impressed the panel,,ans,d3
tnycdny6pq,748.9999999998836,703486,613136eccda4c8d083922634,1,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,80%,50%,10%,70%,group,1,0,1,1,,,stim,d5
tnycdny6pq,17600,722552,613136eccda4c8d083922634,,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,,,,,,,,,,The lecturer attended,,ans,d5
tnycdny6pq,814.9999999998836,725735,613136eccda4c8d083922634,1,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,80%,50%,10%,50%,group,0,0,0,0,,,stim,c1
tnycdny6pq,26615.999999999884,754602,613136eccda4c8d083922634,,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,,,,,,,,,,The lecturer did not attend,,ans,c1
tnycdny6pq,1032,757702,613136eccda4c8d083922634,1,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,50%,80%,50%,10%,cook,0,1,0,1,,,stim,d2
tnycdny6pq,43304,802525,613136eccda4c8d083922634,,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,,,,,,,,,,The main dish did not impress the panel,,ans,d2
tnycdny6pq,1063,806935,613136eccda4c8d083922634,1,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,80%,50%,10%,70%,job,1,1,1,0,,,stim,c5
tnycdny6pq,25185,836488,613136eccda4c8d083922634,,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,,,,,,,,,,The candidate demonstrated skill B,,ans,c5
tnycdny6pq,814.9999999998836,842602,613136eccda4c8d083922634,0,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,10%,50%,80%,50%,cook,0,0,0,1,,,stim,d1
tnycdny6pq,25467.000000000116,870252,613136eccda4c8d083922634,,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,,,,,,,,,,The chef did not complete the dessert,,ans,d1
tnycdny6pq,832,873252,613136eccda4c8d083922634,1,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,80%,50%,10%,70%,cook,1,0,0,1,,,stim,d4
tnycdny6pq,19783,894669,613136eccda4c8d083922634,,668582e30cf76773d7ac09c4,66858f19562f091b64b82f7f,,,,,,,,,,The main dish did not impress the panel,,ans,d4
