subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
u0o70f9myr,14441.900000002235,281524,6329b1258c984641503643b9,0,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,50%,10%,50%,80%,group,1,0,0,0,,,stim,c3
u0o70f9myr,39293.400000002235,349948,6329b1258c984641503643b9,,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,,,,,,,,,,The lecturer did not talk about the paper,,ans,c3
u0o70f9myr,14117.099999997765,371144,6329b1258c984641503643b9,0,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,10%,50%,80%,50%,group,1,1,0,0,,,stim,c4
u0o70f9myr,38174.5,426846,6329b1258c984641503643b9,,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,,,,,,,,,,The postdoc did not talk about the paper,,ans,c4
u0o70f9myr,22351.800000000745,453753,6329b1258c984641503643b9,1,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,80%,50%,10%,50%,job,1,0,0,1,,,stim,d4
u0o70f9myr,32658.5,510209,6329b1258c984641503643b9,,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,,,,,,,,,,The candidate did not have skill B,,ans,d4
u0o70f9myr,7365.300000000745,524331,6329b1258c984641503643b9,1,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,80%,50%,10%,50%,job,0,1,1,1,,,stim,d3
u0o70f9myr,38369.5,581075,6329b1258c984641503643b9,,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d3
u0o70f9myr,16267.79999999702,605490,6329b1258c984641503643b9,0,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,10%,70%,80%,50%,cook,1,1,1,0,,,stim,c5
u0o70f9myr,32442.60000000149,659747,6329b1258c984641503643b9,,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,,,,,,,,,,The chef completed the main dish,,ans,c5
u0o70f9myr,5907.699999999255,668481,6329b1258c984641503643b9,1,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,50%,80%,50%,10%,group,0,1,0,1,,,stim,d2
u0o70f9myr,25473.400000002235,703666,6329b1258c984641503643b9,,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,,,,,,,,,,The postdoc did not talk about the paper,,ans,d2
u0o70f9myr,2273.300000000745,708372,6329b1258c984641503643b9,0,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,50%,10%,50%,80%,job,1,1,1,1,,,stim,d7
u0o70f9myr,70064.19999999925,785573,6329b1258c984641503643b9,,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,,,,,,,,,,The candidate demonstrated skill B,,ans,d7
u0o70f9myr,9965.300000000745,798326,6329b1258c984641503643b9,1,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,80%,50%,10%,50%,cook,0,1,0,0,,,stim,c2
u0o70f9myr,21094.10000000149,836242,6329b1258c984641503643b9,,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,,,,,,,,,,The chef did not complete the main dish,,ans,c2
u0o70f9myr,1017.5,839574,6329b1258c984641503643b9,0,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,10%,50%,80%,50%,cook,1,0,1,1,,,stim,d5
u0o70f9myr,10669.199999999255,866030,6329b1258c984641503643b9,,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,,,,,,,,,,The main dish impressed the panel,,ans,d5
u0o70f9myr,817.3000000007451,869560,6329b1258c984641503643b9,0,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,10%,50%,80%,50%,job,0,0,0,1,,,stim,d1
u0o70f9myr,18829.199999999255,903462,6329b1258c984641503643b9,,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,,,,,,,,,,The candidate did not have skill B,,ans,d1
u0o70f9myr,5479.300000000745,911546,6329b1258c984641503643b9,0,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,10%,70%,80%,50%,group,1,1,0,1,,,stim,d6
u0o70f9myr,59167,982608,6329b1258c984641503643b9,,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,,,,,,,,,,The postdoc did not talk about the paper,,ans,d6
u0o70f9myr,1653.5,986342,6329b1258c984641503643b9,1,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,80%,50%,10%,50%,job,0,0,0,0,,,stim,c1
u0o70f9myr,11377.5,1004864,6329b1258c984641503643b9,,668582e30cf76773d7ac09c4,66859418866be077d3623d1f,,,,,,,,,,The candidate did not have skill A,,ans,c1
