subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
uoykg3s46w,12701.600000023842,222261,5eb041548fb5a50b442ea70d,1,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,50%,80%,50%,10%,cook,1,0,0,0,,,stim,c3
uoykg3s46w,18624.399999976158,257609,5eb041548fb5a50b442ea70d,,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,,,,,,,,,,The chef did not complete the dessert,,ans,c3
uoykg3s46w,12216.300000011921,278675,5eb041548fb5a50b442ea70d,1,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,50%,80%,50%,10%,group,1,1,0,0,,,stim,c4
uoykg3s46w,18605.59999999404,309381,5eb041548fb5a50b442ea70d,,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,,,,,,,,,,The lecturer did not talk about the paper,,ans,c4
uoykg3s46w,7619.9000000059605,324923,5eb041548fb5a50b442ea70d,0,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,10%,50%,80%,50%,cook,1,1,1,1,,,stim,d7
uoykg3s46w,22203.70000001788,350843,5eb041548fb5a50b442ea70d,,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,,,,,,,,,,The chef completed the main dish,,ans,d7
uoykg3s46w,5832,364356,5eb041548fb5a50b442ea70d,1,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,50%,80%,50%,10%,group,0,1,1,1,,,stim,d3
uoykg3s46w,14037.800000011921,386203,5eb041548fb5a50b442ea70d,,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,,,,,,,,,,The postdoc talked about the paper,,ans,d3
uoykg3s46w,9908.100000023842,400744,5eb041548fb5a50b442ea70d,0,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,50%,10%,50%,80%,job,1,1,0,1,,,stim,d6
uoykg3s46w,12949.299999982119,423960,5eb041548fb5a50b442ea70d,,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
uoykg3s46w,8337,443294,5eb041548fb5a50b442ea70d,0,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,10%,50%,80%,50%,job,0,1,0,1,,,stim,d2
uoykg3s46w,10302.199999988079,458400,5eb041548fb5a50b442ea70d,,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
uoykg3s46w,6392,471148,5eb041548fb5a50b442ea70d,0,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,10%,70%,80%,50%,group,0,1,0,0,,,stim,c2
uoykg3s46w,8539.5,488968,5eb041548fb5a50b442ea70d,,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,,,,,,,,,,The postdoc did not talk about the paper,,ans,c2
uoykg3s46w,3055.800000011921,500721,5eb041548fb5a50b442ea70d,1,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,80%,50%,10%,50%,cook,1,0,1,1,,,stim,d5
uoykg3s46w,7373.699999988079,517956,5eb041548fb5a50b442ea70d,,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,,,,,,,,,,The main dish impressed the panel,,ans,d5
uoykg3s46w,4715,525707,5eb041548fb5a50b442ea70d,0,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,10%,50%,80%,50%,group,1,0,0,1,,,stim,d4
uoykg3s46w,10748.59999999404,544490,5eb041548fb5a50b442ea70d,,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,,,,,,,,,,The lecturer did not talk about the paper,,ans,d4
uoykg3s46w,3179.399999976158,550485,5eb041548fb5a50b442ea70d,0,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,50%,10%,50%,80%,cook,1,1,1,0,,,stim,c5
uoykg3s46w,8883.199999988079,565342,5eb041548fb5a50b442ea70d,,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,,,,,,,,,,The main dish impressed the panel,,ans,c5
uoykg3s46w,1775.699999988079,569444,5eb041548fb5a50b442ea70d,1,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,80%,50%,10%,70%,cook,0,0,0,0,,,stim,c1
uoykg3s46w,8945.59999999404,581371,5eb041548fb5a50b442ea70d,,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,,,,,,,,,,The chef did not complete the main dish,,ans,c1
uoykg3s46w,3233.5999999940395,589656,5eb041548fb5a50b442ea70d,0,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,10%,50%,80%,50%,group,0,0,0,1,,,stim,d1
uoykg3s46w,8458.5,600371,5eb041548fb5a50b442ea70d,,668582e30cf76773d7ac09c4,66858b57034c00f59c942791,,,,,,,,,,The postdoc did not attend,,ans,d1
