subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
v54ftyo0dk,23370.799999952316,151204,5aa8e2fd873cda00012d1f1b,1,668582e30cf76773d7ac09c4,6685903675f991912f62e455,50%,80%,50%,10%,group,0,0,0,1,,,stim,d1
v54ftyo0dk,38407.5,205875,5aa8e2fd873cda00012d1f1b,,668582e30cf76773d7ac09c4,6685903675f991912f62e455,,,,,,,,,,The lecturer did not attend,,ans,d1
v54ftyo0dk,2827.600000023842,213115,5aa8e2fd873cda00012d1f1b,1,668582e30cf76773d7ac09c4,6685903675f991912f62e455,50%,80%,50%,10%,group,1,1,1,0,,,stim,c5
v54ftyo0dk,11782.199999928474,231412,5aa8e2fd873cda00012d1f1b,,668582e30cf76773d7ac09c4,6685903675f991912f62e455,,,,,,,,,,The lecturer talked about the paper,,ans,c5
v54ftyo0dk,2263.100000023842,239148,5aa8e2fd873cda00012d1f1b,0,668582e30cf76773d7ac09c4,6685903675f991912f62e455,10%,50%,80%,50%,group,0,1,0,0,,,stim,c2
v54ftyo0dk,17860.799999952316,260077,5aa8e2fd873cda00012d1f1b,,668582e30cf76773d7ac09c4,6685903675f991912f62e455,,,,,,,,,,The postdoc attended,,ans,c2
v54ftyo0dk,8330.099999904633,274810,5aa8e2fd873cda00012d1f1b,0,668582e30cf76773d7ac09c4,6685903675f991912f62e455,10%,70%,80%,50%,cook,0,0,0,0,,,stim,c1
v54ftyo0dk,19557.600000023842,301446,5aa8e2fd873cda00012d1f1b,,668582e30cf76773d7ac09c4,6685903675f991912f62e455,,,,,,,,,,The chef did not complete the main dish,,ans,c1
v54ftyo0dk,1634.9000000953674,306712,5aa8e2fd873cda00012d1f1b,0,668582e30cf76773d7ac09c4,6685903675f991912f62e455,50%,10%,50%,80%,cook,1,0,1,1,,,stim,d5
v54ftyo0dk,20038,329099,5aa8e2fd873cda00012d1f1b,,668582e30cf76773d7ac09c4,6685903675f991912f62e455,,,,,,,,,,The main dish impressed the panel,,ans,d5
v54ftyo0dk,1325.5,334144,5aa8e2fd873cda00012d1f1b,0,668582e30cf76773d7ac09c4,6685903675f991912f62e455,50%,10%,50%,80%,group,1,0,0,1,,,stim,d4
v54ftyo0dk,34582.60000002384,371871,5aa8e2fd873cda00012d1f1b,,668582e30cf76773d7ac09c4,6685903675f991912f62e455,,,,,,,,,,The postdoc did not attend,,ans,d4
v54ftyo0dk,3508.2000000476837,381456,5aa8e2fd873cda00012d1f1b,1,668582e30cf76773d7ac09c4,6685903675f991912f62e455,80%,50%,10%,70%,job,0,1,0,1,,,stim,d2
v54ftyo0dk,22907.5,409085,5aa8e2fd873cda00012d1f1b,,668582e30cf76773d7ac09c4,6685903675f991912f62e455,,,,,,,,,,The candidate did not have skill A,,ans,d2
v54ftyo0dk,1646.2999999523163,414680,5aa8e2fd873cda00012d1f1b,1,668582e30cf76773d7ac09c4,6685903675f991912f62e455,80%,50%,10%,50%,cook,1,0,0,0,,,stim,c3
v54ftyo0dk,9470.299999952316,426808,5aa8e2fd873cda00012d1f1b,,668582e30cf76773d7ac09c4,6685903675f991912f62e455,,,,,,,,,,The chef did not complete the dessert,,ans,c3
v54ftyo0dk,2154,431634,5aa8e2fd873cda00012d1f1b,1,668582e30cf76773d7ac09c4,6685903675f991912f62e455,80%,50%,10%,70%,cook,0,1,1,1,,,stim,d3
v54ftyo0dk,3726.1999999284744,437936,5aa8e2fd873cda00012d1f1b,,668582e30cf76773d7ac09c4,6685903675f991912f62e455,,,,,,,,,,The dessert impressed the panel,,ans,d3
v54ftyo0dk,1283.8999999761581,441859,5aa8e2fd873cda00012d1f1b,1,668582e30cf76773d7ac09c4,6685903675f991912f62e455,50%,80%,50%,10%,group,1,1,0,1,,,stim,d6
v54ftyo0dk,13181.700000047684,457556,5aa8e2fd873cda00012d1f1b,,668582e30cf76773d7ac09c4,6685903675f991912f62e455,,,,,,,,,,The lecturer did not talk about the paper,,ans,d6
v54ftyo0dk,1311,461595,5aa8e2fd873cda00012d1f1b,1,668582e30cf76773d7ac09c4,6685903675f991912f62e455,50%,80%,50%,10%,group,1,1,0,0,,,stim,c4
v54ftyo0dk,12306.200000047684,476111,5aa8e2fd873cda00012d1f1b,,668582e30cf76773d7ac09c4,6685903675f991912f62e455,,,,,,,,,,The lecturer did not talk about the paper,,ans,c4
v54ftyo0dk,1147.8000000715256,480430,5aa8e2fd873cda00012d1f1b,1,668582e30cf76773d7ac09c4,6685903675f991912f62e455,50%,80%,50%,10%,cook,1,1,1,1,,,stim,d7
v54ftyo0dk,6884.5,489731,5aa8e2fd873cda00012d1f1b,,668582e30cf76773d7ac09c4,6685903675f991912f62e455,,,,,,,,,,The dessert impressed the panel,,ans,d7
