subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
ve8dva9lhw,5519,106384,5f0c441700d38758b94c5fe9,0,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,10%,50%,80%,50%,group,1,1,1,1,,,stim,d7
ve8dva9lhw,24788,137999,5f0c441700d38758b94c5fe9,,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,,,,,,,,,,The postdoc talked about the paper,,ans,d7
ve8dva9lhw,7041,150758,5f0c441700d38758b94c5fe9,0,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,10%,50%,80%,50%,job,0,0,0,1,,,stim,d1
ve8dva9lhw,24705,180365,5f0c441700d38758b94c5fe9,,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,,,,,,,,,,The candidate did not have skill B,,ans,d1
ve8dva9lhw,1033,184333,5f0c441700d38758b94c5fe9,0,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,10%,70%,80%,50%,job,1,1,1,0,,,stim,c5
ve8dva9lhw,9675,196330,5f0c441700d38758b94c5fe9,,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,,,,,,,,,,The candidate demonstrated skill A,,ans,c5
ve8dva9lhw,1015,202197,5f0c441700d38758b94c5fe9,1,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,80%,50%,10%,50%,cook,0,1,0,0,,,stim,c2
ve8dva9lhw,1100,219429,5f0c441700d38758b94c5fe9,0,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,10%,70%,80%,50%,group,0,1,1,1,,,stim,d3
ve8dva9lhw,11461.99999999997,215547,5f0c441700d38758b94c5fe9,,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,,,,,,,,,,The main dish did not impress the panel,,ans,c2
ve8dva9lhw,14896,236029,5f0c441700d38758b94c5fe9,,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,,,,,,,,,,The postdoc attended,,ans,d3
ve8dva9lhw,1431.9999999999418,240380,5f0c441700d38758b94c5fe9,1,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,50%,80%,50%,10%,group,0,0,0,0,,,stim,c1
ve8dva9lhw,7408,250541,5f0c441700d38758b94c5fe9,,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,,,,,,,,,,The postdoc did not attend,,ans,c1
ve8dva9lhw,865,253724,5f0c441700d38758b94c5fe9,1,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,80%,50%,10%,70%,cook,1,1,0,0,,,stim,c4
ve8dva9lhw,12010,267654,5f0c441700d38758b94c5fe9,,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,,,,,,,,,,The dessert did not impress the panel,,ans,c4
ve8dva9lhw,1350,271338,5f0c441700d38758b94c5fe9,1,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,50%,80%,50%,10%,group,1,0,0,1,,,stim,d4
ve8dva9lhw,8057,280848,5f0c441700d38758b94c5fe9,,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,,,,,,,,,,The postdoc did not attend,,ans,d4
ve8dva9lhw,665,283731,5f0c441700d38758b94c5fe9,1,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,80%,50%,10%,50%,group,0,1,0,1,,,stim,d2
ve8dva9lhw,7339,292492,5f0c441700d38758b94c5fe9,,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,,,,,,,,,,The postdoc did not talk about the paper,,ans,d2
ve8dva9lhw,1732,296359,5f0c441700d38758b94c5fe9,0,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,50%,10%,50%,80%,group,1,0,0,0,,,stim,c3
ve8dva9lhw,6022.999999999942,304303,5f0c441700d38758b94c5fe9,,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,,,,,,,,,,The lecturer attended,,ans,c3
ve8dva9lhw,1200,307719,5f0c441700d38758b94c5fe9,0,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,10%,70%,80%,50%,group,1,0,1,1,,,stim,d5
ve8dva9lhw,8640,317746,5f0c441700d38758b94c5fe9,,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,,,,,,,,,,The lecturer talked about the paper,,ans,d5
ve8dva9lhw,1132,321230,5f0c441700d38758b94c5fe9,1,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,80%,50%,10%,70%,group,1,1,0,1,,,stim,d6
ve8dva9lhw,4603.000000000058,327303,5f0c441700d38758b94c5fe9,,668582e30cf76773d7ac09c4,6685923ee211360468e27e00,,,,,,,,,,The lecturer did not talk about the paper,,ans,d6
