subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
vnyvpxbec1,21559,227953,666796ae61e3642d3f26847a,0,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,10%,50%,80%,50%,group,1,0,1,1,,,stim,d5
vnyvpxbec1,21712,276484,666796ae61e3642d3f26847a,,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,,,,,,,,,,The lecturer talked about the paper,,ans,d5
vnyvpxbec1,10617,306917,666796ae61e3642d3f26847a,0,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,10%,50%,80%,50%,cook,0,0,0,0,,,stim,c1
vnyvpxbec1,23272,346575,666796ae61e3642d3f26847a,,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,,,,,,,,,,The chef did not complete the main dish,,ans,c1
vnyvpxbec1,4080,355823,666796ae61e3642d3f26847a,0,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,10%,70%,80%,50%,cook,0,1,1,1,,,stim,d3
vnyvpxbec1,18757,381753,666796ae61e3642d3f26847a,,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,,,,,,,,,,The dessert impressed the panel,,ans,d3
vnyvpxbec1,12771,400963,666796ae61e3642d3f26847a,1,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,80%,50%,10%,70%,job,0,1,0,1,,,stim,d2
vnyvpxbec1,11689,431714,666796ae61e3642d3f26847a,,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
vnyvpxbec1,2139,437940,666796ae61e3642d3f26847a,1,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,80%,50%,10%,70%,job,1,0,0,0,,,stim,c3
vnyvpxbec1,35227,476312,666796ae61e3642d3f26847a,,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c3
vnyvpxbec1,2292,482825,666796ae61e3642d3f26847a,1,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,80%,50%,10%,50%,cook,1,0,0,1,,,stim,d4
vnyvpxbec1,3465,492938,666796ae61e3642d3f26847a,,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,,,,,,,,,,The main dish did not impress the panel,,ans,d4
vnyvpxbec1,1214,497097,666796ae61e3642d3f26847a,0,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,10%,50%,80%,50%,job,1,1,0,1,,,stim,d6
vnyvpxbec1,10784,512442,666796ae61e3642d3f26847a,,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d6
vnyvpxbec1,1442,518582,666796ae61e3642d3f26847a,1,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,80%,50%,10%,70%,group,1,1,1,1,,,stim,d7
vnyvpxbec1,12894,537604,666796ae61e3642d3f26847a,,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,,,,,,,,,,The lecturer talked about the paper,,ans,d7
vnyvpxbec1,930,540963,666796ae61e3642d3f26847a,0,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,50%,10%,50%,80%,cook,1,1,1,0,,,stim,c5
vnyvpxbec1,2273,547587,666796ae61e3642d3f26847a,,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,,,,,,,,,,The main dish impressed the panel,,ans,c5
vnyvpxbec1,790,550549,666796ae61e3642d3f26847a,0,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,10%,50%,80%,50%,group,0,1,0,0,,,stim,c2
vnyvpxbec1,6093,562912,666796ae61e3642d3f26847a,,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,,,,,,,,,,The postdoc did not talk about the paper,,ans,c2
vnyvpxbec1,894,566750,666796ae61e3642d3f26847a,1,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,50%,80%,50%,10%,cook,1,1,0,0,,,stim,c4
vnyvpxbec1,3063,577977,666796ae61e3642d3f26847a,,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,,,,,,,,,,The main dish did not impress the panel,,ans,c4
vnyvpxbec1,915,582246,666796ae61e3642d3f26847a,0,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,10%,50%,80%,50%,cook,0,0,0,1,,,stim,d1
vnyvpxbec1,1993,591895,666796ae61e3642d3f26847a,,668582e30cf76773d7ac09c4,6685904a0734d6da44b1bc3c,,,,,,,,,,The chef did not complete the main dish,,ans,d1
