subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
vwxgt9amyg,11778.600000000093,183755,668516350e42cf31e23f03dc,0,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,10%,70%,80%,50%,group,0,0,0,0,,,stim,c1
vwxgt9amyg,32391.299999999814,229140,668516350e42cf31e23f03dc,,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,,,,,,,,,,The postdoc did not attend,,ans,c1
vwxgt9amyg,7642.100000000093,245061,668516350e42cf31e23f03dc,0,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,50%,10%,50%,80%,group,1,1,0,0,,,stim,c4
vwxgt9amyg,75090.20000000019,342161,668516350e42cf31e23f03dc,,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,,,,,,,,,,The postdoc did not talk about the paper,,ans,c4
vwxgt9amyg,28495.5,379590,668516350e42cf31e23f03dc,1,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,50%,80%,50%,10%,job,1,0,0,0,,,stim,c3
vwxgt9amyg,30229,433974,668516350e42cf31e23f03dc,,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,,,,,,,,,,The candidate did not have skill B,,ans,c3
vwxgt9amyg,15183.400000000373,457023,668516350e42cf31e23f03dc,1,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,50%,80%,50%,10%,group,1,0,1,1,,,stim,d5
vwxgt9amyg,15479,480107,668516350e42cf31e23f03dc,,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,,,,,,,,,,The lecturer talked about the paper,,ans,d5
vwxgt9amyg,5804.199999999721,530356,668516350e42cf31e23f03dc,0,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,50%,10%,50%,80%,group,0,1,1,1,,,stim,d3
vwxgt9amyg,7803.0999999996275,545478,668516350e42cf31e23f03dc,,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,,,,,,,,,,The postdoc talked about the paper,,ans,d3
vwxgt9amyg,13784.799999999814,564782,668516350e42cf31e23f03dc,0,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,10%,70%,80%,50%,job,0,1,0,1,,,stim,d2
vwxgt9amyg,5058,590613,668516350e42cf31e23f03dc,,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
vwxgt9amyg,5092.800000000279,601549,668516350e42cf31e23f03dc,1,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,80%,50%,10%,70%,job,1,1,1,0,,,stim,c5
vwxgt9amyg,31861.399999999907,660012,668516350e42cf31e23f03dc,,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,,,,,,,,,,The candidate demonstrated skill A,,ans,c5
vwxgt9amyg,10151.599999999627,683171,668516350e42cf31e23f03dc,0,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,10%,50%,80%,50%,cook,1,1,1,1,,,stim,d7
vwxgt9amyg,22047.200000000186,714620,668516350e42cf31e23f03dc,,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,,,,,,,,,,The chef completed the main dish,,ans,d7
vwxgt9amyg,6996.899999999907,728229,668516350e42cf31e23f03dc,1,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,80%,50%,10%,50%,cook,0,1,0,0,,,stim,c2
vwxgt9amyg,19547.799999999814,760724,668516350e42cf31e23f03dc,,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,,,,,,,,,,The chef did not complete the main dish,,ans,c2
vwxgt9amyg,3542.600000000093,768616,668516350e42cf31e23f03dc,0,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,10%,50%,80%,50%,cook,1,0,0,1,,,stim,d4
vwxgt9amyg,9284.799999999814,801420,668516350e42cf31e23f03dc,,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,,,,,,,,,,The main dish did not impress the panel,,ans,d4
vwxgt9amyg,9768.5,818940,668516350e42cf31e23f03dc,0,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,10%,70%,80%,50%,job,0,0,0,1,,,stim,d1
vwxgt9amyg,10773,847702,668516350e42cf31e23f03dc,,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,,,,,,,,,,The candidate did not have skill B,,ans,d1
vwxgt9amyg,3046,856700,668516350e42cf31e23f03dc,0,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,10%,70%,80%,50%,cook,1,1,0,1,,,stim,d6
vwxgt9amyg,18145.899999999907,891371,668516350e42cf31e23f03dc,,668582e30cf76773d7ac09c4,66858de30a6f07826c64f5e5,,,,,,,,,,The main dish did not impress the panel,,ans,d6
