subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
w94ftrkuzs,24565,242725,59fa3f3705d1d60001f149da,1,668582e30cf76773d7ac09c4,668591c325309575643a67c6,80%,50%,10%,50%,cook,0,1,1,1,,,stim,d3
w94ftrkuzs,15722,272252,59fa3f3705d1d60001f149da,,668582e30cf76773d7ac09c4,668591c325309575643a67c6,,,,,,,,,,The dessert impressed the panel,,ans,d3
w94ftrkuzs,27242,314231,59fa3f3705d1d60001f149da,0,668582e30cf76773d7ac09c4,668591c325309575643a67c6,50%,10%,50%,80%,job,1,0,0,0,,,stim,c3
w94ftrkuzs,23621,355893,59fa3f3705d1d60001f149da,,668582e30cf76773d7ac09c4,668591c325309575643a67c6,,,,,,,,,,The candidate did not have skill B,,ans,c3
w94ftrkuzs,8280,391924,59fa3f3705d1d60001f149da,0,668582e30cf76773d7ac09c4,668591c325309575643a67c6,10%,70%,80%,50%,cook,1,1,0,1,,,stim,d6
w94ftrkuzs,26090,434427,59fa3f3705d1d60001f149da,,668582e30cf76773d7ac09c4,668591c325309575643a67c6,,,,,,,,,,The dessert did not impress the panel,,ans,d6
w94ftrkuzs,10831,472661,59fa3f3705d1d60001f149da,1,668582e30cf76773d7ac09c4,668591c325309575643a67c6,50%,80%,50%,10%,group,0,1,0,0,,,stim,c2
w94ftrkuzs,24526,514787,59fa3f3705d1d60001f149da,,668582e30cf76773d7ac09c4,668591c325309575643a67c6,,,,,,,,,,The lecturer did not attend,,ans,c2
w94ftrkuzs,24052,548245,59fa3f3705d1d60001f149da,1,668582e30cf76773d7ac09c4,668591c325309575643a67c6,50%,80%,50%,10%,job,1,1,0,0,,,stim,c4
w94ftrkuzs,18889,579832,59fa3f3705d1d60001f149da,,668582e30cf76773d7ac09c4,668591c325309575643a67c6,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
w94ftrkuzs,2027,588662,59fa3f3705d1d60001f149da,0,668582e30cf76773d7ac09c4,668591c325309575643a67c6,10%,50%,80%,50%,group,1,1,1,1,,,stim,d7
w94ftrkuzs,10429,605549,59fa3f3705d1d60001f149da,,668582e30cf76773d7ac09c4,668591c325309575643a67c6,,,,,,,,,,The lecturer attended,,ans,d7
w94ftrkuzs,2240,668581,59fa3f3705d1d60001f149da,0,668582e30cf76773d7ac09c4,668591c325309575643a67c6,50%,10%,50%,80%,job,0,0,0,1,,,stim,d1
w94ftrkuzs,21099,694306,59fa3f3705d1d60001f149da,,668582e30cf76773d7ac09c4,668591c325309575643a67c6,,,,,,,,,,The candidate did not have skill B,,ans,d1
w94ftrkuzs,1580,700863,59fa3f3705d1d60001f149da,0,668582e30cf76773d7ac09c4,668591c325309575643a67c6,10%,50%,80%,50%,group,0,1,0,1,,,stim,d2
w94ftrkuzs,8033,712116,59fa3f3705d1d60001f149da,,668582e30cf76773d7ac09c4,668591c325309575643a67c6,,,,,,,,,,The lecturer did not attend,,ans,d2
w94ftrkuzs,2109,719346,59fa3f3705d1d60001f149da,0,668582e30cf76773d7ac09c4,668591c325309575643a67c6,10%,70%,80%,50%,job,0,0,0,0,,,stim,c1
w94ftrkuzs,9334,735934,59fa3f3705d1d60001f149da,,668582e30cf76773d7ac09c4,668591c325309575643a67c6,,,,,,,,,,The candidate did not have skill B,,ans,c1
w94ftrkuzs,14571,755174,59fa3f3705d1d60001f149da,1,668582e30cf76773d7ac09c4,668591c325309575643a67c6,80%,50%,10%,70%,cook,1,1,1,0,,,stim,c5
w94ftrkuzs,21883,780489,59fa3f3705d1d60001f149da,,668582e30cf76773d7ac09c4,668591c325309575643a67c6,,,,,,,,,,The dessert impressed the panel,,ans,c5
w94ftrkuzs,1688,787506,59fa3f3705d1d60001f149da,1,668582e30cf76773d7ac09c4,668591c325309575643a67c6,80%,50%,10%,70%,group,1,0,1,1,,,stim,d5
w94ftrkuzs,8494,799340,59fa3f3705d1d60001f149da,,668582e30cf76773d7ac09c4,668591c325309575643a67c6,,,,,,,,,,The lecturer attended,,ans,d5
w94ftrkuzs,1593,806144,59fa3f3705d1d60001f149da,1,668582e30cf76773d7ac09c4,668591c325309575643a67c6,80%,50%,10%,50%,cook,1,0,0,1,,,stim,d4
w94ftrkuzs,22117,831430,59fa3f3705d1d60001f149da,,668582e30cf76773d7ac09c4,668591c325309575643a67c6,,,,,,,,,,The main dish did not impress the panel,,ans,d4
