subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
wepf2bqdnj,16895.90000000596,125933,6664382d20ea0a1d14a3cb4a,1,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,80%,50%,10%,50%,group,0,1,0,1,,,stim,d2
wepf2bqdnj,55499.79999999702,192996,6664382d20ea0a1d14a3cb4a,,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,,,,,,,,,,The lecturer did not attend,,ans,d2
wepf2bqdnj,12715.60000000894,213493,6664382d20ea0a1d14a3cb4a,1,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,80%,50%,10%,50%,cook,0,1,1,1,,,stim,d3
wepf2bqdnj,10876.59999999404,235100,6664382d20ea0a1d14a3cb4a,,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,,,,,,,,,,The dessert impressed the panel,,ans,d3
wepf2bqdnj,1180.0999999940395,242376,6664382d20ea0a1d14a3cb4a,0,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,50%,10%,50%,80%,cook,1,0,0,0,,,stim,c3
wepf2bqdnj,10975.59999999404,256814,6664382d20ea0a1d14a3cb4a,,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,,,,,,,,,,The main dish did not impress the panel,,ans,c3
wepf2bqdnj,917.5,263452,6664382d20ea0a1d14a3cb4a,1,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,50%,80%,50%,10%,cook,0,1,0,0,,,stim,c2
wepf2bqdnj,18052.70000000298,284083,6664382d20ea0a1d14a3cb4a,,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,,,,,,,,,,The dessert did not impress the panel,,ans,c2
wepf2bqdnj,3048.7999999970198,292165,6664382d20ea0a1d14a3cb4a,0,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,10%,50%,80%,50%,group,1,0,1,1,,,stim,d5
wepf2bqdnj,28124.79999999702,322790,6664382d20ea0a1d14a3cb4a,,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,,,,,,,,,,The lecturer talked about the paper,,ans,d5
wepf2bqdnj,6132.20000000298,332603,6664382d20ea0a1d14a3cb4a,1,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,80%,50%,10%,70%,job,1,1,0,0,,,stim,c4
wepf2bqdnj,64778,399200,6664382d20ea0a1d14a3cb4a,,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c4
wepf2bqdnj,716.2999999970198,402669,6664382d20ea0a1d14a3cb4a,1,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,80%,50%,10%,70%,group,1,1,0,1,,,stim,d6
wepf2bqdnj,11132.40000000596,415947,6664382d20ea0a1d14a3cb4a,,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,,,,,,,,,,The postdoc did not talk about the paper,,ans,d6
wepf2bqdnj,681,419228,6664382d20ea0a1d14a3cb4a,1,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,50%,80%,50%,10%,cook,0,0,0,0,,,stim,c1
wepf2bqdnj,14582.70000000298,436091,6664382d20ea0a1d14a3cb4a,,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,,,,,,,,,,The chef did not complete the main dish,,ans,c1
wepf2bqdnj,780.6000000089407,439137,6664382d20ea0a1d14a3cb4a,0,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,10%,50%,80%,50%,cook,0,0,0,1,,,stim,d1
wepf2bqdnj,36066.80000001192,476623,6664382d20ea0a1d14a3cb4a,,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,,,,,,,,,,The chef did not complete the dessert,,ans,d1
wepf2bqdnj,849.8000000119209,479405,6664382d20ea0a1d14a3cb4a,1,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,80%,50%,10%,50%,group,1,1,1,1,,,stim,d7
wepf2bqdnj,24606.70000000298,506306,6664382d20ea0a1d14a3cb4a,,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,,,,,,,,,,The lecturer talked about the paper,,ans,d7
wepf2bqdnj,1028.9000000059605,510577,6664382d20ea0a1d14a3cb4a,0,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,50%,10%,50%,80%,job,1,1,1,0,,,stim,c5
wepf2bqdnj,9807.199999988079,522006,6664382d20ea0a1d14a3cb4a,,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,,,,,,,,,,The candidate demonstrated skill B,,ans,c5
wepf2bqdnj,649.7000000029802,524772,6664382d20ea0a1d14a3cb4a,0,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,10%,50%,80%,50%,cook,1,0,0,1,,,stim,d4
wepf2bqdnj,23107.09999999404,549360,6664382d20ea0a1d14a3cb4a,,668582e30cf76773d7ac09c4,66858b448ce63312935defd1,,,,,,,,,,The main dish did not impress the panel,,ans,d4
