subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
wh6qudozua,23585,480752,5cc19050dfef1a00019523b6,1,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,80%,50%,10%,70%,job,1,0,1,1,,,stim,d5
wh6qudozua,31377.59999999404,527830,5cc19050dfef1a00019523b6,,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
wh6qudozua,12910.699999988079,548425,5cc19050dfef1a00019523b6,1,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,80%,50%,10%,50%,job,0,1,0,0,,,stim,c2
wh6qudozua,9766,570460,5cc19050dfef1a00019523b6,,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c2
wh6qudozua,21744.09999999404,611202,5cc19050dfef1a00019523b6,0,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,10%,70%,80%,50%,cook,1,1,1,0,,,stim,c5
wh6qudozua,22678.5,679476,5cc19050dfef1a00019523b6,,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,,,,,,,,,,The main dish impressed the panel,,ans,c5
wh6qudozua,7081.5,700556,5cc19050dfef1a00019523b6,1,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,50%,80%,50%,10%,group,0,0,0,1,,,stim,d1
wh6qudozua,15534.700000017881,726741,5cc19050dfef1a00019523b6,,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,,,,,,,,,,The lecturer did not attend,,ans,d1
wh6qudozua,39558.69999998808,771730,5cc19050dfef1a00019523b6,0,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,50%,10%,50%,80%,job,1,1,0,1,,,stim,d6
wh6qudozua,3977.0999999940395,801093,5cc19050dfef1a00019523b6,,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d6
wh6qudozua,4033.9000000059605,809661,5cc19050dfef1a00019523b6,1,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,50%,80%,50%,10%,job,1,0,0,1,,,stim,d4
wh6qudozua,7596.300000011921,824273,5cc19050dfef1a00019523b6,,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,,,,,,,,,,The candidate did not have skill B,,ans,d4
wh6qudozua,3257.4000000059605,834090,5cc19050dfef1a00019523b6,0,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,50%,10%,50%,80%,job,0,1,1,1,,,stim,d3
wh6qudozua,7245.699999988079,887465,5cc19050dfef1a00019523b6,,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,,,,,,,,,,The candidate did not have skill A,,ans,d3
wh6qudozua,93089.79999998212,1000293,5cc19050dfef1a00019523b6,0,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,10%,70%,80%,50%,cook,1,1,0,0,,,stim,c4
wh6qudozua,7230.5999999940395,1019267,5cc19050dfef1a00019523b6,,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,,,,,,,,,,The dessert did not impress the panel,,ans,c4
wh6qudozua,3392.800000011921,1047060,5cc19050dfef1a00019523b6,0,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,10%,50%,80%,50%,cook,0,1,0,1,,,stim,d2
wh6qudozua,9915.200000017881,1231288,5cc19050dfef1a00019523b6,,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,,,,,,,,,,The chef did not complete the main dish,,ans,d2
wh6qudozua,10990.200000017881,1263595,5cc19050dfef1a00019523b6,0,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,50%,10%,50%,80%,job,1,0,0,0,,,stim,c3
wh6qudozua,4764.600000023842,1321112,5cc19050dfef1a00019523b6,,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,,,,,,,,,,The candidate did not have skill B,,ans,c3
wh6qudozua,3176.300000011921,1328937,5cc19050dfef1a00019523b6,0,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,50%,10%,50%,80%,job,0,0,0,0,,,stim,c1
wh6qudozua,7378.799999982119,1341410,5cc19050dfef1a00019523b6,,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,,,,,,,,,,The candidate did not have skill A,,ans,c1
wh6qudozua,19245,1375673,5cc19050dfef1a00019523b6,0,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,10%,70%,80%,50%,cook,1,1,1,1,,,stim,d7
wh6qudozua,5295.5999999940395,1432279,5cc19050dfef1a00019523b6,,668582e30cf76773d7ac09c4,668598edc30ba93ed3c22f20,,,,,,,,,,The main dish impressed the panel,,ans,d7
