subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
wojnm8utac,39227,281936,578a060882f7f90001ee801e,0,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,10%,70%,80%,50%,job,1,0,1,1,,,stim,d5
wojnm8utac,13615,317393,578a060882f7f90001ee801e,,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
wojnm8utac,24142,358305,578a060882f7f90001ee801e,0,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,10%,70%,80%,50%,group,1,1,0,0,,,stim,c4
wojnm8utac,22935,413449,578a060882f7f90001ee801e,,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,,,,,,,,,,The postdoc did not talk about the paper,,ans,c4
wojnm8utac,15575,439740,578a060882f7f90001ee801e,0,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,50%,10%,50%,80%,job,0,0,0,1,,,stim,d1
wojnm8utac,25283,479925,578a060882f7f90001ee801e,,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,,,,,,,,,,The candidate did not have skill B,,ans,d1
wojnm8utac,21120,509910,578a060882f7f90001ee801e,1,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,80%,50%,10%,50%,group,0,1,0,1,,,stim,d2
wojnm8utac,4760,535256,578a060882f7f90001ee801e,,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,,,,,,,,,,The postdoc did not talk about the paper,,ans,d2
wojnm8utac,17416,559376,578a060882f7f90001ee801e,0,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,10%,70%,80%,50%,job,1,1,1,1,,,stim,d7
wojnm8utac,12483,582198,578a060882f7f90001ee801e,,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,,,,,,,,,,The candidate demonstrated skill A,,ans,d7
wojnm8utac,17679,625500,578a060882f7f90001ee801e,0,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,50%,10%,50%,80%,cook,1,1,0,1,,,stim,d6
wojnm8utac,7888,654094,578a060882f7f90001ee801e,,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,,,,,,,,,,The main dish did not impress the panel,,ans,d6
wojnm8utac,14849,676641,578a060882f7f90001ee801e,0,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,50%,10%,50%,80%,job,0,1,0,0,,,stim,c2
wojnm8utac,6455,689435,578a060882f7f90001ee801e,,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,,,,,,,,,,The candidate did not have skill A,,ans,c2
wojnm8utac,16623,721335,578a060882f7f90001ee801e,0,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,50%,10%,50%,80%,cook,0,1,1,1,,,stim,d3
wojnm8utac,4301,739980,578a060882f7f90001ee801e,,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,,,,,,,,,,The dessert impressed the panel,,ans,d3
wojnm8utac,15672,768738,578a060882f7f90001ee801e,1,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,50%,80%,50%,10%,cook,1,1,1,0,,,stim,c5
wojnm8utac,6405,788471,578a060882f7f90001ee801e,,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,,,,,,,,,,The main dish impressed the panel,,ans,c5
wojnm8utac,12523,806307,578a060882f7f90001ee801e,0,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,10%,70%,80%,50%,job,1,0,0,0,,,stim,c3
wojnm8utac,6772,824771,578a060882f7f90001ee801e,,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,,,,,,,,,,The candidate did not have skill B,,ans,c3
wojnm8utac,12068,841634,578a060882f7f90001ee801e,1,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,50%,80%,50%,10%,job,1,0,0,1,,,stim,d4
wojnm8utac,5343,860012,578a060882f7f90001ee801e,,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d4
wojnm8utac,12576,884906,578a060882f7f90001ee801e,0,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,10%,50%,80%,50%,group,0,0,0,0,,,stim,c1
wojnm8utac,13895,906692,578a060882f7f90001ee801e,,668582e30cf76773d7ac09c4,66858ade065e2e070e5e25f3,,,,,,,,,,The postdoc did not attend,,ans,c1
