subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
wu77gjvnd8,3816,78904,,1,,,80%,50%,10%,50%,group,1,0,1,1,,,stim,d5
wu77gjvnd8,12907,98433,,,,,,,,,,,,,,The postdoc did not talk about the paper,,ans,d5
wu77gjvnd8,1184,105234,,1,,,50%,80%,50%,10%,group,0,0,0,0,,,stim,c1
wu77gjvnd8,3183,109953,,,,,,,,,,,,,,The postdoc talked about the paper,,ans,c1
wu77gjvnd8,2382,122911,,1,,,80%,50%,10%,70%,cook,1,1,0,0,,,stim,c4
wu77gjvnd8,3718,128965,,,,,,,,,,,,,,The dessert did not impress the panel,,ans,c4
wu77gjvnd8,1014,140353,,0,,,10%,50%,80%,50%,cook,0,1,0,1,,,stim,d2
wu77gjvnd8,3134,243779,,,,,,,,,,,,,,The dessert did not impress the panel,,ans,d2
wu77gjvnd8,949,249181,,0,,,10%,50%,80%,50%,group,1,0,0,1,,,stim,d4
wu77gjvnd8,2950,253885,,,,,,,,,,,,,,The postdoc did not attend,,ans,d4
wu77gjvnd8,1031,260753,,0,,,10%,50%,80%,50%,job,0,1,1,1,,,stim,d3
wu77gjvnd8,3051,265608,,,,,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
wu77gjvnd8,1115,272509,,0,,,10%,70%,80%,50%,job,1,1,1,0,,,stim,c5
wu77gjvnd8,2466,277164,,,,,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c5
wu77gjvnd8,1079,281896,,0,,,10%,70%,80%,50%,job,0,0,0,1,,,stim,d1
wu77gjvnd8,2968,286935,,,,,,,,,,,,,,The candidate demonstrated skill A,,ans,d1
wu77gjvnd8,1168,291487,,1,,,80%,50%,10%,70%,group,1,1,1,1,,,stim,d7
wu77gjvnd8,2983,296474,,,,,,,,,,,,,,The lecturer talked about the paper,,ans,d7
wu77gjvnd8,964,301643,,1,,,80%,50%,10%,70%,group,0,1,0,0,,,stim,c2
wu77gjvnd8,3318,306713,,,,,,,,,,,,,,The lecturer did not talk about the paper,,ans,c2
wu77gjvnd8,1064,315384,,0,,,10%,50%,80%,50%,group,1,1,0,1,,,stim,d6
wu77gjvnd8,3219,320087,,,,,,,,,,,,,,The lecturer did not talk about the paper,,ans,d6
wu77gjvnd8,982,325006,,0,,,10%,50%,80%,50%,cook,1,0,0,0,,,stim,c3
wu77gjvnd8,3033,329943,,,,,,,,,,,,,,The main dish did not impress the panel,,ans,c3
