subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
wytt38jv3g,70785.29999998212,314324,665a9ddb536966183500a7b1,1,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,80%,50%,10%,70%,job,0,0,0,0,,,stim,c1
wytt38jv3g,43772.90000000596,416582,665a9ddb536966183500a7b1,,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c1
wytt38jv3g,30330.80000001192,472417,665a9ddb536966183500a7b1,0,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,50%,10%,50%,80%,cook,1,0,1,1,,,stim,d5
wytt38jv3g,24663.19999998808,520136,665a9ddb536966183500a7b1,,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,,,,,,,,,,The main dish impressed the panel,,ans,d5
wytt38jv3g,15967.100000023842,565110,665a9ddb536966183500a7b1,0,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,10%,50%,80%,50%,group,1,0,0,1,,,stim,d4
wytt38jv3g,10381.300000011921,597182,665a9ddb536966183500a7b1,,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,,,,,,,,,,The lecturer did not talk about the paper,,ans,d4
wytt38jv3g,14663.59999999404,619665,665a9ddb536966183500a7b1,0,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,10%,50%,80%,50%,job,0,1,0,1,,,stim,d2
wytt38jv3g,9745.199999988079,636607,665a9ddb536966183500a7b1,,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
wytt38jv3g,13517.299999982119,659639,665a9ddb536966183500a7b1,1,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,80%,50%,10%,70%,cook,0,1,0,0,,,stim,c2
wytt38jv3g,8193.5,677331,665a9ddb536966183500a7b1,,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,,,,,,,,,,The dessert did not impress the panel,,ans,c2
wytt38jv3g,12257.59999999404,700121,665a9ddb536966183500a7b1,1,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,50%,80%,50%,10%,group,0,1,1,1,,,stim,d3
wytt38jv3g,10741.799999982119,725243,665a9ddb536966183500a7b1,,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,,,,,,,,,,The postdoc talked about the paper,,ans,d3
wytt38jv3g,8455.59999999404,741091,665a9ddb536966183500a7b1,0,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,10%,70%,80%,50%,job,1,1,0,0,,,stim,c4
wytt38jv3g,17502.69999998808,765299,665a9ddb536966183500a7b1,,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c4
wytt38jv3g,11305.300000011921,785879,665a9ddb536966183500a7b1,1,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,80%,50%,10%,70%,job,1,1,1,0,,,stim,c5
wytt38jv3g,5389.5,797611,665a9ddb536966183500a7b1,,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,,,,,,,,,,The candidate demonstrated skill A,,ans,c5
wytt38jv3g,5921.5,808211,665a9ddb536966183500a7b1,1,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,80%,50%,10%,70%,group,1,0,0,0,,,stim,c3
wytt38jv3g,14783.59999999404,829045,665a9ddb536966183500a7b1,,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,,,,,,,,,,The lecturer did not talk about the paper,,ans,c3
wytt38jv3g,4376.899999976158,836774,665a9ddb536966183500a7b1,1,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,80%,50%,10%,50%,group,1,1,0,1,,,stim,d6
wytt38jv3g,2832.800000011921,846663,665a9ddb536966183500a7b1,,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,,,,,,,,,,The lecturer did not talk about the paper,,ans,d6
wytt38jv3g,7863.5,860555,665a9ddb536966183500a7b1,1,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,50%,80%,50%,10%,job,1,1,1,1,,,stim,d7
wytt38jv3g,7451.4000000059605,870698,665a9ddb536966183500a7b1,,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,,,,,,,,,,The candidate demonstrated skill A,,ans,d7
wytt38jv3g,8651.5,884028,665a9ddb536966183500a7b1,1,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,80%,50%,10%,70%,cook,0,0,0,1,,,stim,d1
wytt38jv3g,19529.70000001788,909075,665a9ddb536966183500a7b1,,668582e30cf76773d7ac09c4,66858e639dfd7df731eea66a,,,,,,,,,,The chef did not complete the main dish,,ans,d1
