subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
x4vw12ny87,15008.29999923706,137520,600cb67fd53db7000a912f23,1,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,80%,50%,10%,50%,group,1,0,0,1,,,stim,d4
x4vw12ny87,10782.10000038147,164265,600cb67fd53db7000a912f23,,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,,,,,,,,,,The lecturer did not talk about the paper,,ans,d4
x4vw12ny87,9481.60000038147,181432,600cb67fd53db7000a912f23,0,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,10%,50%,80%,50%,job,0,1,0,1,,,stim,d2
x4vw12ny87,12549.39999961853,202533,600cb67fd53db7000a912f23,,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,,,,,,,,,,The candidate did not have skill A,,ans,d2
x4vw12ny87,7443.60000038147,220495,600cb67fd53db7000a912f23,0,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,10%,50%,80%,50%,cook,1,1,1,0,,,stim,c5
x4vw12ny87,15923.70000076294,248905,600cb67fd53db7000a912f23,,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,,,,,,,,,,The main dish impressed the panel,,ans,c5
x4vw12ny87,2753.8999996185303,280937,600cb67fd53db7000a912f23,0,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,50%,10%,50%,80%,job,1,1,1,1,,,stim,d7
x4vw12ny87,9423.30000114441,295428,600cb67fd53db7000a912f23,,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,,,,,,,,,,The candidate demonstrated skill A,,ans,d7
x4vw12ny87,2782,307723,600cb67fd53db7000a912f23,0,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,10%,50%,80%,50%,group,1,1,0,1,,,stim,d6
x4vw12ny87,10477.20000076294,326584,600cb67fd53db7000a912f23,,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,,,,,,,,,,The lecturer did not talk about the paper,,ans,d6
x4vw12ny87,4093.3999996185303,335316,600cb67fd53db7000a912f23,1,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,80%,50%,10%,70%,job,0,1,0,0,,,stim,c2
x4vw12ny87,48069.10000038147,387561,600cb67fd53db7000a912f23,,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c2
x4vw12ny87,3409.800001144409,395062,600cb67fd53db7000a912f23,0,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,50%,10%,50%,80%,job,1,0,1,1,,,stim,d5
x4vw12ny87,5453.699998855591,404570,600cb67fd53db7000a912f23,,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,,,,,,,,,,The candidate demonstrated skill A,,ans,d5
x4vw12ny87,3554.300001144409,412484,600cb67fd53db7000a912f23,0,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,10%,70%,80%,50%,group,0,0,0,0,,,stim,c1
x4vw12ny87,6279.400001525879,425495,600cb67fd53db7000a912f23,,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,,,,,,,,,,The postdoc did not attend,,ans,c1
x4vw12ny87,2613.5,433080,600cb67fd53db7000a912f23,0,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,50%,10%,50%,80%,job,1,1,0,0,,,stim,c4
x4vw12ny87,4862.5,445626,600cb67fd53db7000a912f23,,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
x4vw12ny87,1350.6999988555908,450494,600cb67fd53db7000a912f23,0,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,50%,10%,50%,80%,job,0,0,0,1,,,stim,d1
x4vw12ny87,8521.70000076294,463059,600cb67fd53db7000a912f23,,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,,,,,,,,,,The candidate did not have skill B,,ans,d1
x4vw12ny87,4985.89999961853,472428,600cb67fd53db7000a912f23,0,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,50%,10%,50%,80%,cook,0,1,1,1,,,stim,d3
x4vw12ny87,4219.700000762939,484582,600cb67fd53db7000a912f23,,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,,,,,,,,,,The dessert impressed the panel,,ans,d3
x4vw12ny87,1537,489683,600cb67fd53db7000a912f23,1,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,50%,80%,50%,10%,group,1,0,0,0,,,stim,c3
x4vw12ny87,3672.5,500242,600cb67fd53db7000a912f23,,668582e30cf76773d7ac09c4,66858c416c648fb225cc019e,,,,,,,,,,The lecturer did not talk about the paper,,ans,c3
