subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
xjqzjdqbw8,28592.399999976158,375858,6683f4b6619811a05d74d5a8,1,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,50%,80%,50%,10%,job,0,0,0,1,,,stim,d1
xjqzjdqbw8,34335.30000001192,432497,6683f4b6619811a05d74d5a8,,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d1
xjqzjdqbw8,10311.90000000596,506346,6683f4b6619811a05d74d5a8,1,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,50%,80%,50%,10%,group,0,1,1,1,,,stim,d3
xjqzjdqbw8,30638.79999998212,594185,6683f4b6619811a05d74d5a8,,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,,,,,,,,,,The postdoc attended,,ans,d3
xjqzjdqbw8,16959.600000023842,662801,6683f4b6619811a05d74d5a8,0,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,50%,10%,50%,80%,job,0,1,0,0,,,stim,c2
xjqzjdqbw8,8632.09999999404,686649,6683f4b6619811a05d74d5a8,,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,,,,,,,,,,The candidate did not have skill A,,ans,c2
xjqzjdqbw8,6102.699999988079,700176,6683f4b6619811a05d74d5a8,1,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,50%,80%,50%,10%,job,1,1,0,0,,,stim,c4
xjqzjdqbw8,12271,723225,6683f4b6619811a05d74d5a8,,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c4
xjqzjdqbw8,1431.800000011921,729409,6683f4b6619811a05d74d5a8,1,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,80%,50%,10%,50%,job,0,1,0,1,,,stim,d2
xjqzjdqbw8,13528,761337,6683f4b6619811a05d74d5a8,,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
xjqzjdqbw8,2068.699999988079,797736,6683f4b6619811a05d74d5a8,0,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,50%,10%,50%,80%,group,1,0,1,1,,,stim,d5
xjqzjdqbw8,10487.100000023842,829592,6683f4b6619811a05d74d5a8,,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,,,,,,,,,,The lecturer talked about the paper,,ans,d5
xjqzjdqbw8,1608.0999999940395,855184,6683f4b6619811a05d74d5a8,1,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,50%,80%,50%,10%,cook,1,0,0,0,,,stim,c3
xjqzjdqbw8,5488,882168,6683f4b6619811a05d74d5a8,,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,,,,,,,,,,The chef did not complete the dessert,,ans,c3
xjqzjdqbw8,11487.40000000596,900920,6683f4b6619811a05d74d5a8,0,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,10%,70%,80%,50%,job,1,0,0,1,,,stim,d4
xjqzjdqbw8,3424.4000000059605,916256,6683f4b6619811a05d74d5a8,,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,,,,,,,,,,The candidate did not demonstrate skill A,,ans,d4
xjqzjdqbw8,2278.5,926399,6683f4b6619811a05d74d5a8,0,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,50%,10%,50%,80%,group,1,1,0,1,,,stim,d6
xjqzjdqbw8,17215,954936,6683f4b6619811a05d74d5a8,,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,,,,,,,,,,The lecturer did not talk about the paper,,ans,d6
xjqzjdqbw8,7447.300000011921,966808,6683f4b6619811a05d74d5a8,1,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,50%,80%,50%,10%,group,1,1,1,1,,,stim,d7
xjqzjdqbw8,5687.600000023842,984824,6683f4b6619811a05d74d5a8,,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,,,,,,,,,,The lecturer talked about the paper,,ans,d7
xjqzjdqbw8,8014.9000000059605,997456,6683f4b6619811a05d74d5a8,1,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,50%,80%,50%,10%,job,0,0,0,0,,,stim,c1
xjqzjdqbw8,6392,1008120,6683f4b6619811a05d74d5a8,,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,,,,,,,,,,The candidate did not have skill B,,ans,c1
xjqzjdqbw8,8943.600000023842,1033775,6683f4b6619811a05d74d5a8,0,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,50%,10%,50%,80%,job,1,1,1,0,,,stim,c5
xjqzjdqbw8,6134,1051031,6683f4b6619811a05d74d5a8,,668582e30cf76773d7ac09c4,66858d5b7e92a1c623971b1f,,,,,,,,,,The candidate demonstrated skill A,,ans,c5
