subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
yv1f0ozupe,40514.699999809265,198485,5de39f38a1a3fb39ee68f7ab,1,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,80%,50%,10%,50%,cook,1,0,1,1,,,stim,d5
yv1f0ozupe,13551.400000095367,231857,5de39f38a1a3fb39ee68f7ab,,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,,,,,,,,,,The main dish impressed the panel,,ans,d5
yv1f0ozupe,14503,251629,5de39f38a1a3fb39ee68f7ab,1,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,80%,50%,10%,70%,job,0,1,0,1,,,stim,d2
yv1f0ozupe,7023.200000047684,280821,5de39f38a1a3fb39ee68f7ab,,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
yv1f0ozupe,21214.60000014305,309868,5de39f38a1a3fb39ee68f7ab,0,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,10%,70%,80%,50%,group,0,1,0,0,,,stim,c2
yv1f0ozupe,6494.900000095367,331956,5de39f38a1a3fb39ee68f7ab,,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,,,,,,,,,,The lecturer did not attend,,ans,c2
yv1f0ozupe,9382.200000047684,347676,5de39f38a1a3fb39ee68f7ab,0,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,50%,10%,50%,80%,cook,1,1,1,1,,,stim,d7
yv1f0ozupe,6159.299999952316,372797,5de39f38a1a3fb39ee68f7ab,,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,,,,,,,,,,The dessert impressed the panel,,ans,d7
yv1f0ozupe,3511.2999999523163,379988,5de39f38a1a3fb39ee68f7ab,1,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,50%,80%,50%,10%,cook,1,1,1,0,,,stim,c5
yv1f0ozupe,2787.5,395341,5de39f38a1a3fb39ee68f7ab,,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,,,,,,,,,,The main dish impressed the panel,,ans,c5
yv1f0ozupe,8203,407028,5de39f38a1a3fb39ee68f7ab,0,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,50%,10%,50%,80%,group,1,1,0,0,,,stim,c4
yv1f0ozupe,4431,423548,5de39f38a1a3fb39ee68f7ab,,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,,,,,,,,,,The lecturer did not talk about the paper,,ans,c4
yv1f0ozupe,6558.899999856949,433548,5de39f38a1a3fb39ee68f7ab,1,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,80%,50%,10%,70%,job,0,1,1,1,,,stim,d3
yv1f0ozupe,2758.899999856949,447700,5de39f38a1a3fb39ee68f7ab,,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
yv1f0ozupe,2387,453348,5de39f38a1a3fb39ee68f7ab,1,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,80%,50%,10%,50%,cook,1,1,0,1,,,stim,d6
yv1f0ozupe,15734.700000047684,483220,5de39f38a1a3fb39ee68f7ab,,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,,,,,,,,,,The main dish did not impress the panel,,ans,d6
yv1f0ozupe,2079.0999999046326,488043,5de39f38a1a3fb39ee68f7ab,1,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,80%,50%,10%,70%,cook,1,0,0,1,,,stim,d4
yv1f0ozupe,3823.2000000476837,503588,5de39f38a1a3fb39ee68f7ab,,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,,,,,,,,,,The main dish did not impress the panel,,ans,d4
yv1f0ozupe,1303.1000001430511,507355,5de39f38a1a3fb39ee68f7ab,0,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,50%,10%,50%,80%,cook,1,0,0,0,,,stim,c3
yv1f0ozupe,2543.2000000476837,518463,5de39f38a1a3fb39ee68f7ab,,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,,,,,,,,,,The main dish did not impress the panel,,ans,c3
yv1f0ozupe,1783.7999999523163,522852,5de39f38a1a3fb39ee68f7ab,1,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,80%,50%,10%,70%,cook,0,0,0,0,,,stim,c1
yv1f0ozupe,7775.200000047684,538068,5de39f38a1a3fb39ee68f7ab,,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,,,,,,,,,,The chef did not complete the main dish,,ans,c1
yv1f0ozupe,3503.100000143051,545564,5de39f38a1a3fb39ee68f7ab,0,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,50%,10%,50%,80%,group,0,0,0,1,,,stim,d1
yv1f0ozupe,6875.5,569080,5de39f38a1a3fb39ee68f7ab,,668582e30cf76773d7ac09c4,66858e6fed736a16178843e7,,,,,,,,,,The postdoc did not attend,,ans,d1
