subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
z63ryocovv,15170,238519,6481a1b6c2056d8ae5707353,0,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,10%,50%,80%,50%,group,0,1,0,1,,,stim,d2
z63ryocovv,14938,271662,6481a1b6c2056d8ae5707353,,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,,,,,,,,,,The lecturer did not attend,,ans,d2
z63ryocovv,4567,290283,6481a1b6c2056d8ae5707353,1,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,80%,50%,10%,50%,group,0,1,1,1,,,stim,d3
z63ryocovv,19506,322242,6481a1b6c2056d8ae5707353,,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,,,,,,,,,,The postdoc talked about the paper,,ans,d3
z63ryocovv,13419,344296,6481a1b6c2056d8ae5707353,1,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,80%,50%,10%,70%,job,1,1,0,0,,,stim,c4
z63ryocovv,20022.99999999994,379673,6481a1b6c2056d8ae5707353,,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,,,,,,,,,,The candidate demonstrated skill A,,ans,c4
z63ryocovv,6617,390407,6481a1b6c2056d8ae5707353,1,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,50%,80%,50%,10%,group,1,1,1,1,,,stim,d7
z63ryocovv,14203,409564,6481a1b6c2056d8ae5707353,,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,,,,,,,,,,The lecturer talked about the paper,,ans,d7
z63ryocovv,1517,415147,6481a1b6c2056d8ae5707353,0,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,10%,50%,80%,50%,job,1,0,0,1,,,stim,d4
z63ryocovv,10853,443106,6481a1b6c2056d8ae5707353,,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,,,,,,,,,,The candidate did not have skill A,,ans,d4
z63ryocovv,2231.999999999942,449389,6481a1b6c2056d8ae5707353,0,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,50%,10%,50%,80%,group,1,0,0,0,,,stim,c3
z63ryocovv,12053,469095,6481a1b6c2056d8ae5707353,,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,,,,,,,,,,The lecturer attended,,ans,c3
z63ryocovv,1265,473379,6481a1b6c2056d8ae5707353,0,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,10%,70%,80%,50%,group,1,1,1,0,,,stim,c5
z63ryocovv,11885.999999999942,490851,6481a1b6c2056d8ae5707353,,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,,,,,,,,,,The lecturer talked about the paper,,ans,c5
z63ryocovv,1367,495135,6481a1b6c2056d8ae5707353,0,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,50%,10%,50%,80%,group,1,0,1,1,,,stim,d5
z63ryocovv,13236.000000000058,513523,6481a1b6c2056d8ae5707353,,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,,,,,,,,,,The lecturer talked about the paper,,ans,d5
z63ryocovv,1349,517990,6481a1b6c2056d8ae5707353,0,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,10%,70%,80%,50%,cook,0,0,0,0,,,stim,c1
z63ryocovv,28007,558868,6481a1b6c2056d8ae5707353,,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,,,,,,,,,,The chef did not complete the main dish,,ans,c1
z63ryocovv,1348,564451,6481a1b6c2056d8ae5707353,1,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,50%,80%,50%,10%,job,1,1,0,1,,,stim,d6
z63ryocovv,19422,598778,6481a1b6c2056d8ae5707353,,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
z63ryocovv,1415,603161,6481a1b6c2056d8ae5707353,0,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,10%,50%,80%,50%,group,0,1,0,0,,,stim,c2
z63ryocovv,6502,620100,6481a1b6c2056d8ae5707353,,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,,,,,,,,,,The postdoc did not talk about the paper,,ans,c2
z63ryocovv,1399,625150,6481a1b6c2056d8ae5707353,0,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,10%,50%,80%,50%,job,0,0,0,1,,,stim,d1
z63ryocovv,17960,652546,6481a1b6c2056d8ae5707353,,668582e30cf76773d7ac09c4,66859203109ce67b4ad8a531,,,,,,,,,,The candidate did not have skill B,,ans,d1
