subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
zdswzt4po4,20294.099999904633,291489,6277127cab20267323378b3b,1,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,80%,50%,10%,70%,job,0,1,1,1,,,stim,d3
zdswzt4po4,74813.59999990463,397558,6277127cab20267323378b3b,,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
zdswzt4po4,7156.799999952316,417156,6277127cab20267323378b3b,1,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,50%,80%,50%,10%,group,1,0,0,1,,,stim,d4
zdswzt4po4,66207.70000004768,512217,6277127cab20267323378b3b,,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,,,,,,,,,,The lecturer did not talk about the paper,,ans,d4
zdswzt4po4,18836.400000095367,537520,6277127cab20267323378b3b,1,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,80%,50%,10%,50%,cook,1,1,0,1,,,stim,d6
zdswzt4po4,44909.200000047684,599298,6277127cab20267323378b3b,,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,,,,,,,,,,The main dish did not impress the panel,,ans,d6
zdswzt4po4,7100.399999856949,609846,6277127cab20267323378b3b,0,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,10%,70%,80%,50%,job,1,1,1,0,,,stim,c5
zdswzt4po4,49214.39999985695,668199,6277127cab20267323378b3b,,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,,,,,,,,,,The candidate demonstrated skill A,,ans,c5
zdswzt4po4,6114.400000095367,677521,6277127cab20267323378b3b,0,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,10%,70%,80%,50%,cook,1,0,0,0,,,stim,c3
zdswzt4po4,47163.10000014305,730669,6277127cab20267323378b3b,,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,,,,,,,,,,The chef did not complete the dessert,,ans,c3
zdswzt4po4,5625.5,738867,6277127cab20267323378b3b,0,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,10%,50%,80%,50%,group,1,0,1,1,,,stim,d5
zdswzt4po4,23351.900000095367,763926,6277127cab20267323378b3b,,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,,,,,,,,,,The lecturer talked about the paper,,ans,d5
zdswzt4po4,5739.5,771959,6277127cab20267323378b3b,1,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,80%,50%,10%,70%,group,1,1,0,0,,,stim,c4
zdswzt4po4,14202.600000143051,790187,6277127cab20267323378b3b,,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,,,,,,,,,,The lecturer did not talk about the paper,,ans,c4
zdswzt4po4,7153.299999952316,799995,6277127cab20267323378b3b,0,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,10%,70%,80%,50%,cook,0,1,0,0,,,stim,c2
zdswzt4po4,9732.5,814331,6277127cab20267323378b3b,,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,,,,,,,,,,The chef did not complete the main dish,,ans,c2
zdswzt4po4,6487.599999904633,823843,6277127cab20267323378b3b,1,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,50%,80%,50%,10%,job,1,1,1,1,,,stim,d7
zdswzt4po4,18988.5,847012,6277127cab20267323378b3b,,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,,,,,,,,,,The candidate demonstrated skill A,,ans,d7
zdswzt4po4,6438,855802,6277127cab20267323378b3b,1,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,80%,50%,10%,70%,group,0,0,0,0,,,stim,c1
zdswzt4po4,19350.700000047684,877705,6277127cab20267323378b3b,,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,,,,,,,,,,The lecturer did not attend,,ans,c1
zdswzt4po4,5739.399999856949,885612,6277127cab20267323378b3b,0,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,10%,50%,80%,50%,cook,0,1,0,1,,,stim,d2
zdswzt4po4,27874.10000014305,915093,6277127cab20267323378b3b,,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,,,,,,,,,,The dessert did not impress the panel,,ans,d2
zdswzt4po4,6798.5,924435,6277127cab20267323378b3b,1,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,80%,50%,10%,50%,group,0,0,0,1,,,stim,d1
zdswzt4po4,9144,936031,6277127cab20267323378b3b,,668582e30cf76773d7ac09c4,6685901bd5bbff1600f187c8,,,,,,,,,,The lecturer did not attend,,ans,d1
