subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
zfulw6413z,11629.40000000596,151422,6426cfe964863ee2ff26642f,1,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,80%,50%,10%,50%,cook,0,1,0,0,,,stim,c2
zfulw6413z,23006.90000000596,185686,6426cfe964863ee2ff26642f,,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,,,,,,,,,,The chef did not complete the main dish,,ans,c2
zfulw6413z,4214.0999999940395,193821,6426cfe964863ee2ff26642f,1,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,80%,50%,10%,50%,group,1,0,1,1,,,stim,d5
zfulw6413z,22757.100000023842,221701,6426cfe964863ee2ff26642f,,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,,,,,,,,,,The lecturer talked about the paper,,ans,d5
zfulw6413z,1870.4000000059605,230028,6426cfe964863ee2ff26642f,0,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,10%,50%,80%,50%,job,0,1,0,1,,,stim,d2
zfulw6413z,15470.5,250398,6426cfe964863ee2ff26642f,,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
zfulw6413z,1259.5,297116,6426cfe964863ee2ff26642f,1,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,80%,50%,10%,70%,group,0,0,0,1,,,stim,d1
zfulw6413z,11662.300000011921,310358,6426cfe964863ee2ff26642f,,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,,,,,,,,,,The lecturer did not attend,,ans,d1
zfulw6413z,1893.5,315364,6426cfe964863ee2ff26642f,1,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,50%,80%,50%,10%,cook,0,0,0,0,,,stim,c1
zfulw6413z,10303.299999982119,328830,6426cfe964863ee2ff26642f,,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,,,,,,,,,,The chef did not complete the main dish,,ans,c1
zfulw6413z,1397.7999999821186,333413,6426cfe964863ee2ff26642f,0,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,10%,70%,80%,50%,job,1,0,0,1,,,stim,d4
zfulw6413z,14503.300000011921,351686,6426cfe964863ee2ff26642f,,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,,,,,,,,,,The candidate did not have skill B,,ans,d4
zfulw6413z,1206.4000000059605,355437,6426cfe964863ee2ff26642f,0,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,10%,70%,80%,50%,group,1,0,0,0,,,stim,c3
zfulw6413z,15550.59999999404,373197,6426cfe964863ee2ff26642f,,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,,,,,,,,,,The postdoc did not attend,,ans,c3
zfulw6413z,1110.2000000178814,378397,6426cfe964863ee2ff26642f,1,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,80%,50%,10%,70%,cook,1,1,0,1,,,stim,d6
zfulw6413z,17368,399414,6426cfe964863ee2ff26642f,,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,,,,,,,,,,The main dish did not impress the panel,,ans,d6
zfulw6413z,1142.5,403061,6426cfe964863ee2ff26642f,0,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,10%,70%,80%,50%,job,0,1,1,1,,,stim,d3
zfulw6413z,8231.5,413238,6426cfe964863ee2ff26642f,,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,,,,,,,,,,The candidate demonstrated skill B,,ans,d3
zfulw6413z,2310.0999999940395,418484,6426cfe964863ee2ff26642f,1,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,80%,50%,10%,70%,job,1,1,1,1,,,stim,d7
zfulw6413z,8582.300000011921,502165,6426cfe964863ee2ff26642f,,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,,,,,,,,,,The candidate demonstrated skill B,,ans,d7
zfulw6413z,898.5999999940395,505712,6426cfe964863ee2ff26642f,1,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,50%,80%,50%,10%,cook,1,1,0,0,,,stim,c4
zfulw6413z,3791.4000000059605,516817,6426cfe964863ee2ff26642f,,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,,,,,,,,,,The main dish impressed the panel,,ans,c4
zfulw6413z,1349.5999999940395,520455,6426cfe964863ee2ff26642f,0,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,50%,10%,50%,80%,cook,1,1,1,0,,,stim,c5
zfulw6413z,4871.4000000059605,527489,6426cfe964863ee2ff26642f,,668582e30cf76773d7ac09c4,668594e7ed95a37747e87c7b,,,,,,,,,,The dessert impressed the panel,,ans,c5
