subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
zh7sjdce6x,41512.70000000298,1632244,6658e59effe9faeb995c00af,1,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,80%,50%,10%,70%,job,0,0,0,0,,,stim,c1
zh7sjdce6x,68677.59999999404,1723790,6658e59effe9faeb995c00af,,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,,,,,,,,,,The candidate demonstrated skill B,,ans,c1
zh7sjdce6x,11894.19999999553,1742538,6658e59effe9faeb995c00af,1,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,80%,50%,10%,50%,job,0,1,0,1,,,stim,d2
zh7sjdce6x,12219.5,1780456,6658e59effe9faeb995c00af,,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d2
zh7sjdce6x,11292.39999999851,1843452,6658e59effe9faeb995c00af,0,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,10%,70%,80%,50%,group,1,1,1,1,,,stim,d7
zh7sjdce6x,37756.10000000149,1910485,6658e59effe9faeb995c00af,,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,,,,,,,,,,The lecturer talked about the paper,,ans,d7
zh7sjdce6x,362852.700000003,2391767,6658e59effe9faeb995c00af,1,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,80%,50%,10%,70%,group,1,1,1,0,,,stim,c5
zh7sjdce6x,4177.5,2411240,6658e59effe9faeb995c00af,,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,,,,,,,,,,The postdoc talked about the paper,,ans,c5
zh7sjdce6x,12284.5,2435109,6658e59effe9faeb995c00af,1,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,50%,80%,50%,10%,group,0,1,1,1,,,stim,d3
zh7sjdce6x,6359.4000000059605,2455108,6658e59effe9faeb995c00af,,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,,,,,,,,,,The postdoc talked about the paper,,ans,d3
zh7sjdce6x,20189.5,2495607,6658e59effe9faeb995c00af,0,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,10%,70%,80%,50%,cook,1,1,0,1,,,stim,d6
zh7sjdce6x,52535.89999999851,2562913,6658e59effe9faeb995c00af,,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,,,,,,,,,,The dessert did not impress the panel,,ans,d6
zh7sjdce6x,14351.39999999851,2583118,6658e59effe9faeb995c00af,0,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,50%,10%,50%,80%,cook,0,1,0,0,,,stim,c2
zh7sjdce6x,26945.39999999851,2617782,6658e59effe9faeb995c00af,,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,,,,,,,,,,The dessert did not impress the panel,,ans,c2
zh7sjdce6x,9544.5,2635456,6658e59effe9faeb995c00af,1,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,80%,50%,10%,70%,job,0,0,0,1,,,stim,d1
zh7sjdce6x,22634.10000000149,2678833,6658e59effe9faeb995c00af,,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,,,,,,,,,,The candidate did not have skill A,,ans,d1
zh7sjdce6x,1490.1000000014901,2684535,6658e59effe9faeb995c00af,0,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,10%,70%,80%,50%,group,1,0,1,1,,,stim,d5
zh7sjdce6x,22926.70000000298,2709491,6658e59effe9faeb995c00af,,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,,,,,,,,,,The lecturer talked about the paper,,ans,d5
zh7sjdce6x,1072.5,2715422,6658e59effe9faeb995c00af,1,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,80%,50%,10%,70%,cook,1,0,0,1,,,stim,d4
zh7sjdce6x,24236.10000000149,2741056,6658e59effe9faeb995c00af,,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,,,,,,,,,,The main dish did not impress the panel,,ans,d4
zh7sjdce6x,7189.70000000298,2752321,6658e59effe9faeb995c00af,0,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,10%,50%,80%,50%,job,1,0,0,0,,,stim,c3
zh7sjdce6x,24704.5,2778335,6658e59effe9faeb995c00af,,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,,,,,,,,,,The candidate did not have skill B,,ans,c3
zh7sjdce6x,875.4000000059605,2782469,6658e59effe9faeb995c00af,1,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,80%,50%,10%,50%,job,1,1,0,0,,,stim,c4
zh7sjdce6x,35154.40000000596,2820715,6658e59effe9faeb995c00af,,668582e30cf76773d7ac09c4,668591f9d5f1d88ac7ef5985,,,,,,,,,,The candidate did not demonstrate skill B,,ans,c4
