subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
zpzzobdz8d,50672.5,546687,60ca400f95fc3624e5f00f64,0,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,50%,10%,50%,80%,job,0,0,0,1,,,stim,d1
zpzzobdz8d,65443.2999997139,632008,60ca400f95fc3624e5f00f64,,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,,,,,,,,,,The candidate did not have skill B,,ans,d1
zpzzobdz8d,17872,656626,60ca400f95fc3624e5f00f64,1,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,50%,80%,50%,10%,group,1,0,0,1,,,stim,d4
zpzzobdz8d,10887.700000286102,681180,60ca400f95fc3624e5f00f64,,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,,,,,,,,,,The postdoc did not attend,,ans,d4
zpzzobdz8d,39542.09999990463,745217,60ca400f95fc3624e5f00f64,1,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,80%,50%,10%,50%,group,0,1,0,0,,,stim,c2
zpzzobdz8d,18141.900000095367,768315,60ca400f95fc3624e5f00f64,,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,,,,,,,,,,The lecturer did not attend,,ans,c2
zpzzobdz8d,32970.89999961853,814835,60ca400f95fc3624e5f00f64,0,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,10%,70%,80%,50%,group,0,1,1,1,,,stim,d3
zpzzobdz8d,12692,841214,60ca400f95fc3624e5f00f64,,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,,,,,,,,,,The postdoc talked about the paper,,ans,d3
zpzzobdz8d,13405.599999904633,859702,60ca400f95fc3624e5f00f64,1,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,50%,80%,50%,10%,job,1,0,0,0,,,stim,c3
zpzzobdz8d,27339.200000286102,909679,60ca400f95fc3624e5f00f64,,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,,,,,,,,,,The candidate did not have skill B,,ans,c3
zpzzobdz8d,6218.400000095367,924768,60ca400f95fc3624e5f00f64,1,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,80%,50%,10%,70%,job,1,1,1,0,,,stim,c5
zpzzobdz8d,26477.199999809265,957346,60ca400f95fc3624e5f00f64,,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,,,,,,,,,,The candidate had skill B,,ans,c5
zpzzobdz8d,5634.10000038147,968874,60ca400f95fc3624e5f00f64,0,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,50%,10%,50%,80%,job,1,1,0,0,,,stim,c4
zpzzobdz8d,9513,991202,60ca400f95fc3624e5f00f64,,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,,,,,,,,,,The candidate did not demonstrate skill A,,ans,c4
zpzzobdz8d,5065.599999904633,1000342,60ca400f95fc3624e5f00f64,0,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,10%,50%,80%,50%,job,0,0,0,0,,,stim,c1
zpzzobdz8d,26927.200000286102,1050069,60ca400f95fc3624e5f00f64,,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,,,,,,,,,,The candidate did not have skill B,,ans,c1
zpzzobdz8d,9831.5,1066446,60ca400f95fc3624e5f00f64,0,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,10%,70%,80%,50%,group,0,1,0,1,,,stim,d2
zpzzobdz8d,13173.200000286102,1090553,60ca400f95fc3624e5f00f64,,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,,,,,,,,,,The postdoc did not talk about the paper,,ans,d2
zpzzobdz8d,13795.400000095367,1107971,60ca400f95fc3624e5f00f64,0,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,10%,50%,80%,50%,job,1,1,0,1,,,stim,d6
zpzzobdz8d,27873.599999904633,1167367,60ca400f95fc3624e5f00f64,,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,,,,,,,,,,The candidate did not demonstrate skill B,,ans,d6
zpzzobdz8d,14422.099999904633,1219416,60ca400f95fc3624e5f00f64,0,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,10%,50%,80%,50%,cook,1,1,1,1,,,stim,d7
zpzzobdz8d,31162.799999713898,1270517,60ca400f95fc3624e5f00f64,,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,,,,,,,,,,The chef completed the main dish,,ans,d7
zpzzobdz8d,5958.5,1282006,60ca400f95fc3624e5f00f64,1,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,50%,80%,50%,10%,group,1,0,1,1,,,stim,d5
zpzzobdz8d,4319.099999904633,1306183,60ca400f95fc3624e5f00f64,,668582e30cf76773d7ac09c4,6685911df65ad95b6b443665,,,,,,,,,,The lecturer attended,,ans,d5
