"","probgroup","trialtype","isLat","n","prop"
"1","1","c1",FALSE,57,0.934426229508197
"2","1","c1",TRUE,4,0.0655737704918033
"3","1","c2",FALSE,32,0.653061224489796
"4","1","c2",TRUE,17,0.346938775510204
"5","1","c3",FALSE,32,0.56140350877193
"6","1","c3",TRUE,25,0.43859649122807
"7","1","c4",FALSE,7,0.159090909090909
"8","1","c4",TRUE,37,0.840909090909091
"9","1","c5",FALSE,13,0.270833333333333
"10","1","c5",TRUE,35,0.729166666666667
"11","1","d1",FALSE,51,0.836065573770492
"12","1","d1",TRUE,10,0.163934426229508
"13","1","d2",FALSE,17,0.314814814814815
"14","1","d2",TRUE,37,0.685185185185185
"15","1","d3",FALSE,5,0.131578947368421
"16","1","d3",TRUE,33,0.868421052631579
"17","1","d4",FALSE,21,0.403846153846154
"18","1","d4",TRUE,31,0.596153846153846
"19","1","d5",FALSE,8,0.142857142857143
"20","1","d5",TRUE,48,0.857142857142857
"21","1","d6",FALSE,5,0.0909090909090909
"22","1","d6",TRUE,50,0.909090909090909
"23","1","d7",FALSE,19,0.333333333333333
"24","1","d7",TRUE,38,0.666666666666667
"25","2","c1",FALSE,31,0.837837837837838
"26","2","c1",TRUE,6,0.162162162162162
"27","2","c2",FALSE,31,0.738095238095238
"28","2","c2",TRUE,11,0.261904761904762
"29","2","c3",FALSE,36,0.705882352941177
"30","2","c3",TRUE,15,0.294117647058824
"31","2","c4",FALSE,2,0.0392156862745098
"32","2","c4",TRUE,49,0.96078431372549
"33","2","c5",FALSE,4,0.0869565217391304
"34","2","c5",TRUE,42,0.91304347826087
"35","2","d1",FALSE,37,0.948717948717949
"36","2","d1",TRUE,2,0.0512820512820513
"37","2","d2",FALSE,12,0.24
"38","2","d2",TRUE,38,0.76
"39","2","d3",FALSE,4,0.0851063829787234
"40","2","d3",TRUE,43,0.914893617021277
"41","2","d4",FALSE,24,0.461538461538462
"42","2","d4",TRUE,28,0.538461538461538
"43","2","d5",FALSE,7,0.170731707317073
"44","2","d5",TRUE,34,0.829268292682927
"45","2","d6",FALSE,4,0.0869565217391304
"46","2","d6",TRUE,42,0.91304347826087
"47","2","d7",FALSE,2,0.0350877192982456
"48","2","d7",TRUE,55,0.964912280701754
"49","3","c1",FALSE,48,0.923076923076923
"50","3","c1",TRUE,4,0.0769230769230769
"51","3","c2",FALSE,27,0.6
"52","3","c2",TRUE,18,0.4
"53","3","c3",FALSE,25,0.657894736842105
"54","3","c3",TRUE,13,0.342105263157895
"55","3","c4",FALSE,4,0.0833333333333333
"56","3","c4",TRUE,44,0.916666666666667
"57","3","c5",FALSE,10,0.2
"58","3","c5",TRUE,40,0.8
"59","3","d1",FALSE,44,0.897959183673469
"60","3","d1",TRUE,5,0.102040816326531
"61","3","d2",FALSE,10,0.333333333333333
"62","3","d2",TRUE,20,0.666666666666667
"63","3","d3",FALSE,6,0.15
"64","3","d3",TRUE,34,0.85
"65","3","d4",FALSE,12,0.27906976744186
"66","3","d4",TRUE,31,0.720930232558139
"67","3","d5",FALSE,11,0.305555555555556
"68","3","d5",TRUE,25,0.694444444444444
"69","3","d6",FALSE,5,0.106382978723404
"70","3","d6",TRUE,42,0.893617021276596
