Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
666c493aa6a9c510968316bc,5cc0b9c4e28b2300017fd17f,APPROVED,Not Applicable,2024-06-14T13:44:33.077000Z,2024-06-14T13:53:46.239000Z,2024-06-14T15:41:44.418000Z,2024-06-14T13:53:46.777131Z,554.0,C12J6S4R,121,English,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
666c498968ebb34e216b49c9,5932e2c8b97ad00001745487,APPROVED,Not Applicable,2024-06-14T13:46:06.724000Z,2024-06-14T14:03:29.870000Z,2024-06-14T15:42:13.935000Z,2024-06-14T14:03:45.269653Z,1044.0,C12J6S4R,1837,English,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
666c49b0af1439ede48b2f43,5ed814fc9e50c230c1efb63c,APPROVED,Not Applicable,2024-06-14T13:46:30.651000Z,2024-06-14T14:04:00.423000Z,2024-06-14T15:42:18.815000Z,2024-06-14T14:04:01.366246Z,1050.0,C12J6S4R,1601,English,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
666c49b3634cc2e1573b5bd9,5ce43a70aade7100152e6e77,APPROVED,Not Applicable,2024-06-14T13:46:36.552000Z,2024-06-14T14:02:48.835000Z,2024-06-14T15:42:31.619000Z,2024-06-14T14:03:38.519964Z,973.0,C12J6S4R,1333,English,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
666c49bcc12c0226f836572d,5f8ac37961bf52177f0ec44e,APPROVED,Not Applicable,2024-06-14T13:46:40.958000Z,2024-06-14T14:00:04.426000Z,2024-06-14T15:43:56.310000Z,2024-06-14T14:02:41.874763Z,804.0,C12J6S4R,1295,English,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
666c4ad3e90a07e04ca44a22,5d5a75c570a7c1000152623e,APPROVED,Not Applicable,2024-06-14T13:51:33.011000Z,2024-06-14T14:03:12.123000Z,2024-06-14T15:43:56.599000Z,2024-06-14T14:03:42.408773Z,700.0,C12J6S4R,2792,English,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
666c4b533a54d4f83ed68287,5d7f74f4ed58b60016490887,APPROVED,Not Applicable,2024-06-14T13:53:30.751000Z,2024-06-14T14:04:25.919000Z,2024-06-14T15:43:56.862000Z,2024-06-14T14:04:26.430151Z,656.0,C12J6S4R,264,English,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
666c4caa18e9c1f00ba78ff2,6130c7f7d0112fa23b17079c,APPROVED,Not Applicable,2024-06-14T13:59:10.192000Z,2024-06-14T14:11:18.684000Z,2024-06-14T15:43:57.174000Z,2024-06-14T14:11:19.765314Z,729.0,C12J6S4R,1796,English,25,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
666c532b97a87a09cbb929b7,5f50159de247cd17cf2ff86a,APPROVED,Not Applicable,2024-06-14T14:26:56.176000Z,2024-06-14T14:41:41.766000Z,2024-06-14T15:43:57.486000Z,2024-06-14T14:41:53.854484Z,886.0,C12J6S4R,766,English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
666c5868d1e0ed1ab1298d1f,6669a77e7f1a7b2fcdd8171f,APPROVED,Not Applicable,2024-06-14T14:49:58.605000Z,2024-06-14T15:06:34.136000Z,2024-06-14T15:43:57.754000Z,2024-06-14T15:07:11.742270Z,996.0,C12J6S4R,19,English,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
666c49638bec58cc588fab96,60b0d43c41ad3d7ae0033444,RETURNED,Not Applicable,2024-06-14T13:45:13.840000Z,,,,,,285,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
666c4992046bdb4e9ca41783,63d7e13ef428005671c14564,TIMED-OUT,Not Applicable,2024-06-14T13:53:06.619000Z,,,,10113339.0,,1076,"English, Italian, Spanish",38,Male,White,Italy,United Kingdom,Italy,Italian,No,Full-Time
666c49b4f5eee0b2a605ce2f,6658c94ddb58287ded9f8eb8,RETURNED,Not Applicable,2024-06-14T13:46:37.687000Z,,,,,,208,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
