"","subject_id","rt","time_elapsed","prolific_id","cb","study_id","session_id","prob0","prob1","prob2","prob3","scenario","A","B","E","S","answer","comments","rowtype","trialtype"
"1","04blkmpfl2",22951,265829,"6683fb83d24c87e385c4c519",1,"668582e30cf76773d7ac09c4","66858f0b1cb70639f547d754","80%","50%","10%","50%","job",1,0,0,1,"The candidate did not have skill A",NA,"stim","d4"
"2","04blkmpfl2",10016,428346,"6683fb83d24c87e385c4c519",0,"668582e30cf76773d7ac09c4","66858f0b1cb70639f547d754","10%","50%","80%","50%","job",1,1,1,1,"The candidate demonstrated skill B",NA,"stim","d7"
"3","04blkmpfl2",5477,519223,"6683fb83d24c87e385c4c519",0,"668582e30cf76773d7ac09c4","66858f0b1cb70639f547d754","10%","70%","80%","50%","job",0,1,0,0,"The candidate did not demonstrate skill B",NA,"stim","c2"
"4","04blkmpfl2",6850,648347,"6683fb83d24c87e385c4c519",0,"668582e30cf76773d7ac09c4","66858f0b1cb70639f547d754","10%","70%","80%","50%","group",1,1,1,0,"The lecturer talked about the paper",NA,"stim","c5"
"5","04blkmpfl2",5670,774798,"6683fb83d24c87e385c4c519",1,"668582e30cf76773d7ac09c4","66858f0b1cb70639f547d754","50%","80%","50%","10%","cook",1,0,1,1,"The main dish impressed the panel",NA,"stim","d5"
"6","04blkmpfl2",6955,870703,"6683fb83d24c87e385c4c519",1,"668582e30cf76773d7ac09c4","66858f0b1cb70639f547d754","50%","80%","50%","10%","cook",0,1,1,1,"The dessert impressed the panel",NA,"stim","d3"
"7","04blkmpfl2",9113,956650,"6683fb83d24c87e385c4c519",0,"668582e30cf76773d7ac09c4","66858f0b1cb70639f547d754","50%","10%","50%","80%","cook",0,0,0,0,"The chef did not complete the main dish",NA,"stim","c1"
"8","04blkmpfl2",4808,1084093,"6683fb83d24c87e385c4c519",0,"668582e30cf76773d7ac09c4","66858f0b1cb70639f547d754","10%","50%","80%","50%","group",1,1,0,0,"The lecturer did not talk about the paper",NA,"stim","c4"
"9","04blkmpfl2",1709,1127223,"6683fb83d24c87e385c4c519",0,"668582e30cf76773d7ac09c4","66858f0b1cb70639f547d754","50%","10%","50%","80%","cook",0,0,0,1,"The chef did not complete the dessert",NA,"stim","d1"
"10","04blkmpfl2",2791,1174387,"6683fb83d24c87e385c4c519",1,"668582e30cf76773d7ac09c4","66858f0b1cb70639f547d754","80%","50%","10%","50%","cook",1,1,0,1,"The chef did not complete the dessert",NA,"stim","d6"
