"","pA","peA","pB","peB","E","Pr","index","structure","pgroup"
"1",0,0,0,0,0,0.027,1,"disjunctive",3
"2",1,0,0,0,0,0.003,2,"disjunctive",3
"3",0,1,0,0,0,0.063,3,"disjunctive",3
"4",1,1,0,0,1,0.007,4,"disjunctive",3
"5",0,0,1,0,0,0.108,5,"disjunctive",3
"6",1,0,1,0,0,0.012,6,"disjunctive",3
"7",0,1,1,0,0,0.252,7,"disjunctive",3
"8",1,1,1,0,1,0.028,8,"disjunctive",3
"9",0,0,0,1,0,0.027,9,"disjunctive",3
"10",1,0,0,1,0,0.003,10,"disjunctive",3
"11",0,1,0,1,0,0.063,11,"disjunctive",3
"12",1,1,0,1,1,0.007,12,"disjunctive",3
"13",0,0,1,1,1,0.108,13,"disjunctive",3
"14",1,0,1,1,1,0.012,14,"disjunctive",3
"15",0,1,1,1,1,0.252,15,"disjunctive",3
"16",1,1,1,1,1,0.028,16,"disjunctive",3
