subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments
840f1ghp1u,52257,411355,593badf0eec240000193ef44,0,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,10%,70%,80%,50%,group,0,1,0,0,,
840f1ghp1u,31622,442980,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,10%,70%,80%,50%,group,0,1,0,0,,
840f1ghp1u,50828,525322,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,,,,,,,,,,The postdoc did not talk about the paper,
840f1ghp1u,38487,620116,593badf0eec240000193ef44,1,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,80%,50%,10%,70%,group,1,1,0,0,,
840f1ghp1u,5308,625426,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,80%,50%,10%,70%,group,1,1,0,0,,
840f1ghp1u,43054,696652,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,,,,,,,,,,The lecturer did not talk about the paper,
840f1ghp1u,37103,743757,593badf0eec240000193ef44,1,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,50%,80%,50%,10%,group,0,0,0,1,,
840f1ghp1u,41647,785406,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,50%,80%,50%,10%,group,0,0,0,1,,
840f1ghp1u,54069,850175,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,,,,,,,,,,The lecturer did not attend,
840f1ghp1u,35538,892847,593badf0eec240000193ef44,1,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,80%,50%,10%,50%,group,1,1,1,0,,
840f1ghp1u,4229,897077,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,80%,50%,10%,50%,group,1,1,1,0,,
840f1ghp1u,34571,944925,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,,,,,,,,,,The lecturer talked about the paper,
840f1ghp1u,53650,1008770,593badf0eec240000193ef44,0,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,10%,50%,80%,50%,job,1,0,0,1,,
840f1ghp1u,12869,1021641,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,10%,50%,80%,50%,job,1,0,0,1,,
840f1ghp1u,12735,1059082,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,,,,,,,,,,The candidate did not demonstrate skill A,
840f1ghp1u,14815,1079501,593badf0eec240000193ef44,1,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,80%,50%,10%,50%,job,1,0,1,1,,
840f1ghp1u,4194,1083697,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,80%,50%,10%,50%,job,1,0,1,1,,
840f1ghp1u,6537,1101293,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,,,,,,,,,,The candidate demonstrated skill A,
840f1ghp1u,29430,1264816,593badf0eec240000193ef44,0,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,10%,50%,80%,50%,cook,0,0,0,0,,
840f1ghp1u,33738,1298556,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,10%,50%,80%,50%,cook,0,0,0,0,,
840f1ghp1u,22319,1337877,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,,,,,,,,,,The chef did not complete the main dish,
840f1ghp1u,102613,1461055,593badf0eec240000193ef44,1,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,80%,50%,10%,50%,group,0,1,1,1,,
840f1ghp1u,9089,1470145,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,80%,50%,10%,50%,group,0,1,1,1,,
840f1ghp1u,19159,1505360,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,,,,,,,,,,The postdoc talked about the paper,
840f1ghp1u,31016,1561116,593badf0eec240000193ef44,0,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,10%,50%,80%,50%,group,1,0,0,0,,
840f1ghp1u,4712,1565830,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,10%,50%,80%,50%,group,1,0,0,0,,
840f1ghp1u,6480,1596364,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,,,,,,,,,,The lecturer did not talk about the paper,
840f1ghp1u,11013,1621226,593badf0eec240000193ef44,1,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,80%,50%,10%,50%,job,1,1,1,1,,
840f1ghp1u,6962,1628190,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,80%,50%,10%,50%,job,1,1,1,1,,
840f1ghp1u,10328,1650478,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,,,,,,,,,,The candidate demonstrated skill B,
840f1ghp1u,12172,1677332,593badf0eec240000193ef44,1,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,50%,80%,50%,10%,group,1,1,0,1,,
840f1ghp1u,16492,1693825,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,50%,80%,50%,10%,group,1,1,0,1,,
840f1ghp1u,9753,1717620,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,,,,,,,,,,The lecturer did not talk about the paper,
840f1ghp1u,11778,1734033,593badf0eec240000193ef44,1,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,80%,50%,10%,50%,group,0,1,0,1,,
840f1ghp1u,29610,1763644,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,80%,50%,10%,50%,group,0,1,0,1,,
840f1ghp1u,9686,1781691,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,,,,,,,,,,The postdoc did not talk about the paper,
840f1ghp1u,1790,1783986,593badf0eec240000193ef44,,66631187c34a33218c729603,6669ce1037665c0bfc6bbc36,,,,,,,,,,,
