"","index","vA","uAuB","vAe","vB","vBe","E","Pr","cond","group","node","cp","wa","node2"
"1",1,0,"00",0,0,0,0,0.0025,0.05,1,"A",0.337232546966093,0.0168616273483047,"A"
"2",1,0,"00",0,0,0,0,0.0025,0.05,1,"Au0",0.23861985382404,0.011930992691202,"Au"
"3",1,0,"00",0,0,0,0,0.0025,0.05,1,"B",0.218221114356729,0.0109110557178365,"B"
"4",1,0,"00",0,0,0,0,0.0025,0.05,1,"Bu0",0.340433355853674,0.0170216677926837,"Bu"
"5",2,1,"00",0,0,0,0,0.0025,0.5,4,"A",0,0,"A"
"6",2,1,"00",0,0,0,0,0.0025,0.5,4,"Au0",0.826606821243048,0.413303410621524,"Au"
"7",2,1,"00",0,0,0,0,0.0025,0.5,4,"B",0.105048463386542,0.0525242316932712,"B"
"8",2,1,"00",0,0,0,0,0.0025,0.5,4,"Bu0",0.170657792645827,0.0853288963229137,"Bu"
"9",3,0,"10",1,0,0,0,0.0225,0.45,1,"A",0.861779436902999,0.38780074660635,"A"
"10",3,0,"10",1,0,0,0,0.0225,0.45,1,"Au1",0,0,"Au"
"11",3,0,"10",1,0,0,0,0.0225,0.45,1,"B",0.138231586692724,0.0622042140117258,"B"
"12",3,0,"10",1,0,0,0,0.0225,0.45,1,"Bu0",0.216556810340895,0.0974505646534029,"Bu"
"13",4,1,"10",1,0,0,1,0.0225,0.5,5,"A",0.868571621399296,0.434285810699648,"A"
"14",4,1,"10",1,0,0,1,0.0225,0.5,5,"Au1",0.419585626363075,0.209792813181537,"Au"
"15",4,1,"10",1,0,0,1,0.0225,0.5,5,"B",0,0,"B"
"16",4,1,"10",1,0,0,1,0.0225,0.5,5,"Bu0",0,0,"Bu"
"17",5,0,"00",0,1,0,0,0.0225,0.1,2,"A",0.226212984484138,0.0226212984484138,"A"
"18",5,0,"00",0,1,0,0,0.0225,0.1,2,"Au0",0.145025966888176,0.0145025966888176,"Au"
"19",5,0,"00",0,1,0,0,0.0225,0.1,2,"B",0,0,"B"
"20",5,0,"00",0,1,0,0,0.0225,0.1,2,"Bu0",0.864267225526474,0.0864267225526474,"Bu"
"21",6,1,"00",0,1,0,0,0.0225,1,6,"A",0,0,"A"
"22",6,1,"00",0,1,0,0,0.0225,1,6,"Au0",0.677916440199332,0.677916440199332,"Au"
"23",6,1,"00",0,1,0,0,0.0225,1,6,"B",0,0,"B"
"24",6,1,"00",0,1,0,0,0.0225,1,6,"Bu0",0.552739565484919,0.552739565484919,"Bu"
"25",7,0,"10",1,1,0,0,0.2025,0.9,2,"A",0.683210198409277,0.614889178568349,"A"
"26",7,0,"10",1,1,0,0,0.2025,0.9,2,"Au1",0,0,"Au"
"27",7,0,"10",1,1,0,0,0.2025,0.9,2,"B",0,0,"B"
"28",7,0,"10",1,1,0,0,0.2025,0.9,2,"Bu0",0.665272599695692,0.598745339726123,"Bu"
"29",8,1,"10",1,1,0,1,0.2025,0.473684210526316,7,"A",0.845418658302935,0.400461469722443,"A"
