"","trialtype","ans","n"
"1","c1",2,6
"2","c1",6,3
"3","c1",8,1
"4","c2",2,8
"5","c2",7,1
"6","c2",8,1
"7","c3",1,1
"8","c3",4,2
"9","c3",6,6
"10","c3",8,1
"11","c4",4,6
"12","c4",5,1
"13","c4",7,1
"14","c4",8,2
"15","c5",1,2
"16","c5",3,2
"17","c5",5,4
"18","c5",7,2
"19","d1",2,7
"20","d1",4,1
"21","d1",6,2
"22","d2",2,5
"23","d2",5,1
"24","d2",7,1
"25","d2",8,3
"26","d3",5,2
"27","d3",7,8
"28","d4",1,1
"29","d4",3,1
"30","d4",4,4
"31","d4",6,4
"32","d5",1,2
"33","d5",3,7
"34","d5",6,1
"35","d6",4,4
"36","d6",6,2
"37","d6",8,4
"38","d7",1,1
"39","d7",3,4
"40","d7",5,2
"41","d7",7,3
