"","index","vA","uAuB","vAe","vB","vBe","E","Pr","cond","group","node","cp","wa","node2","grp","uAuB2"
"1",1,0,"00",0,0,0,0,0.045,0.25,1,"A",0.0804236299772549,0.0201059074943137,"A","A=0, B=0, | E=0","Au=0, Bu=0"
"2",1,0,"00",0,0,0,0,0.045,0.25,1,"Au=0",0.0340701683729574,0.00851754209323935,"Au","A=0, B=0, | E=0","Au=0, Bu=0"
"3",1,0,"00",0,0,0,0,0.045,0.25,1,"B",0.0243932688652347,0.00609831721630867,"B","A=0, B=0, | E=0","Au=0, Bu=0"
"4",1,0,"00",0,0,0,0,0.045,0.25,1,"Bu=0",0.0341246154277803,0.00853115385694507,"Bu","A=0, B=0, | E=0","Au=0, Bu=0"
"5",2,1,"00",0,0,0,0,0.005,0.25,3,"Au=0",0.14738943966295,0.0368473599157375,"Au","A=1, B=0, | E=0","Au=0, Bu=0"
"6",2,1,"00",0,0,0,0,0.005,0.25,3,"B",0.105119789874186,0.0262799474685466,"B","A=1, B=0, | E=0","Au=0, Bu=0"
"7",2,1,"00",0,0,0,0,0.005,0.25,3,"Bu=0",0.14077516482412,0.0351937912060299,"Bu","A=1, B=0, | E=0","Au=0, Bu=0"
"8",3,0,"10",1,0,0,0,0.045,0.25,1,"A",0.186466800137824,0.046616700034456,"A","A=0, B=0, | E=0","Au=1, Bu=0"
"9",3,0,"10",1,0,0,0,0.045,0.25,1,"B",0.0617488684326463,0.0154372171081616,"B","A=0, B=0, | E=0","Au=1, Bu=0"
"10",3,0,"10",1,0,0,0,0.045,0.25,1,"Bu=0",0.0830332873095721,0.020758321827393,"Bu","A=0, B=0, | E=0","Au=1, Bu=0"
"11",4,1,"10",1,0,0,0,0.005,0.25,3,"B",0.278632576424818,0.0696581441062046,"B","A=1, B=0, | E=0","Au=1, Bu=0"
"12",4,1,"10",1,0,0,0,0.005,0.25,3,"Bu=0",0.373944779302929,0.0934861948257323,"Bu","A=1, B=0, | E=0","Au=1, Bu=0"
"13",5,0,"00",0,1,0,0,0.18,0.25,2,"A",0.0818406457843437,0.0204601614460859,"A","A=0, B=1, | E=0","Au=0, Bu=0"
"14",5,0,"00",0,1,0,0,0.18,0.25,2,"Au=0",0.0339080759825813,0.00847701899564533,"Au","A=0, B=1, | E=0","Au=0, Bu=0"
"15",5,0,"00",0,1,0,0,0.18,0.25,2,"Bu=0",0.0344837166533965,0.00862092916334913,"Bu","A=0, B=1, | E=0","Au=0, Bu=0"
"16",6,1,"00",0,1,0,0,0.02,0.333333333333333,4,"Au=0",0.271915169938801,0.0906383899796002,"Au","A=1, B=1, | E=0","Au=0, Bu=0"
"17",6,1,"00",0,1,0,0,0.02,0.333333333333333,4,"Bu=0",0.278604574778124,0.092868191592708,"Bu","A=1, B=1, | E=0","Au=0, Bu=0"
"18",7,0,"10",1,1,0,0,0.18,0.25,2,"A",0.236735351473226,0.0591838378683065,"A","A=0, B=1, | E=0","Au=1, Bu=0"
