"","subject_id","cb","prob0","prob1","prob2","prob3","scenario","A","B","E","S","answer","trialtype","structure","ans","ansVar","ansVar2","ansVar3"
"1","2qyx86efes",1,"80%","50%","10%","70%","job",1,0,0,1,"The candidate did not demonstrate skill A","d4","disjunctive",4,"Au","Au=0","Au=0"
"2","2qyx86efes",1,"80%","50%","10%","50%","job",1,1,0,1,"The candidate did not demonstrate skill A","d6","disjunctive",4,"Au","Au=0","Au=0"
"3","2qyx86efes",1,"50%","80%","50%","10%","group",0,1,0,0,"The postdoc did not talk about the paper","c2","conjunctive",8,"Bu","Bu=0","Bu=0"
"4","2qyx86efes",1,"80%","50%","10%","70%","job",1,1,1,1,"The candidate demonstrated skill B","d7","disjunctive",7,"Bu","Bu=1","Bu=1"
"5","2qyx86efes",1,"80%","50%","10%","50%","group",0,0,0,0,"The lecturer did not attend","c1","conjunctive",2,"A","A","A=0"
"6","840f1ghp1u",1,"80%","50%","10%","70%","group",1,1,0,0,"The lecturer did not talk about the paper","c4","conjunctive",4,"Au","Au=0","Au=0"
"7","840f1ghp1u",1,"50%","80%","50%","10%","group",0,0,0,1,"The lecturer did not attend","d1","disjunctive",2,"A","A","A=0"
"8","840f1ghp1u",1,"80%","50%","10%","50%","group",1,1,1,0,"The lecturer talked about the paper","c5","conjunctive",3,"Au","Au=1","Au=1"
"9","840f1ghp1u",1,"80%","50%","10%","50%","job",1,0,1,1,"The candidate demonstrated skill A","d5","disjunctive",3,"Au","Au=1","Au=1"
"10","840f1ghp1u",1,"80%","50%","10%","50%","group",0,1,1,1,"The postdoc talked about the paper","d3","disjunctive",7,"Bu","Bu=1","Bu=1"
"11","840f1ghp1u",1,"80%","50%","10%","50%","job",1,1,1,1,"The candidate demonstrated skill B","d7","disjunctive",7,"Bu","Bu=1","Bu=1"
"12","840f1ghp1u",1,"50%","80%","50%","10%","group",1,1,0,1,"The lecturer did not talk about the paper","d6","disjunctive",4,"Au","Au=0","Au=0"
"13","840f1ghp1u",1,"80%","50%","10%","50%","group",0,1,0,1,"The postdoc did not talk about the paper","d2","disjunctive",8,"Bu","Bu=0","Bu=0"
"14","8xukceoqq5",1,"80%","50%","10%","70%","job",0,1,0,0,"The candidate did not demonstrate skill A","c2","conjunctive",4,"Au","Au=0","Au=0"
"15","8xukceoqq5",1,"80%","50%","10%","50%","cook",0,1,0,1,"The main dish did not impress the panel","d2","disjunctive",4,"Au","Au=0","Au=0"
"16","8xukceoqq5",1,"80%","50%","10%","50%","job",1,1,0,0,"The candidate did not demonstrate skill A","c4","conjunctive",4,"Au","Au=0","Au=0"
"17","8xukceoqq5",1,"80%","50%","10%","70%","cook",1,0,0,1,"The main dish did not impress the panel","d4","disjunctive",4,"Au","Au=0","Au=0"
"18","9daxphva6d",1,"50%","80%","50%","10%","job",0,1,1,1,"The candidate demonstrated skill B","d3","disjunctive",7,"Bu","Bu=1","Bu=1"
"19","9daxphva6d",1,"50%","80%","50%","10%","cook",0,0,0,0,"The dessert did not impress the panel","c1","conjunctive",8,"Bu","Bu=0","Bu=0"
"20","9daxphva6d",1,"80%","50%","10%","50%","cook",1,1,1,0,"The dessert impressed the panel","c5","conjunctive",7,"Bu","Bu=1","Bu=1"
"21","9daxphva6d",1,"50%","80%","50%","10%","cook",1,1,1,1,"The dessert impressed the panel","d7","disjunctive",7,"Bu","Bu=1","Bu=1"
"22","9daxphva6d",1,"80%","50%","10%","70%","job",1,1,0,1,"The candidate did not demonstrate skill A","d6","disjunctive",4,"Au","Au=0","Au=0"
"23","9daxphva6d",1,"80%","50%","10%","50%","group",0,1,0,1,"The lecturer did not attend","d2","disjunctive",2,"A","A","A=0"
"24","9daxphva6d",1,"80%","50%","10%","50%","job",1,0,1,1,"The candidate demonstrated skill A","d5","disjunctive",3,"Au","Au=1","Au=1"
"25","xpy8oy64la",1,"80%","50%","10%","70%","job",0,0,0,1,"The candidate did not have skill A","d1","disjunctive",2,"A","A","A=0"
"26","xpy8oy64la",1,"80%","50%","10%","70%","job",1,1,1,0,"The candidate demonstrated skill B","c5","conjunctive",7,"Bu","Bu=1","Bu=1"
