"","subject_id","cb","prob0","prob1","prob2","prob3","scenario","A","B","E","S","answer","trialtype"
"1","2qyx86efes",0,"10%","50%","80%","50%","job",0,1,0,1,"The candidate did not demonstrate skill B","d2"
"2","2qyx86efes",0,"50%","10%","50%","80%","job",0,0,0,1,"The candidate did not have skill B","d1"
"3","2qyx86efes",1,"80%","50%","10%","70%","job",1,0,0,1,"The candidate did not demonstrate skill A","d4"
"4","2qyx86efes",0,"10%","70%","80%","50%","cook",0,1,1,1,"The dessert impressed the panel","d3"
"5","2qyx86efes",1,"80%","50%","10%","50%","job",1,1,0,1,"The candidate did not demonstrate skill A","d6"
"6","2qyx86efes",1,"50%","80%","50%","10%","group",0,1,0,0,"The postdoc did not talk about the paper","c2"
"7","2qyx86efes",1,"80%","50%","10%","70%","job",1,1,1,1,"The candidate demonstrated skill B","d7"
"8","2qyx86efes",1,"80%","50%","10%","50%","group",0,0,0,0,"The lecturer did not attend","c1"
"9","2qyx86efes",0,"10%","70%","80%","50%","job",1,1,0,0,"The candidate did not demonstrate skill A","c4"
"10","2qyx86efes",0,"10%","50%","80%","50%","job",1,1,1,0,"The candidate demonstrated skill A","c5"
"11","2qyx86efes",0,"10%","50%","80%","50%","group",1,0,1,1,"The lecturer talked about the paper","d5"
"12","2qyx86efes",0,"10%","70%","80%","50%","job",1,0,0,0,"The candidate did not have skill B","c3"
"13","840f1ghp1u",0,"10%","70%","80%","50%","group",0,1,0,0,"The postdoc did not talk about the paper","c2"
"14","840f1ghp1u",1,"80%","50%","10%","70%","group",1,1,0,0,"The lecturer did not talk about the paper","c4"
"15","840f1ghp1u",1,"50%","80%","50%","10%","group",0,0,0,1,"The lecturer did not attend","d1"
"16","840f1ghp1u",1,"80%","50%","10%","50%","group",1,1,1,0,"The lecturer talked about the paper","c5"
"17","840f1ghp1u",0,"10%","50%","80%","50%","job",1,0,0,1,"The candidate did not demonstrate skill A","d4"
"18","840f1ghp1u",1,"80%","50%","10%","50%","job",1,0,1,1,"The candidate demonstrated skill A","d5"
"19","840f1ghp1u",0,"10%","50%","80%","50%","cook",0,0,0,0,"The chef did not complete the main dish","c1"
"20","840f1ghp1u",1,"80%","50%","10%","50%","group",0,1,1,1,"The postdoc talked about the paper","d3"
"21","840f1ghp1u",0,"10%","50%","80%","50%","group",1,0,0,0,"The lecturer did not talk about the paper","c3"
"22","840f1ghp1u",1,"80%","50%","10%","50%","job",1,1,1,1,"The candidate demonstrated skill B","d7"
"23","840f1ghp1u",1,"50%","80%","50%","10%","group",1,1,0,1,"The lecturer did not talk about the paper","d6"
"24","840f1ghp1u",1,"80%","50%","10%","50%","group",0,1,0,1,"The postdoc did not talk about the paper","d2"
"25","8xukceoqq5",1,"80%","50%","10%","70%","job",0,1,0,0,"The candidate did not demonstrate skill A","c2"
"26","8xukceoqq5",1,"80%","50%","10%","50%","cook",0,1,0,1,"The main dish did not impress the panel","d2"
"27","8xukceoqq5",0,"50%","10%","50%","80%","cook",1,0,1,1,"The main dish impressed the panel","d5"
"28","8xukceoqq5",0,"10%","70%","80%","50%","group",1,1,1,0,"The lecturer talked about the paper","c5"
"29","8xukceoqq5",0,"10%","70%","80%","50%","group",0,0,0,0,"The lecturer did not attend","c1"
"30","8xukceoqq5",0,"10%","50%","80%","50%","job",1,1,0,1,"The candidate did not demonstrate skill A","d6"
"31","8xukceoqq5",0,"50%","10%","50%","80%","group",1,1,1,1,"The lecturer talked about the paper","d7"
"32","8xukceoqq5",1,"80%","50%","10%","50%","job",1,1,0,0,"The candidate did not demonstrate skill A","c4"
"33","8xukceoqq5",0,"10%","50%","80%","50%","group",0,0,0,1,"The postdoc did not attend","d1"
"34","8xukceoqq5",0,"10%","50%","80%","50%","group",1,0,0,0,"The postdoc did not attend","c3"
"35","8xukceoqq5",1,"80%","50%","10%","70%","cook",1,0,0,1,"The main dish did not impress the panel","d4"
"36","8xukceoqq5",0,"50%","10%","50%","80%","cook",0,1,1,1,"The dessert impressed the panel","d3"
"37","9daxphva6d",1,"50%","80%","50%","10%","job",0,1,1,1,"The candidate demonstrated skill B","d3"
"38","9daxphva6d",1,"50%","80%","50%","10%","cook",0,0,0,0,"The dessert did not impress the panel","c1"
"39","9daxphva6d",0,"10%","50%","80%","50%","group",1,0,0,1,"The postdoc did not attend","d4"
"40","9daxphva6d",1,"80%","50%","10%","50%","cook",1,1,1,0,"The dessert impressed the panel","c5"
"41","9daxphva6d",0,"10%","50%","80%","50%","group",1,1,0,0,"The lecturer did not attend","c4"
"42","9daxphva6d",0,"10%","70%","80%","50%","group",1,0,0,0,"The postdoc did not attend","c3"
"43","9daxphva6d",1,"50%","80%","50%","10%","cook",1,1,1,1,"The dessert impressed the panel","d7"
"44","9daxphva6d",1,"80%","50%","10%","70%","job",1,1,0,1,"The candidate did not demonstrate skill A","d6"
"45","9daxphva6d",0,"10%","50%","80%","50%","group",0,0,0,1,"The postdoc did not attend","d1"
"46","9daxphva6d",0,"10%","70%","80%","50%","cook",0,1,0,0,"The chef did not complete the main dish","c2"
"47","9daxphva6d",1,"80%","50%","10%","50%","group",0,1,0,1,"The lecturer did not attend","d2"
"48","9daxphva6d",1,"80%","50%","10%","50%","job",1,0,1,1,"The candidate demonstrated skill A","d5"
"49","xpy8oy64la",0,"50%","10%","50%","80%","job",1,1,1,1,"The candidate demonstrated skill B","d7"
"50","xpy8oy64la",0,"10%","50%","80%","50%","job",1,0,0,1,"The candidate demonstrated skill A","d4"
"51","xpy8oy64la",1,"80%","50%","10%","70%","job",0,0,0,1,"The candidate did not have skill A","d1"
"52","xpy8oy64la",0,"50%","10%","50%","80%","cook",1,0,1,1,"The main dish impressed the panel","d5"
"53","xpy8oy64la",0,"10%","70%","80%","50%","group",0,1,0,0,"The lecturer did not attend","c2"
"54","xpy8oy64la",0,"50%","10%","50%","80%","cook",1,1,0,1,"The main dish did not impress the panel","d6"
"55","xpy8oy64la",1,"80%","50%","10%","70%","job",1,1,1,0,"The candidate demonstrated skill B","c5"
"56","xpy8oy64la",0,"10%","70%","80%","50%","group",0,1,1,1,"The postdoc talked about the paper","d3"
"57","xpy8oy64la",1,"50%","80%","50%","10%","job",1,0,0,0,"The candidate demonstrated skill A","c3"
"58","xpy8oy64la",0,"50%","10%","50%","80%","cook",1,1,0,0,"The dessert did not impress the panel","c4"
"59","xpy8oy64la",1,"80%","50%","10%","70%","group",0,1,0,1,"The postdoc did not talk about the paper","d2"
"60","xpy8oy64la",0,"10%","50%","80%","50%","group",0,0,0,0,"The postdoc did not attend","c1"
"61","04blkmpfl2",1,"80%","50%","10%","50%","job",1,0,0,1,"The candidate did not have skill A","d4"
"62","04blkmpfl2",0,"10%","50%","80%","50%","job",1,1,1,1,"The candidate demonstrated skill B","d7"
"63","04blkmpfl2",0,"10%","70%","80%","50%","job",0,1,0,0,"The candidate did not demonstrate skill B","c2"
"64","04blkmpfl2",0,"10%","70%","80%","50%","group",1,1,1,0,"The lecturer talked about the paper","c5"
"65","04blkmpfl2",1,"50%","80%","50%","10%","cook",1,0,1,1,"The main dish impressed the panel","d5"
"66","04blkmpfl2",1,"50%","80%","50%","10%","cook",0,1,1,1,"The dessert impressed the panel","d3"
"67","04blkmpfl2",0,"50%","10%","50%","80%","cook",0,0,0,0,"The chef did not complete the main dish","c1"
"68","04blkmpfl2",0,"10%","50%","80%","50%","group",1,1,0,0,"The lecturer did not talk about the paper","c4"
"69","04blkmpfl2",0,"50%","10%","50%","80%","cook",0,0,0,1,"The chef did not complete the dessert","d1"
"70","04blkmpfl2",1,"80%","50%","10%","50%","cook",1,1,0,1,"The chef did not complete the dessert","d6"
"71","04blkmpfl2",0,"10%","50%","80%","50%","group",1,0,0,0,"The postdoc did not attend","c3"
"72","04blkmpfl2",1,"50%","80%","50%","10%","cook",0,1,0,1,"The chef did not complete the main dish","d2"
"73","0s7n13606c",1,"80%","50%","10%","70%","cook",1,0,1,1,"The main dish impressed the panel","d5"
"74","0s7n13606c",0,"10%","70%","80%","50%","group",1,1,1,0,"The lecturer talked about the paper","c5"
"75","0s7n13606c",1,"80%","50%","10%","50%","cook",0,0,0,1,"The chef did not complete the main dish","d1"
"76","0s7n13606c",1,"80%","50%","10%","70%","job",0,1,0,1,"The candidate did not demonstrate skill B","d2"
"77","0s7n13606c",1,"50%","80%","50%","10%","cook",0,1,1,1,"The dessert impressed the panel","d3"
"78","0s7n13606c",1,"50%","80%","50%","10%","group",1,0,0,0,"The postdoc did not attend","c3"
"79","0s7n13606c",1,"50%","80%","50%","10%","job",1,1,1,1,"The candidate demonstrated skill A","d7"
"80","0s7n13606c",1,"80%","50%","10%","70%","group",1,1,0,0,"The postdoc did not talk about the paper","c4"
"81","0s7n13606c",0,"10%","50%","80%","50%","job",0,0,0,0,"The candidate did not have skill A","c1"
"82","0s7n13606c",1,"50%","80%","50%","10%","cook",1,0,0,1,"The main dish did not impress the panel","d4"
"83","0s7n13606c",1,"50%","80%","50%","10%","group",1,1,0,1,"The lecturer did not talk about the paper","d6"
"84","0s7n13606c",0,"50%","10%","50%","80%","job",0,1,0,0,"The candidate did not demonstrate skill B","c2"
"85","1h8woo3055",1,"80%","50%","10%","70%","group",0,0,0,1,"The lecturer did not attend","d1"
"86","1h8woo3055",1,"50%","80%","50%","10%","group",1,0,0,0,"The lecturer did not talk about the paper","c3"
"87","1h8woo3055",0,"50%","10%","50%","80%","group",0,1,0,1,"The postdoc did not talk about the paper","d2"
"88","1h8woo3055",0,"50%","10%","50%","80%","cook",1,1,0,0,"The dessert did not impress the panel","c4"
"89","1h8woo3055",0,"10%","70%","80%","50%","cook",0,1,1,1,"The dessert impressed the panel","d3"
"90","1h8woo3055",0,"10%","50%","80%","50%","cook",1,0,0,1,"The chef did not complete the dessert","d4"
"91","1h8woo3055",1,"80%","50%","10%","70%","cook",1,0,1,1,"The main dish impressed the panel","d5"
"92","1h8woo3055",0,"10%","50%","80%","50%","job",1,1,1,1,"The candidate demonstrated skill B","d7"
"93","1h8woo3055",0,"50%","10%","50%","80%","cook",1,1,0,1,"The dessert did not impress the panel","d6"
"94","1h8woo3055",0,"10%","70%","80%","50%","job",0,0,0,0,"The candidate did not have skill B","c1"
"95","1h8woo3055",1,"50%","80%","50%","10%","job",0,1,0,0,"The candidate did not have skill A","c2"
"96","1h8woo3055",0,"10%","50%","80%","50%","group",1,1,1,0,"The postdoc talked about the paper","c5"
"97","1j9j1sn5oo",0,"10%","50%","80%","50%","cook",0,1,1,1,"The chef completed the dessert","d3"
"98","1j9j1sn5oo",1,"80%","50%","10%","70%","cook",1,0,1,1,"The chef completed the main dish","d5"
"99","1j9j1sn5oo",0,"50%","10%","50%","80%","group",1,1,0,0,"The lecturer did not talk about the paper","c4"
"100","1j9j1sn5oo",1,"80%","50%","10%","70%","group",0,0,0,0,"The lecturer did not attend","c1"
"101","1j9j1sn5oo",1,"80%","50%","10%","50%","job",1,1,1,0,"The candidate had skill A","c5"
"102","1j9j1sn5oo",0,"10%","70%","80%","50%","job",1,1,0,1,"The candidate did not demonstrate skill B","d6"
"103","1j9j1sn5oo",1,"80%","50%","10%","70%","group",0,0,0,1,"The lecturer did not attend","d1"
"104","1j9j1sn5oo",1,"50%","80%","50%","10%","cook",0,1,0,1,"The dessert did not impress the panel","d2"
"105","1j9j1sn5oo",0,"10%","50%","80%","50%","group",1,0,0,0,"The lecturer did not talk about the paper","c3"
"106","1j9j1sn5oo",0,"10%","50%","80%","50%","cook",1,0,0,1,"The main dish did not impress the panel","d4"
"107","1j9j1sn5oo",0,"50%","10%","50%","80%","cook",1,1,1,1,"The dessert impressed the panel","d7"
"108","1j9j1sn5oo",1,"50%","80%","50%","10%","group",0,1,0,0,"The postdoc did not talk about the paper","c2"
"109","1nc1mtxtfj",0,"10%","50%","80%","50%","group",1,0,1,1,"The lecturer talked about the paper","d5"
