"","index","vA","uAuB","vAe","vB","vBe","E","Pr","cond","group","node","cp","wa","node2","grp","uAuB2"
"1",1,0,"00",0,0,0,0,0.045,0.25,1,"A",0.13041309124733,0.0326032728118325,"A","A=0, B=0, | E=0","Au=0, Bu=0"
"2",1,0,"00",0,0,0,0,0.045,0.25,1,"Au=0",0.0230293450632546,0.00575733626581365,"Au","A=0, B=0, | E=0","Au=0, Bu=0"
"3",1,0,"00",0,0,0,0,0.045,0.25,1,"B",0.317286748817749,0.0793216872044373,"B","A=0, B=0, | E=0","Au=0, Bu=0"
"4",1,0,"00",0,0,0,0,0.045,0.25,1,"Bu=0",0.413449289384945,0.103362322346236,"Bu","A=0, B=0, | E=0","Au=0, Bu=0"
"5",2,1,"00",0,0,0,0,0.005,0.5,4,"Au=0",0.728487287469522,0.364243643734761,"Au","A=1, B=0, | E=0","Au=0, Bu=0"
"6",2,1,"00",0,0,0,0,0.005,0.5,4,"B",0.174549143759744,0.0872745718798721,"B","A=1, B=0, | E=0","Au=0, Bu=0"
"7",2,1,"00",0,0,0,0,0.005,0.5,4,"Bu=0",0.222995617774387,0.111497808887193,"Bu","A=1, B=0, | E=0","Au=0, Bu=0"
"8",3,0,"10",1,0,0,0,0.045,0.25,1,"A",0.608537689496903,0.152134422374226,"A","A=0, B=0, | E=0","Au=1, Bu=0"
"9",3,0,"10",1,0,0,0,0.045,0.25,1,"B",0.245405931342183,0.0613514828355457,"B","A=0, B=0, | E=0","Au=1, Bu=0"
"10",3,0,"10",1,0,0,0,0.045,0.25,1,"Bu=0",0.310048730707283,0.0775121826768208,"Bu","A=0, B=0, | E=0","Au=1, Bu=0"
"11",4,1,"10",1,0,0,1,0.005,0.5,5,"A",0.76442013933327,0.382210069666635,"A","A=1, B=0, | E=1","Au=1, Bu=0"
"12",4,1,"10",1,0,0,1,0.005,0.5,5,"Au=1",0.523109396858107,0.261554698429053,"Au","A=1, B=0, | E=1","Au=1, Bu=0"
"13",5,0,"00",0,1,0,0,0.18,0.5,2,"A",0.0260655156680791,0.0130327578340395,"A","A=0, B=1, | E=0","Au=0, Bu=0"
"14",5,0,"00",0,1,0,0,0.18,0.5,2,"Au=0",0.00970993516772784,0.00485496758386392,"Au","A=0, B=1, | E=0","Au=0, Bu=0"
"15",5,0,"00",0,1,0,0,0.18,0.5,2,"Bu=0",0.962452147666865,0.481226073833433,"Bu","A=0, B=1, | E=0","Au=0, Bu=0"
"16",6,1,"00",0,1,0,0,0.02,1,6,"Au=0",0.524358919519357,0.524358919519357,"Au","A=1, B=1, | E=0","Au=0, Bu=0"
"17",6,1,"00",0,1,0,0,0.02,1,6,"Bu=0",0.711334446908415,0.711334446908415,"Bu","A=1, B=1, | E=0","Au=0, Bu=0"
"18",7,0,"10",1,1,0,0,0.18,0.5,2,"A",0.32400186950471,0.162000934752355,"A","A=0, B=1, | E=0","Au=1, Bu=0"
"19",7,0,"10",1,1,0,0,0.18,0.5,2,"Bu=0",0.89445433242269,0.447227166211345,"Bu","A=0, B=1, | E=0","Au=1, Bu=0"
"20",8,1,"10",1,1,0,1,0.02,0.333333333333333,7,"A",0.701273441543769,0.233757813847923,"A","A=1, B=1, | E=1","Au=1, Bu=0"
"21",8,1,"10",1,1,0,1,0.02,0.333333333333333,7,"Au=1",0.470446356891083,0.156815452297028,"Au","A=1, B=1, | E=1","Au=1, Bu=0"
"22",8,1,"10",1,1,0,1,0.02,0.333333333333333,7,"B",0.051634154030309,0.0172113846767697,"B","A=1, B=1, | E=1","Au=1, Bu=0"
"23",9,0,"01",0,0,1,0,0.045,0.25,1,"A",0.061783128000208,0.015445782000052,"A","A=0, B=0, | E=0","Au=0, Bu=1"
"24",9,0,"01",0,0,1,0,0.045,0.25,1,"Au=0",0.00151211332045459,0.000378028330113648,"Au","A=0, B=0, | E=0","Au=0, Bu=1"
"25",9,0,"01",0,0,1,0,0.045,0.25,1,"B",0.898824707363555,0.224706176840889,"B","A=0, B=0, | E=0","Au=0, Bu=1"
"26",10,1,"01",0,0,1,0,0.005,0.5,4,"Au=0",0.442028422380462,0.221014211190231,"Au","A=1, B=0, | E=0","Au=0, Bu=1"
"27",10,1,"01",0,0,1,0,0.005,0.5,4,"B",0.717246219011728,0.358623109505864,"B","A=1, B=0, | E=0","Au=0, Bu=1"
"28",11,0,"11",1,0,1,0,0.045,0.25,1,"A",0.268036799457124,0.0670091998642809,"A","A=0, B=0, | E=0","Au=1, Bu=1"
"29",11,0,"11",1,0,1,0,0.045,0.25,1,"B",0.871819902153976,0.217954975538494,"B","A=0, B=0, | E=0","Au=1, Bu=1"
"30",12,1,"11",1,0,1,1,0.005,0.5,5,"A",0.64390788114879,0.321953940574395,"A","A=1, B=0, | E=1","Au=1, Bu=1"
"31",12,1,"11",1,0,1,1,0.005,0.5,5,"Au=1",0.44696625742937,0.223483128714685,"Au","A=1, B=0, | E=1","Au=1, Bu=1"
"32",12,1,"11",1,0,1,1,0.005,0.5,5,"Bu=1",0.0819062352918535,0.0409531176459268,"Bu","A=1, B=0, | E=1","Au=1, Bu=1"
"33",13,0,"01",0,1,1,1,0.18,0.5,3,"B",0.53588506155989,0.267942530779945,"B","A=0, B=1, | E=1","Au=0, Bu=1"
"34",13,0,"01",0,1,1,1,0.18,0.5,3,"Bu=1",0.812977723932466,0.406488861966233,"Bu","A=0, B=1, | E=1","Au=0, Bu=1"
"35",14,1,"01",0,1,1,1,0.02,0.333333333333333,7,"A",0.0200743629767394,0.00669145432557979,"A","A=1, B=1, | E=1","Au=0, Bu=1"
"36",14,1,"01",0,1,1,1,0.02,0.333333333333333,7,"B",0.474495203602854,0.158165067867618,"B","A=1, B=1, | E=1","Au=0, Bu=1"
"37",14,1,"01",0,1,1,1,0.02,0.333333333333333,7,"Bu=1",0.79380815108445,0.26460271702815,"Bu","A=1, B=1, | E=1","Au=0, Bu=1"
"38",15,0,"11",1,1,1,1,0.18,0.5,3,"Au=1",-0.0140916605326546,-0.0070458302663273,"Au","A=0, B=1, | E=1","Au=1, Bu=1"
"39",15,0,"11",1,1,1,1,0.18,0.5,3,"B",0.500883576096938,0.250441788048469,"B","A=0, B=1, | E=1","Au=1, Bu=1"
"40",15,0,"11",1,1,1,1,0.18,0.5,3,"Bu=1",0.819798022207922,0.409899011103961,"Bu","A=0, B=1, | E=1","Au=1, Bu=1"
"41",16,1,"11",1,1,1,1,0.02,0.333333333333333,7,"A",0.312908439745021,0.10430281324834,"A","A=1, B=1, | E=1","Au=1, Bu=1"
"42",16,1,"11",1,1,1,1,0.02,0.333333333333333,7,"Au=1",0.137500038255567,0.0458333460851889,"Au","A=1, B=1, | E=1","Au=1, Bu=1"
"43",16,1,"11",1,1,1,1,0.02,0.333333333333333,7,"B",0.272167821570636,0.0907226071902121,"B","A=1, B=1, | E=1","Au=1, Bu=1"
"44",16,1,"11",1,1,1,1,0.02,0.333333333333333,7,"Bu=1",0.476459450744825,0.158819816914942,"Bu","A=1, B=1, | E=1","Au=1, Bu=1"
