subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments
2qyx86efes,47361,356942,60509a0a3b167b0b85516e9a,0,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,10%,50%,80%,50%,job,0,1,0,1,,
2qyx86efes,15509,372453,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,10%,50%,80%,50%,job,0,1,0,1,,
2qyx86efes,32755,422963,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,,,,,,,,,,The candidate did not demonstrate skill B,
2qyx86efes,20551,471071,60509a0a3b167b0b85516e9a,0,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,50%,10%,50%,80%,job,0,0,0,1,,
2qyx86efes,9510,480584,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,50%,10%,50%,80%,job,0,0,0,1,,
2qyx86efes,50674,547327,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,,,,,,,,,,The candidate did not have skill B,
2qyx86efes,18406,572319,60509a0a3b167b0b85516e9a,1,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,80%,50%,10%,70%,job,1,0,0,1,,
2qyx86efes,9074,581395,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,80%,50%,10%,70%,job,1,0,0,1,,
2qyx86efes,30814,631175,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,,,,,,,,,,The candidate did not demonstrate skill A,
2qyx86efes,14672,704643,60509a0a3b167b0b85516e9a,0,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,10%,70%,80%,50%,cook,0,1,1,1,,
2qyx86efes,24467,729112,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,10%,70%,80%,50%,cook,0,1,1,1,,
2qyx86efes,17383,759481,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,,,,,,,,,,The dessert impressed the panel,
2qyx86efes,11143,778700,60509a0a3b167b0b85516e9a,1,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,80%,50%,10%,50%,job,1,1,0,1,,
2qyx86efes,4754,783459,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,80%,50%,10%,50%,job,1,1,0,1,,
2qyx86efes,40711,831490,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,,,,,,,,,,The candidate did not demonstrate skill A,
2qyx86efes,23100,890960,60509a0a3b167b0b85516e9a,1,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,50%,80%,50%,10%,group,0,1,0,0,,
2qyx86efes,11789,902752,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,50%,80%,50%,10%,group,0,1,0,0,,
2qyx86efes,11393,926746,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,,,,,,,,,,The postdoc did not talk about the paper,
2qyx86efes,15689,948042,60509a0a3b167b0b85516e9a,1,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,80%,50%,10%,70%,job,1,1,1,1,,
2qyx86efes,2611,950657,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,80%,50%,10%,70%,job,1,1,1,1,,
2qyx86efes,8530,971881,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,,,,,,,,,,The candidate demonstrated skill B,
2qyx86efes,10672,990701,60509a0a3b167b0b85516e9a,1,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,80%,50%,10%,50%,group,0,0,0,0,,
2qyx86efes,7027,997729,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,80%,50%,10%,50%,group,0,0,0,0,,
2qyx86efes,27345,1032440,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,,,,,,,,,,The lecturer did not attend,
2qyx86efes,9802,1047130,60509a0a3b167b0b85516e9a,0,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,10%,70%,80%,50%,job,1,1,0,0,,
2qyx86efes,3336,1050469,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,10%,70%,80%,50%,job,1,1,0,0,,
2qyx86efes,8953,1074036,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,,,,,,,,,,The candidate did not demonstrate skill A,
2qyx86efes,7906,1086154,60509a0a3b167b0b85516e9a,0,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,10%,50%,80%,50%,job,1,1,1,0,,
2qyx86efes,1849,1088005,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,10%,50%,80%,50%,job,1,1,1,0,,
2qyx86efes,15750,1108884,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,,,,,,,,,,The candidate demonstrated skill A,
2qyx86efes,12373,1125221,60509a0a3b167b0b85516e9a,0,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,10%,50%,80%,50%,group,1,0,1,1,,
2qyx86efes,6068,1131291,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,10%,50%,80%,50%,group,1,0,1,1,,
2qyx86efes,7551,1145570,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,,,,,,,,,,The lecturer talked about the paper,
2qyx86efes,26008,1175608,60509a0a3b167b0b85516e9a,0,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,10%,70%,80%,50%,job,1,0,0,0,,
2qyx86efes,1886,1177497,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,10%,70%,80%,50%,job,1,0,0,0,,
2qyx86efes,10500,1196203,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,,,,,,,,,,The candidate did not have skill B,
2qyx86efes,3286,1199993,60509a0a3b167b0b85516e9a,,66631187c34a33218c729603,6669cfa60d52ce5351193cb1,,,,,,,,,,,
