"","index","vA","uAuB","vAe","vB","vBe","E","Pr","cond","group","node","cp","wa","node2","grp","uAuB2"
"1",1,0,"00",0,0,0,0,0.0025,0.05,1,"A",0.102455860192976,0.00512279300964882,"A","A=0, B=0, | E=0","Au=0, Bu=0"
"2",1,0,"00",0,0,0,0,0.0025,0.05,1,"Au=0",0.0695069258363653,0.00347534629181827,"Au","A=0, B=0, | E=0","Au=0, Bu=0"
"3",1,0,"00",0,0,0,0,0.0025,0.05,1,"B",0.0688457418401263,0.00344228709200632,"B","A=0, B=0, | E=0","Au=0, Bu=0"
"4",1,0,"00",0,0,0,0,0.0025,0.05,1,"Bu=0",0.100927799260548,0.00504638996302739,"Bu","A=0, B=0, | E=0","Au=0, Bu=0"
"5",2,1,"00",0,0,0,0,0.0025,0.05,3,"A",0,0,"A","A=1, B=0, | E=0","Au=0, Bu=0"
"6",2,1,"00",0,0,0,0,0.0025,0.05,3,"Au=0",0.151899164524781,0.00759495822623905,"Au","A=1, B=0, | E=0","Au=0, Bu=0"
"7",2,1,"00",0,0,0,0,0.0025,0.05,3,"B",0.144873676551723,0.00724368382758613,"B","A=1, B=0, | E=0","Au=0, Bu=0"
"8",2,1,"00",0,0,0,0,0.0025,0.05,3,"Bu=0",0.21662048200233,0.0108310241001165,"Bu","A=1, B=0, | E=0","Au=0, Bu=0"
"9",3,0,"10",1,0,0,0,0.0225,0.45,1,"A",0.222727548879379,0.10022739699572,"A","A=0, B=0, | E=0","Au=1, Bu=0"
"10",3,0,"10",1,0,0,0,0.0225,0.45,1,"Au=1",0,0,"Au","A=0, B=0, | E=0","Au=1, Bu=0"
"11",3,0,"10",1,0,0,0,0.0225,0.45,1,"B",0.156039730952477,0.0702178789286145,"B","A=0, B=0, | E=0","Au=1, Bu=0"
"12",3,0,"10",1,0,0,0,0.0225,0.45,1,"Bu=0",0.222554726250552,0.100149626812748,"Bu","A=0, B=0, | E=0","Au=1, Bu=0"
"13",4,1,"10",1,0,0,0,0.0225,0.45,3,"A",0,0,"A","A=1, B=0, | E=0","Au=1, Bu=0"
"14",4,1,"10",1,0,0,0,0.0225,0.45,3,"Au=1",0,0,"Au","A=1, B=0, | E=0","Au=1, Bu=0"
"15",4,1,"10",1,0,0,0,0.0225,0.45,3,"B",0.296125284045434,0.133256377820445,"B","A=1, B=0, | E=0","Au=1, Bu=0"
"16",4,1,"10",1,0,0,0,0.0225,0.45,3,"Bu=0",0.430687215045561,0.193809246770502,"Bu","A=1, B=0, | E=0","Au=1, Bu=0"
"17",5,0,"00",0,1,0,0,0.0225,0.05,2,"A",0.203625289587356,0.0101812644793678,"A","A=0, B=1, | E=0","Au=0, Bu=0"
